contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis van Aalten,0197::SB1,,1034,517,0,1,183,44,53,35,49,51,35,2,0,0,11,1,5,47,0,0,1
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Verz.huis ""'t Hoge Veld""",0197::SB2,,1293,552,0,1,234,31,48,30,30,50,43,0,0,0,14,2,2,63,4,1,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau R.K. Kerk,0197::SB3,,1148,427,0,2,172,48,49,23,37,25,24,1,0,0,8,3,0,36,1,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zaal achter Westerkerk,0197::SB4,,1158,445,0,3,173,70,26,26,42,34,23,1,0,0,10,1,0,35,1,0,3
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Turks Cultureel Centrum,0197::SB5,,1491,562,0,0,187,59,38,39,57,20,29,1,0,1,16,3,2,108,1,0,1
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gebouw ""t Spölhuuksken""",0197::SB6,,1394,401,3,1,109,57,22,27,71,35,14,0,0,1,6,0,0,55,0,0,4
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Verz.huis ""Beth San""",0197::SB7,,1277,529,3,1,218,61,34,17,57,36,26,0,0,0,10,0,0,68,2,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentekantoor Nassaustraat,0197::SB8,,1109,483,0,0,171,68,58,35,40,24,27,4,0,0,11,1,2,39,1,1,1
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ver.geb.Dorpshuus IJzerlo,0197::SB9,,719,317,0,0,198,12,20,17,10,12,17,2,0,0,10,0,0,19,0,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kulturhus Lintelo,0197::SB10,,820,409,1,1,242,19,25,14,11,44,13,0,0,0,10,0,0,30,0,0,1
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Verenigingsgebouw Barlo,0197::SB11,,791,395,0,0,243,20,28,14,20,20,16,1,1,0,5,1,0,26,0,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw v.v. Bredevoort,0197::SB12,,819,276,0,1,153,15,19,13,14,9,6,0,0,0,8,0,1,38,0,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau ""St.Bernardus"" Bredevoort",0197::SB13,,1161,400,1,1,150,36,41,36,36,8,23,1,0,0,23,3,0,42,0,0,1
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dr. Jenny Woon- Zorgcentrum,0197::SB14,,1532,411,0,1,167,74,31,12,21,14,24,2,0,0,2,2,0,62,0,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Ontmoetingscentrum ""Ons Huis""",0197::SB15,,1437,444,0,0,154,70,34,26,38,23,25,0,1,1,7,5,2,56,0,0,2
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Café Bruggink,0197::SB16,,779,328,0,0,184,21,28,11,9,9,15,0,0,0,5,4,0,42,0,0,0
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bestuurskamer sporthal,0197::SB17,,1333,413,0,1,164,36,34,13,36,22,24,4,0,1,8,1,0,67,1,0,2
,Aalten,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Brandweerkazerne,0197::SB18,,1485,548,0,0,188,79,53,22,47,18,31,0,0,0,15,4,1,87,0,0,3
