contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stadhuis gemeente Amersfoort,0307::SB1,,2358,1250,8,2,114,147,126,248,83,71,238,15,3,6,56,6,6,118,4,2,7
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau scholen in de kunst (naast de Flint),0307::SB2,,2201,868,6,1,129,72,85,164,67,32,181,10,0,0,39,2,5,73,5,0,4
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau schoolgebouw de Vlindervallei,0307::SB3,,1967,648,0,3,67,109,40,110,46,49,117,4,1,3,30,0,1,63,5,0,3
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau verpleeghuis St. Elisabeth,0307::SB4,,2091,593,0,0,82,79,46,62,58,42,73,5,0,2,17,2,1,122,0,0,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau schoolgebouw het Stromenland,0307::SB5,,1606,512,0,0,54,69,42,54,42,66,59,1,0,1,13,1,2,99,1,3,5
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau de Open Hof,0307::SB6,,2153,704,3,3,115,103,45,49,52,96,70,3,0,4,36,6,1,120,0,0,4
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau woon- en zorgcentrum de Liendert,0307::SB7,,1404,479,1,2,84,70,31,44,40,63,43,0,1,3,10,0,2,84,3,0,1
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau burgemeester Molendijkflat,0307::SB8,,2466,1038,2,2,178,131,74,98,64,140,90,7,0,1,34,2,2,209,2,2,4
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau ABC school het Scala,0307::SB9,,2036,688,0,0,79,100,55,80,65,82,87,3,0,3,18,4,1,108,1,0,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau de Schuilenburght,0307::SB10,,905,520,0,1,150,43,74,34,19,48,64,2,0,0,10,1,0,71,1,0,3
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau prins Willem III flat,0307::SB11,,1773,708,0,0,73,86,55,117,52,72,95,2,1,0,32,9,0,106,6,0,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau woon- en zorgcentrum Nijenstede,0307::SB12,,2066,1001,0,3,153,181,74,150,50,110,122,5,0,1,42,5,1,103,2,0,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau wijkcentrum het Klokhuis,0307::SB13,,1655,604,2,1,84,99,38,70,51,74,51,7,0,4,25,2,1,95,2,0,1
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau schoolgebouw Guido de Brès,0307::SB14,,2511,1202,0,1,121,183,84,272,88,98,219,3,0,2,32,5,6,81,4,1,3
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau woon- en zorgcentr Burg v Randwijckhuis,0307::SB15,,1537,705,4,2,106,100,85,66,39,69,111,2,0,2,17,2,1,101,0,2,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau seniorenflat Otto Scheltus,0307::SB16,,1371,600,3,3,76,68,75,80,25,37,140,4,0,0,25,1,2,64,1,0,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau sporthal Juliana van Stolberg,0307::SB17,,1391,659,3,1,72,71,34,144,68,42,131,1,0,1,27,1,2,59,1,0,5
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Martuskerk,0307::SB18,,2211,976,0,0,100,114,84,171,66,89,180,0,0,1,33,3,2,127,2,2,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau woon- en zorgcentrum de Amerhorst,0307::SB19,,2057,981,2,0,158,110,87,127,61,111,164,4,1,0,35,3,1,105,6,0,8
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sint Ansfriduskerk,0307::SB20,,1693,902,0,2,102,119,108,164,34,49,208,4,1,0,33,1,1,75,2,0,1
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau schoolgebouw ROC Midden-Nederland,0307::SB21,,1389,751,1,1,79,92,100,126,43,40,171,2,0,0,28,3,3,60,2,0,2
,Amersfoort,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zon en Schild,0307::SB22,,425,116,3,2,20,19,9,15,7,9,16,0,2,0,6,0,0,12,0,0,1
