contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stadhuis,0202::SB1,,1654,842,2,0,88,105,116,144,88,13,143,11,4,1,32,2,1,85,6,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum de Rijnkant,0202::SB2,,1350,381,1,3,31,42,42,66,47,8,60,2,0,2,22,1,0,55,3,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Introdans (hoofdgebouw),0202::SB3,,1057,326,4,2,34,36,24,72,36,5,62,3,0,1,15,3,1,33,0,0,1
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Club- en buurthuis 't Huukske,0202::SB4,,1194,492,0,1,39,53,37,100,68,9,82,1,0,0,34,2,2,59,1,0,5
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Huis en Haard,0202::SB5,,905,431,1,1,59,67,38,76,24,9,87,1,2,2,14,2,1,47,2,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis de Sleutel,0202::SB6,,1011,455,1,0,52,68,26,116,53,19,69,0,1,1,20,1,3,21,1,0,4
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum Arnhem-West,0202::SB7,,1446,698,1,0,40,105,48,174,79,11,145,9,0,1,37,3,1,42,3,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bezoekerscentrum Sonsbeek,0202::SB8,,1065,571,1,0,34,79,48,144,24,10,161,5,0,0,24,2,3,31,1,0,5
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum De Bakermat,0202::SB9,,1635,957,0,5,126,116,172,132,33,9,245,2,2,0,26,1,2,85,1,1,4
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Pieter Brueghelschool,0202::SB11,,1084,745,3,1,91,82,149,90,26,14,210,8,0,0,19,2,2,47,4,0,1
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool Het Palet,0202::SB12,,1227,726,0,0,83,85,117,100,39,10,176,6,0,1,38,4,3,60,2,1,1
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Siza Dorp Groep,0202::SB13,,1324,571,2,4,104,33,107,47,23,11,102,3,0,0,22,6,1,105,1,1,5
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Pieter Brueghelschool,0202::SB14,,1249,622,2,1,112,78,85,75,50,13,100,6,1,0,25,3,1,69,1,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Rode Kruisgebouw,0202::SB15,,1232,751,1,4,111,108,81,123,72,12,111,9,0,0,24,2,3,84,7,0,4
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau ROC Rijn IJssel,0202::SB16,,1358,612,0,0,84,57,50,129,46,15,131,1,0,0,34,0,0,64,1,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau St. Annaschool,0202::SB17,,1745,658,3,1,34,74,55,178,71,7,133,4,0,4,45,4,6,38,0,2,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau St. Annaschool,0202::SB18,,1362,446,1,1,17,50,37,124,56,12,89,4,0,1,26,0,2,20,2,2,4
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum De Hommel,0202::SB19,,1365,488,2,0,20,48,48,123,52,6,110,7,0,1,25,2,6,36,0,0,4
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkwinkel Klarendal,0202::SB21,,1503,528,2,2,19,77,19,138,67,9,109,4,0,3,30,2,8,39,2,1,1
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum Klarendal,0202::SB22,,1634,278,0,1,17,29,13,59,39,7,40,1,0,6,24,1,5,33,1,2,1
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau VMBO 't Venster,0202::SB24,,1699,412,1,0,25,39,23,81,67,12,83,1,0,2,27,1,5,46,0,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau ROC Rijn IJssel (sector educatie),0202::SB25,,1179,605,2,0,72,96,63,108,70,7,102,2,2,3,21,1,2,53,1,0,2
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Jozef Sartoschool,0202::SB26,,1259,451,0,0,44,47,43,94,41,10,87,2,0,3,20,4,2,51,0,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Drie Gasthuizen,0202::SB27,,1699,929,0,2,129,136,138,132,44,24,209,2,0,1,21,2,3,84,1,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Opstandingskerk (hoofdingang),0202::SB29,,1253,582,2,1,58,80,45,127,41,6,94,2,2,0,25,4,4,87,4,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Vlindertuin,0202::SB30,,1825,398,0,0,49,72,14,43,49,8,32,0,0,3,23,0,1,101,3,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum de Grenspost,0202::SB31,,998,216,0,0,28,33,16,19,20,4,14,1,1,1,10,0,0,69,0,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dr. P.C.M. Bosschool,0202::SB32,,1504,321,1,0,24,61,7,40,57,8,32,0,0,0,18,3,0,70,0,0,1
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Paasberg,0202::SB34,,1625,806,0,0,93,120,97,159,44,25,140,1,2,0,21,1,0,93,3,0,7
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Vreedenhoff,0202::SB35,,1079,524,0,2,197,52,60,43,21,19,50,1,0,0,20,2,1,57,0,1,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau SWOA De Weldam,0202::SB36,,1387,576,2,2,160,78,72,34,23,30,55,4,0,0,8,1,0,111,0,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dr. W. Dreesschool,0202::SB37,,1550,457,0,2,85,77,29,41,36,14,37,5,0,0,23,4,0,102,1,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kantine AV&AC Eendracht,0202::SB38,,1535,438,0,0,74,84,30,37,45,15,37,0,0,2,25,3,1,85,0,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau O.L.V. van Lourdesschool,0202::SB42,,1912,367,0,3,50,73,9,29,29,13,56,0,0,2,12,1,0,89,1,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Annie M.G. Schmidtschool,0202::SB43,,1979,486,1,1,82,64,41,46,50,27,38,6,0,3,20,3,2,101,3,0,0
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkwinkel Presikhaaf,0202::SB45,,1294,207,1,0,16,23,8,31,23,21,31,2,0,0,14,2,0,32,1,0,3
,Arnhem,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Waalstaete,0202::SB47,,1339,332,2,1,53,61,14,32,39,5,35,1,0,2,17,0,4,65,0,0,4
