contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Schouwburg De Kampanje,0400::SB1,,1701,608,2,0,91,64,70,37,63,22,55,0,3,2,37,3,4,153,1,1,2
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Schouwburg De Kampanje,0400::SB2,,1469,339,4,1,44,42,30,27,44,26,33,2,1,1,14,2,0,68,1,1,3
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Buurthuis Centrum,0400::SB3,,1249,296,0,0,34,29,29,18,40,9,12,3,0,1,9,4,0,104,2,1,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis 't Kraaienest,0400::SB4,,2104,512,0,0,60,75,72,35,47,24,35,3,0,0,25,4,1,130,0,1,0
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ten Anker,0400::SB5,,1867,698,3,2,135,86,86,58,33,39,66,1,0,0,41,2,1,149,1,0,0
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis 'ELTO',0400::SB6,,2527,475,1,1,66,59,35,23,61,33,36,2,0,0,34,6,1,117,0,0,2
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Stichting Triton v.m. Avalon,0400::SB7,,1748,363,0,0,37,40,28,27,45,24,24,0,1,1,15,4,1,115,0,0,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis 'De Overzet',0400::SB8,,1444,319,0,0,48,36,23,10,21,36,37,1,0,0,20,3,1,82,0,0,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis 'Huisduinen',0400::SB9,,423,200,0,0,25,27,51,15,3,4,23,2,0,0,11,2,0,37,0,0,0
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Prof. Dr. S. Greijdanusschool,0400::SB10,,1428,363,1,0,47,40,60,16,25,42,22,0,1,1,10,4,1,94,0,0,0
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Draaikolk,0400::SB11,,1050,339,1,0,60,41,41,19,25,36,20,1,0,1,12,1,0,78,0,0,4
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau OBS 'Tweemaster-Tuselant',0400::SB12,,1475,306,0,1,23,36,23,25,36,23,20,0,0,0,31,0,2,85,1,0,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau St. Zorggroep Tellus, Huis ter Duin",0400::SB13,,1429,546,0,1,91,60,69,26,24,39,56,2,0,2,23,6,2,142,3,0,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Lichtboei,0400::SB14,,1961,461,3,0,60,73,51,17,43,30,17,1,0,1,24,7,0,133,0,2,2
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bewonersvereniging  Zuid-Ooster,0400::SB15,,2221,564,0,1,70,41,63,41,44,49,59,0,0,0,30,3,1,161,2,0,0
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Onderwijsbegeleidingsdienst,0400::SB16,,1392,350,0,0,33,31,78,15,13,15,40,3,0,1,22,2,0,92,2,0,3
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dienstencentrum,0400::SB17,,1312,441,0,0,74,53,65,14,22,28,18,3,0,1,13,1,0,143,5,0,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dienstencentrum,0400::SB18,,1370,285,0,0,42,54,37,20,13,14,22,0,0,0,12,1,1,68,0,0,1
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau 'De Boerderij',  Van Waardenburgln",0400::SB19,,1853,568,2,0,95,91,66,28,31,37,30,1,0,0,32,1,0,151,0,0,5
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Vredeskerk,0400::SB20,,2092,695,4,1,129,86,87,38,36,27,56,1,1,0,31,7,0,190,2,1,3
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Residence Buitenveld,0400::SB21,,1155,379,0,3,102,46,68,19,9,15,32,0,1,0,13,2,0,71,1,0,0
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw 't  Zwanenest,0400::SB22,,1764,476,0,1,61,28,70,25,30,19,47,0,0,0,33,1,1,158,1,0,2
,Den Helder,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gymlokaal nabij OBS Vogelwei,0400::SB23,,2236,797,0,1,106,80,137,50,46,39,100,1,0,0,39,6,0,186,1,1,5
