contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis Dinkelland,1774::SB1,,1659,774,0,1,313,68,125,29,28,11,44,1,1,1,11,4,1,133,2,1,1
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau OBS Dr. M.L. Kingschool,1774::SB2,,1812,512,0,2,164,49,48,26,37,9,42,1,1,0,17,4,0,107,0,4,3
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorggroep St. Maarten,1774::SB3,,1934,503,0,0,273,60,24,18,16,2,23,0,0,0,5,5,0,76,0,0,1
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Brandweerkazerne,1774::SB4,,1114,303,0,1,78,19,39,22,18,5,39,2,1,0,2,2,0,76,0,0,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Parochiecentrum Noord Deurningen,1774::SB5,,814,357,0,0,248,13,23,12,6,0,10,0,0,0,2,1,0,38,0,0,4
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gasterij de Smid,1774::SB6,,771,257,0,1,173,10,20,5,4,6,11,1,0,0,4,1,1,20,0,0,1
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Cafe Haamberg,1774::SB7,,662,234,0,0,177,6,17,4,3,0,12,0,0,0,2,0,0,13,0,0,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Cafe Groot Agelo,1774::SB8,,694,234,0,0,140,5,36,9,1,3,11,0,0,0,7,0,0,22,0,0,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Voormalig Gemeentehuis Weerselo,1774::SB9,,1190,410,1,0,232,20,39,16,14,6,22,0,0,0,5,2,0,52,0,0,2
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau 't Trefpunt,1774::SB10,,1029,344,0,0,178,18,39,16,10,7,25,1,0,0,6,0,0,44,0,0,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kulturhus,1774::SB11,,1249,483,0,2,321,15,35,14,11,5,15,1,0,0,5,0,0,60,0,0,1
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kulturhus Rabo-de CoCeR,1774::SB12,,1711,551,3,0,341,37,32,19,29,6,25,1,1,0,6,1,0,53,0,0,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau RK Basisschool Willibrordus (D),1774::SB13,,1427,578,1,0,342,26,55,10,11,6,25,1,0,0,9,3,0,90,0,0,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Huize Franciscus,1774::SB14,,1644,735,6,1,328,32,121,38,16,6,58,1,1,2,11,6,1,113,0,1,0
,Dinkelland,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Brede School de Bres,1774::SB15,,1690,561,0,3,242,47,69,42,11,2,40,0,1,0,8,5,2,91,1,0,0
