contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stadskantoor,0385::SB1,,1882,619,1,0,122,18,78,11,13,3,27,2,1,0,20,5,1,317,0,0,1
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Spinmolen,0385::SB2,,2044,653,4,1,107,24,64,14,20,12,14,4,1,0,20,5,1,362,2,0,3
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Springplank,0385::SB3,,2058,628,2,0,96,17,69,25,26,1,18,3,0,3,3,2,0,359,0,1,5
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Zuidwester,0385::SB4,,1691,537,0,0,127,16,48,18,13,9,15,1,0,0,9,2,0,277,0,0,2
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau St. Vincentiusschool,0385::SB5,,1645,498,1,1,108,22,58,17,19,4,14,2,1,0,10,1,3,234,0,1,4
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Jozef,0385::SB6,,1692,498,0,1,127,16,34,15,19,6,10,1,0,0,16,7,0,244,3,0,0
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau St. Nicolaashof,0385::SB7,,1470,496,2,2,215,13,21,17,9,1,9,1,0,0,21,3,0,185,1,0,0
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau St. Petrusbasisschool,0385::SB8,,1587,492,0,0,94,17,81,7,18,0,19,1,0,0,12,9,0,230,3,1,0
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Tennisvereniging Dijkzicht,0385::SB9,,1874,521,0,1,126,11,65,5,22,6,8,1,2,0,7,1,0,261,4,0,2
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Piramide,0385::SB10,,1530,568,2,1,46,79,67,60,56,6,51,2,1,0,27,6,3,159,1,0,4
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Meermin,0385::SB11,,1518,736,4,0,139,85,124,91,38,8,89,4,0,1,26,4,2,124,1,0,0
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stadhuis,0385::SB12,,1162,598,0,0,57,88,81,72,54,7,95,2,1,0,46,3,0,90,0,0,2
,Edam-Volendam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Singel,0385::SB13,,1338,581,1,0,67,103,70,73,34,3,76,3,0,1,29,5,4,112,1,0,0
