contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis,0779::SB1,,1541,359,0,1,100,46,50,19,35,6,21,0,0,0,14,4,0,62,0,0,2
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sporthal de Veste,0779::SB2,,1251,342,1,0,68,43,30,17,36,8,26,1,1,0,12,3,2,94,0,1,0
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Riethorst,0779::SB3,,1248,298,0,0,49,40,26,23,31,3,17,3,0,1,16,5,0,79,3,0,2
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Cultureel Centrum De Schattelijn,0779::SB4,,1674,481,2,0,90,60,67,34,48,7,56,1,1,0,19,2,0,95,0,0,1
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Mauritsstaete,0779::SB5,,1236,419,1,1,116,58,32,11,42,6,22,0,0,0,15,0,0,117,0,0,0
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Activiteitencentrum Prisma,0779::SB6,,1256,329,0,0,70,47,21,14,26,16,19,1,0,3,15,4,0,92,1,0,0
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum Het Hoge Veer,0779::SB7,,1617,566,0,2,208,60,75,34,27,14,50,0,1,2,4,0,0,88,1,0,2
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Schoolgebouw Meidoornstraat,0779::SB8,,1386,368,5,0,90,44,61,18,34,7,29,1,0,0,4,1,0,78,0,0,1
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau School De Ruif,0779::SB9,,1684,508,0,0,107,64,89,32,32,6,59,1,1,0,13,4,1,91,5,0,3
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis De Schelf,0779::SB10,,1937,492,3,0,85,58,70,33,43,6,39,3,1,1,23,2,1,122,1,0,4
,Geertruidenberg,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ontmoetingscentrum,0779::SB11,,1523,526,1,0,183,38,48,40,25,6,25,3,0,0,7,1,0,150,0,0,0
