contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis,0015::SB1,,1603,591,1,0,226,49,43,29,14,130,32,0,1,1,14,2,0,50,0,0,0
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Irene,0015::SB2,,493,166,0,0,44,22,14,4,9,25,12,1,0,0,7,1,1,25,1,0,0
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis 't Kompas,0015::SB3,,728,262,0,0,131,18,14,7,9,36,7,0,0,0,7,1,0,32,0,0,0
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Verzorgingshuis Het Hooge Heem,0015::SB4,,959,360,0,0,167,31,32,6,19,61,1,3,0,0,12,2,1,23,0,0,2
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw De Branding,0015::SB5,,833,308,1,0,147,15,12,16,15,55,6,2,0,0,5,1,0,32,0,0,2
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis 't Hörnhuus,0015::SB6,,553,194,0,0,77,9,8,4,11,48,6,1,0,0,1,1,0,26,0,0,2
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Vrijzinnig gebouw,0015::SB7,,427,158,0,0,47,19,13,14,14,18,4,2,0,0,5,0,0,20,0,0,2
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stichting Mfc De Veste,0015::SB8,,1342,349,0,0,105,52,34,16,23,47,16,0,0,0,8,1,0,47,0,0,0
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Ons Centrum,0015::SB9,,825,311,0,1,133,21,21,27,5,38,20,0,0,1,7,0,0,35,0,0,3
,Grootegast,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis De Rotonde,0015::SB10,,1223,441,1,1,135,67,47,37,21,47,24,1,0,0,8,4,0,47,1,0,2
