contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Raadhuis,0397::SB1,,1700,1051,3,1,163,96,254,67,30,8,249,8,0,1,43,5,0,115,6,2,4
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Heemhaven,0397::SB2,,1576,908,1,3,158,69,240,56,20,14,172,6,1,1,18,5,1,142,1,1,3
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Voorwegschool,0397::SB3,,1719,706,2,0,74,57,112,75,44,15,149,6,2,2,39,1,3,124,1,0,2
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Huize Bosbeek,0397::SB4,,1551,707,0,0,191,61,98,85,27,22,107,2,0,1,18,3,0,88,3,0,1
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Princehof,0397::SB5,,1528,761,1,3,128,86,137,61,51,9,98,4,1,1,26,4,3,147,3,0,2
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Schoolgebouw,0397::SB6,,1785,739,1,0,122,77,125,86,30,9,132,7,1,0,35,7,0,102,2,0,4
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Evenaar,0397::SB7,,1599,844,0,0,137,74,175,89,38,10,155,1,1,0,35,6,2,118,1,0,2
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Luifel,0397::SB8,,1476,644,3,0,119,66,102,65,33,9,107,0,1,1,31,7,1,97,1,0,4
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bibliotheek,0397::SB9,,1620,837,2,0,106,73,180,71,41,15,198,7,0,1,30,2,1,103,5,1,3
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Het Overbos,0397::SB10,,1666,725,0,0,145,79,151,62,14,7,124,3,0,0,38,6,1,94,0,0,1
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Crayenesterschool,0397::SB11,,1699,967,2,0,107,68,306,87,24,13,261,5,0,0,21,1,2,64,4,0,4
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bosch en Hoven school,0397::SB12,,1730,975,1,3,108,118,235,96,24,10,248,2,0,0,30,1,1,84,13,0,5
,Heemstede,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau mobiel stembureau,0397::SB13,,0,46,0,1,18,9,8,0,4,1,3,0,0,0,1,0,0,2,0,0,0
