contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis,0074::SB1,,1295,622,0,1,107,160,63,59,45,27,49,2,0,0,27,5,1,73,2,0,2
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum Mariënbosch,0074::SB2,,1274,376,0,0,96,95,37,17,35,17,28,2,0,0,9,5,0,32,3,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau obs van Maasdijkschool,0074::SB3,,1321,457,0,0,68,106,52,43,42,13,58,2,0,2,15,4,0,49,0,0,3
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gymnastieklokaal van Kleffensschool,0074::SB4,,1285,458,1,2,79,111,38,44,48,23,44,0,0,2,13,4,0,51,0,0,1
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gymnastieklokaal van Kleffensschool,0074::SB5,,1297,504,1,0,82,119,49,46,44,22,53,3,0,2,20,5,0,57,1,0,1
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Serviceflat Heerenhage,0074::SB6,,1208,543,0,1,102,119,73,37,34,20,66,1,0,2,13,0,0,72,3,1,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum de As,0074::SB7,,1276,364,0,2,55,63,22,38,48,29,29,2,1,0,21,3,1,45,0,0,7
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau obs de Ynlaet,0074::SB8,,1082,421,0,0,68,78,28,48,49,29,44,0,1,2,20,2,0,46,2,0,4
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Coornhertstate,0074::SB9,,2273,838,0,5,154,249,59,50,66,63,78,1,0,0,23,4,1,86,0,0,4
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Brandweerkazerne,0074::SB11,,740,438,0,0,79,87,102,16,14,14,78,1,0,1,6,0,0,37,1,0,2
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Thialf,0074::SB12,,1270,418,0,0,77,71,75,29,18,21,54,0,0,0,14,5,0,52,2,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum Heremastate,0074::SB13,,1313,417,0,0,102,77,35,39,46,23,28,1,0,0,9,6,1,47,1,0,2
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Serviceflat Oranjewoud,0074::SB14,,1253,549,0,2,123,127,83,33,17,37,47,1,1,20,4,0,0,56,0,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum De Kempenaer,0074::SB15,,1116,341,1,0,64,77,31,22,41,18,31,4,1,1,12,3,1,34,1,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum Marijke Hiem,0074::SB16,,1329,481,0,2,85,129,39,33,32,28,41,1,1,0,14,2,0,75,1,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau 't Nije Huys,0074::SB17,,1167,295,0,0,73,85,25,15,20,14,20,0,0,0,6,2,0,35,0,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau de Heerenveense school,0074::SB18,,1267,452,1,1,71,150,42,18,32,12,40,1,0,1,22,2,1,57,1,0,2
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kantine VV Heerenveen,0074::SB19,,2579,978,1,1,157,189,176,72,33,48,164,7,1,4,28,4,0,94,0,1,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau ""it Trefpunt""",0074::SB21,,986,458,0,0,110,85,71,36,24,27,50,2,0,1,9,5,2,34,0,0,2
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Dorpshuis ""de Kiekenhof""",0074::SB22,,2086,743,0,0,155,212,55,64,33,44,72,4,0,0,17,3,0,83,1,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau het Streekcentrum,0074::SB24,,822,248,0,1,57,65,19,25,25,4,12,0,0,0,13,3,0,24,0,0,1
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Dorpshuis ""it Pipegaeltsje""",0074::SB25,,645,205,0,0,61,35,30,25,6,5,15,1,0,0,9,0,0,17,0,1,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau N.H. Verenigingsgebouw,0074::SB26,,1799,378,0,1,43,136,31,30,40,5,13,2,0,0,13,0,1,64,0,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Multifunctioneel centrum ""de Barte""",0074::SB28,,1364,519,0,0,93,115,58,43,36,33,43,4,3,0,15,2,3,71,0,0,0
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Hartmanshûs,0074::SB29,,1331,451,1,0,89,86,47,38,37,37,48,2,0,2,14,4,0,45,1,0,1
,Heerenveen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Mobiel stembureau,0074::SB30,,0,64,0,0,4,15,7,6,4,3,6,0,0,0,4,3,0,12,0,0,0
