contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeentehuis, trouwzaal",0398::SB1,,2074,930,0,4,189,138,112,54,79,12,91,5,1,1,22,9,2,212,0,1,2
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau O.b.s. De Aventurijn,0398::SB2,,1411,457,1,1,51,73,55,45,47,14,50,1,1,0,20,6,2,88,0,1,3
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau O.b.s. De Fonkelsteen,0398::SB3,,2046,732,1,1,113,107,98,81,66,16,99,9,2,0,42,5,2,91,0,0,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis De Hoeksteen,0398::SB4,,1616,502,0,0,61,67,49,60,61,21,58,5,0,1,26,3,2,83,3,1,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau P.C.b.s. De Tweemaster,0398::SB5,,1650,360,0,0,35,47,31,43,35,10,37,1,2,2,21,2,0,93,1,0,0
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau R.K. Jenaplan-school De Kameleon,0398::SB6,,1784,302,3,4,38,48,21,28,45,15,21,1,1,2,12,3,0,61,1,0,5
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau O.b.s. de Hasselbraam, lokatie Windmolen",0398::SB7,,1349,421,1,0,65,57,52,34,38,14,53,0,0,2,20,1,3,79,0,0,3
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau O.b.s. Atalanta,0398::SB8,,2984,673,2,1,92,96,128,56,55,14,84,7,3,1,34,3,1,96,1,0,2
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Boomladder,0398::SB9,,1579,575,1,2,74,92,68,45,49,17,69,4,2,0,20,3,2,127,1,1,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcomplex Arboretum,0398::SB10,,1513,413,2,1,66,66,39,36,32,17,27,1,1,0,25,3,0,100,0,0,0
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Huize Hugo-Oord,0398::SB11,,1677,615,0,1,192,74,89,35,23,13,52,3,0,1,24,7,3,89,5,1,4
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau O.b.s. Jeroen Bosch,0398::SB12,,1104,383,0,1,78,43,51,38,38,8,36,1,0,0,12,2,1,73,1,0,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau R.K.b.s. De Zevensprong,0398::SB13,,1492,376,0,3,62,40,37,32,39,7,49,0,1,0,18,3,0,86,1,1,0
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis De Noord,0398::SB14,,1940,655,0,1,266,35,113,30,18,7,44,5,1,0,6,1,0,126,0,3,0
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau S.B.O. De Witte Raven,0398::SB15,,961,388,2,0,83,53,57,31,28,5,34,2,1,0,13,1,1,77,0,0,2
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Vonder,0398::SB16,,1262,416,0,0,125,46,57,13,22,11,46,1,0,0,9,0,2,81,2,0,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Kern 8,0398::SB17,,1212,375,1,0,67,55,45,29,32,13,35,4,0,0,19,3,0,71,1,0,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gymzaal De Kleine en Grote Beer,0398::SB18,,1375,412,0,0,67,61,45,36,38,18,32,2,0,0,28,7,0,74,1,1,2
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis De Deel,0398::SB19,,1653,686,1,0,148,76,114,42,45,10,74,6,1,0,18,3,3,141,0,0,5
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Het Trefpunt (Appartementencomplex),0398::SB20,,2355,537,1,1,65,65,84,62,58,15,51,1,0,1,20,1,0,106,3,0,5
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau O.b.s. De Hasselbraam,0398::SB21,,1903,568,2,0,63,67,90,46,55,14,72,5,1,3,28,3,0,118,1,1,1
,Heerhugowaard,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sporthal Heerhugowaard-Zuid,0398::SB22,,2675,725,0,1,78,93,112,62,54,14,108,10,2,2,24,5,1,153,6,1,0
