contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stadhuis ingang Raadhuisplein,0917::SB1,,2017,970,2,0,216,90,88,66,143,3,95,5,2,2,46,7,3,198,1,0,5
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bejaardencentrum Douvenrade,0917::SB2,,997,461,0,0,195,40,47,25,28,5,26,3,0,0,7,5,1,76,0,0,3
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Trefcentrum 't Loon,0917::SB4,,2045,579,4,2,101,72,20,41,98,5,36,2,1,4,27,5,0,160,4,0,3
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Luciushof,0917::SB6,,1554,713,0,1,220,80,78,36,87,7,42,1,1,1,14,2,1,138,1,0,4
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bernardinuscollege,0917::SB7,,1606,668,1,1,149,81,125,72,59,9,95,0,0,0,9,2,1,60,1,0,5
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool St. Tarcisius,0917::SB10,,1596,598,4,0,132,74,36,64,97,15,51,2,0,1,37,1,1,83,1,1,2
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sintermeertencollege,0917::SB11,,945,381,0,0,132,29,55,21,23,3,45,1,0,0,7,0,1,60,0,0,4
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stg expl gemeenschapsvoorziening Sint Martinus,0917::SB12,,1864,867,3,0,248,83,102,61,73,4,97,1,0,0,24,5,1,157,4,0,7
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau VKH (Verpleegkliniek),0917::SB14,,479,104,1,3,27,7,11,9,18,2,3,1,0,0,4,0,0,22,0,0,0
,Heerlen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sporthal,0917::SB16,,1842,485,0,0,145,47,30,16,73,1,20,0,0,1,12,1,0,134,2,0,3
