contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stadhuis,0164::SB1,,1729,834,3,3,103,111,118,110,114,15,118,6,0,2,25,4,3,102,1,1,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Trivium Zorggroep Twente,0164::SB2,,1726,655,0,0,107,101,85,65,68,15,94,0,0,0,21,4,0,84,2,0,9
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum Het Woolde,0164::SB3,,1575,648,0,2,164,120,74,38,62,16,62,0,0,0,7,3,2,94,5,0,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Speeltuinvereniging Weidedorp,0164::SB4,,2078,692,5,0,145,94,63,49,100,24,65,9,0,1,18,2,0,119,2,0,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dr. A. Kuyperschool,0164::SB5,,1766,677,1,0,130,103,60,86,97,19,71,0,0,2,18,3,1,86,0,0,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Clubgebouw Achilles '12,0164::SB6,,1698,444,0,0,98,66,41,34,68,9,38,3,0,1,10,2,1,72,1,0,0
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool Het Kompas,0164::SB7,,1534,423,3,1,55,56,21,45,81,2,53,0,0,2,22,4,1,79,0,1,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ontmoetingsruimte Thiemsbrug,0164::SB8,,1650,634,4,0,168,82,75,35,82,15,47,2,1,1,18,4,2,99,2,0,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Ontmoetingskerk,0164::SB9,,1451,479,0,0,161,54,41,25,40,23,42,3,0,1,8,3,2,74,1,0,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woonzorgcentrum Backenhagen,0164::SB10,,1395,454,0,1,171,65,29,17,59,12,24,2,0,1,10,4,1,55,2,1,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kindercentrum Esrein,0164::SB11,,1321,392,0,0,89,60,20,28,58,10,59,5,1,3,11,0,1,45,0,0,2
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Scholengemeenschap Beyaert,0164::SB12,,1299,501,0,2,104,75,88,48,30,7,77,1,0,0,12,1,1,47,5,0,5
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau School Spec. Onderwijs 't Korhoen,0164::SB13,,1209,464,4,1,142,56,38,31,50,8,43,4,1,3,13,6,4,62,1,1,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Scholengemeenschap Beyaert,0164::SB14,,1532,383,5,5,92,48,25,31,46,8,44,1,0,0,13,3,2,65,3,1,1
,Hengelo,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis Klein Driene,0164::SB15,,1538,353,2,1,62,50,17,25,57,11,24,2,0,2,16,2,1,84,0,0,0
