contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Hal stadskantoor,0677::SB1,,2197,826,6,1,214,94,131,31,49,5,78,2,3,1,19,2,1,191,1,0,4
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau St. Curamus, loc. De Blaauwe Hoeve",0677::SB2,,1306,491,1,1,153,74,49,27,32,1,29,0,1,0,14,4,0,105,0,1,1
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeenschapscentrum ""Den Dullaert""",0677::SB3,,2221,854,0,0,237,97,105,60,46,11,100,1,0,0,20,5,0,163,0,3,6
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Reynaertcollege, lokatie Gildenstr",0677::SB4,,2312,628,1,0,99,83,79,35,50,5,68,1,2,0,43,3,0,157,0,0,3
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeenschapscentrum ""Malpertuus""",0677::SB5,,1700,478,1,2,91,90,43,22,42,4,28,2,2,0,21,2,0,130,1,0,0
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeenschapscentrum ""De Kauter""",0677::SB6,,567,198,2,0,66,23,13,3,17,3,4,0,0,0,10,2,1,54,0,0,2
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeenschapshuis ""Graauw""",0677::SB7,,659,251,0,4,104,25,15,18,29,2,13,0,0,0,6,1,0,38,0,0,0
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeenschapscentrum ""De Warande""",0677::SB8,,2623,740,3,1,183,86,96,36,49,7,54,8,1,1,23,5,1,185,0,0,5
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Gemeenschapscentrum "" Heike """,0677::SB9,,994,315,0,0,92,31,32,15,17,7,11,1,0,0,14,1,0,88,2,0,4
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau St.Curamus, loc: Antonius",0677::SB10,,1258,447,1,3,158,39,44,11,69,1,25,1,0,0,5,1,0,93,0,0,0
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpscentrum De Luifel,0677::SB11,,751,258,0,3,82,22,25,20,20,1,10,0,0,0,9,1,1,65,0,0,2
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis Terhole,0677::SB12,,470,153,1,0,49,21,8,14,16,2,11,1,1,0,8,0,2,19,0,0,1
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpscentrum Vogelwaarde,0677::SB13,,1471,480,1,3,148,45,38,22,49,7,32,0,0,0,13,1,1,120,1,0,3
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeenschapshuis Hof ter Nesse,0677::SB14,,404,153,0,0,47,10,15,9,21,3,8,0,0,0,9,0,0,31,0,0,0
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpscentrum De Schuur,0677::SB15,,498,201,1,1,58,12,19,12,24,11,6,0,0,0,9,1,0,49,0,0,0
,Hulst,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis Hontenisse (kantine),0677::SB16,,1247,380,1,2,113,30,47,20,42,11,10,0,0,0,7,1,0,98,1,0,0
