contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentehuis,0579::SB1,,1361,924,3,1,90,107,200,113,28,31,231,7,0,0,31,1,1,75,5,1,3
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Zorgcentrum ""van Wijckerslooth""",0579::SB2,,980,552,1,0,80,37,128,48,15,14,170,4,0,0,9,0,1,43,1,0,2
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Recreatiezaal Trompenburg,0579::SB3,,1455,796,2,1,117,63,168,88,31,24,190,5,0,2,27,3,0,74,3,0,1
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau zorgcentrum ""Hofwijck""",0579::SB4,,1268,801,2,1,91,67,213,67,13,17,209,5,0,0,17,2,2,91,5,0,2
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Basisschool ""de Kring""",0579::SB5,,1052,686,1,0,83,77,133,71,23,16,190,7,1,0,8,6,0,61,3,0,7
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentecentrum Lijtweg,0579::SB6,,1411,883,3,0,152,88,151,91,61,34,155,3,0,2,22,8,1,103,5,0,7
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Brandweerkazerne,0579::SB7,,1493,713,1,7,130,94,101,68,41,27,110,3,1,0,26,0,3,99,5,0,5
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Buurthuis ""De Kratong""",0579::SB8,,1331,454,1,1,68,35,57,42,36,18,59,1,0,2,32,2,0,95,4,0,3
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau woonlocatie Tilly Koenen,",0579::SB9,,1113,549,0,0,108,54,67,70,25,15,97,3,1,0,28,5,1,69,2,0,4
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau recreatiezaal Boerhaaveplein,0579::SB10,,1197,587,3,2,91,81,65,64,38,14,96,1,1,1,35,1,0,97,1,0,1
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Obs De Springplank,0579::SB11,,958,570,1,0,84,52,87,81,25,17,100,8,0,0,26,1,1,83,1,0,4
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gemeentewerf,0579::SB12,,1370,579,1,0,92,70,112,38,28,19,102,4,0,0,22,4,2,80,0,2,4
,Oegstgeest,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dagcentrum W. van der Bergstichting,0579::SB13,,1469,722,4,2,74,108,129,83,16,8,173,7,0,0,26,0,0,93,2,0,3
