contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.01:Trouwzl. gemeentehuis Rheden,0275::SB1,,1016,526,0,1,95,46,88,65,46,10,76,2,0,1,25,0,2,67,2,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.02:Woonzorgcompl. Nw-Schoonoord,0275::SB2,,969,687,1,1,121,79,190,37,29,6,126,0,2,1,18,3,2,68,3,1,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.03:Verzorgingshuis De Biesdel,0275::SB3,,1017,639,0,0,97,52,177,46,16,12,137,0,0,0,18,0,1,78,4,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.04:Parkstaete Zalencentrum Vof,0275::SB4,,1140,652,1,0,111,76,125,74,48,13,115,2,0,0,34,2,5,43,3,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.05:PC Basisschool De Arnhorst,0275::SB5,,1390,688,2,2,102,80,100,102,50,37,108,1,1,0,26,2,4,70,3,0,2
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.06:RK Basisschool Fredericus,0275::SB6,,1136,568,2,0,122,55,94,57,52,10,87,3,1,4,18,4,1,59,0,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.07:OBS Het Kleurenrijk,0275::SB7,,1065,462,1,0,103,48,66,54,29,11,55,3,3,1,20,2,3,62,2,0,0
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.08:Wooncomplex Broeckerhave,0275::SB8,,1587,590,2,2,119,88,69,44,51,17,79,1,0,0,19,3,1,97,0,1,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.09:Voorm.Van Voorthuijsenschool,0275::SB9,,1767,613,1,1,75,89,51,102,87,26,71,2,1,0,16,3,3,86,1,0,0
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.10:Verzorgingshuis H.A. Lorentz,0275::SB10,,1399,355,0,4,63,55,23,24,44,5,16,1,0,1,10,4,1,107,1,0,0
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.11:Wooncentrum De Ulenpas,0275::SB11,,1036,342,1,2,45,99,9,6,51,6,19,1,0,3,8,2,3,87,2,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.14:Soc.Cult.Centr. De Poort,0275::SB14,,1866,442,0,1,36,93,18,47,74,15,39,1,1,0,23,5,1,86,0,0,3
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.15:Attent wwz locatie Rhederhof,0275::SB15,,1943,815,4,3,206,159,75,70,64,25,73,2,1,1,28,2,1,106,0,1,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.16:CKC Rheko,0275::SB16,,1516,363,0,0,73,49,20,30,51,7,29,1,0,0,12,1,1,84,1,1,3
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.17:Ons Huis,0275::SB17,,1211,486,0,0,104,63,63,44,35,20,50,4,0,0,12,3,0,86,0,1,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb18:Sport/gezondh.centr De Cirkel,0275::SB18,,1128,463,0,0,76,51,44,41,43,24,55,1,1,3,23,4,1,96,0,0,0
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.19:Dorpshuis Ellecom,0275::SB19,,886,457,0,0,100,54,57,71,29,3,76,3,1,1,20,0,4,36,1,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.20:Attent wwz loc. Oude Plataan,0275::SB20,,1741,740,0,0,123,101,86,88,81,31,106,2,1,0,33,1,5,76,1,0,5
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.21:Zalencentrum Theothorne,0275::SB21,,1488,435,0,0,76,85,17,17,67,14,28,1,0,2,25,2,0,99,1,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.22:Schweer bey der Beckehof,0275::SB22,,1267,439,0,3,79,57,31,57,50,28,55,3,0,0,22,3,3,47,1,2,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.23:Verpleeghuis Gelders Hof,0275::SB23,,1002,347,1,0,64,58,13,42,32,21,36,0,0,0,25,1,0,53,1,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.24:Obs. Annie M.G. Schmidt,0275::SB24,,1373,491,0,0,95,88,20,50,54,23,55,2,1,0,18,0,1,82,0,0,2
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.25:Attent wwz locatie Beverode,0275::SB25,,1172,581,0,0,127,70,89,53,49,18,84,0,0,0,12,4,1,71,3,0,0
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.26.Obs. De Vogelaar,0275::SB26,,1701,487,0,0,70,84,32,35,70,28,34,1,0,1,26,0,1,102,2,1,0
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.27:Wijkcentrum De Drieschaar,0275::SB27,,1935,756,0,1,125,119,46,79,97,41,88,4,0,0,34,1,1,119,1,0,1
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.28:Dorpshuis Spankeren,0275::SB28,,786,287,1,0,58,44,23,25,28,15,33,3,1,0,8,0,0,47,0,0,2
,Rheden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau stb.29:(tijdelijk) Dorpshuis Lg Srn,0275::SB29,,659,280,0,0,40,39,49,21,14,1,47,1,0,0,21,1,0,44,1,0,1
