contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Stadswinkel (hoofdingang, rechts)",0606::SB1,,1771,619,6,2,69,75,62,69,52,18,86,5,3,0,26,2,1,140,3,2,6
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Parochiecentrum De Wilgenburg,0606::SB2,,1514,358,5,1,29,45,22,40,48,18,29,4,0,4,18,0,0,99,1,1,0
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Parochiecentrum De Wilgenburg,0606::SB3,,1467,236,1,1,17,28,14,22,29,6,29,1,0,0,15,2,0,71,1,1,0
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Stadswinkel (hoofdingang, rechts)",0606::SB4,,1806,843,4,9,70,139,82,70,72,21,91,6,1,1,42,5,0,233,4,1,5
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkgebouw Kluphuis Oost,0606::SB5,,1529,361,0,2,19,65,22,26,50,12,27,0,1,2,18,0,2,116,0,0,1
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Openbare Basisschool De Peperklip,0606::SB6,,1548,302,2,0,18,53,8,23,48,15,19,3,0,9,11,1,1,93,0,0,0
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Openbare Basisschool De Peperklip,0606::SB7,,1599,324,0,7,27,56,19,32,44,15,26,0,0,0,19,2,0,81,1,1,1
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkgebouw Klubhuis Zuid,0606::SB8,,1681,446,2,0,27,59,36,18,61,6,32,1,0,3,19,4,0,175,2,2,1
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkgebouw Klubhuis Zuid,0606::SB9,,1552,494,1,5,37,57,37,32,70,17,39,1,0,0,33,2,1,167,0,0,1
,Schiedam,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Openbare Basisschool De Gorzen,0606::SB10,,1462,278,3,0,24,38,20,16,32,6,14,1,1,0,8,1,0,112,0,3,2
