contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dienstencentrum Duivenwal,0345::SB1,,1864,697,2,3,137,69,50,31,25,148,38,0,0,2,21,2,0,172,1,0,1
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sportstudio (voorheen CIZ/resp.RIO),0345::SB2,,1647,394,1,2,57,40,16,24,31,133,16,1,0,0,5,0,2,66,0,2,1
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Juliana van Stolbergschool (dep. 1),0345::SB3,,1674,585,3,0,111,76,29,24,27,182,28,1,0,0,14,0,0,90,2,0,1
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woon-en Zorgcentrum De Engelenburgh,0345::SB4,,1645,646,0,0,140,43,42,20,22,252,12,1,0,0,5,1,0,106,2,0,0
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zaal van Apostolisch Genootschap,0345::SB5,,1511,707,0,1,153,40,95,30,9,175,57,1,0,1,20,1,0,125,0,0,0
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Vergaderzaal Het Trefpunt,0345::SB6,,1565,731,2,1,166,53,57,19,26,219,29,2,0,1,9,2,0,145,2,0,1
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Shalom (achter Vredeskerk),0345::SB7,,1397,662,1,1,151,47,78,29,14,180,42,2,0,0,7,7,0,102,3,0,0
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gebouw Groenhof,0345::SB8,,1507,623,0,0,120,68,74,30,24,147,29,1,0,0,14,0,0,116,0,0,0
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau School De Vuurvlinder (zuid),0345::SB9,,1473,519,2,0,80,41,35,24,25,150,31,1,0,0,12,3,0,113,0,0,4
,Veenendaal,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Juliana van Stolbergschool (dep. 2),0345::SB10,,1127,279,1,2,36,27,13,18,28,77,11,0,0,1,8,0,1,59,0,0,0
