contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sellingen (Gemeentehuis),0048::SB1,,1331,627,0,0,186,73,49,58,40,25,48,0,0,3,28,2,1,110,1,0,3
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Vlagtwedde (De Bolderborg),0048::SB2,,1288,437,0,0,107,107,24,16,19,25,16,3,2,0,27,1,0,86,4,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Vlagtwedde (MFA 't Aambeeld),0048::SB3,,1141,425,0,1,154,43,42,20,42,18,20,0,1,1,16,5,0,62,0,1,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Bourtange (De Turfschuur),0048::SB4,,638,241,0,0,50,27,30,11,17,11,19,0,0,0,26,0,1,46,0,0,3
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Jipsinghuizen (Buurthuis),0048::SB5,,856,296,3,0,88,35,22,27,21,9,21,0,0,0,21,0,0,52,0,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ter Apelkanaal (D'Oale School),0048::SB6,,854,215,0,0,68,31,13,12,19,9,3,1,1,0,12,2,0,42,0,0,2
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ter Apel ('t Streekje),0048::SB7,,1426,347,0,0,63,93,21,10,25,18,7,0,0,0,13,2,0,95,0,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ter Apel (Kloosterheerd),0048::SB8,,1019,279,0,4,74,76,14,10,23,6,9,0,0,2,6,2,0,57,0,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ter Apel (Sporthalkantine),0048::SB9,,1515,440,2,0,104,90,47,17,25,9,32,2,1,0,16,0,0,95,2,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau `Barnflair (De Grensstreek),0048::SB10,,861,203,0,0,49,41,11,8,14,7,8,0,0,0,8,4,0,52,1,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ter Apel (De Wilpskamp),0048::SB11,,899,318,0,1,51,60,32,19,33,14,27,0,0,0,10,2,0,70,0,0,0
,Vlagtwedde,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ter Apel (Heemborg),0048::SB12,,1093,280,0,0,35,58,19,20,27,20,10,3,1,0,22,0,2,58,0,1,4
