contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Hal Stadhuis,0718::SB1,,2312,1012,3,1,179,140,123,68,61,40,97,8,3,1,59,9,4,216,0,1,3
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Speeltuinvereniging De Oude Stad,0718::SB2,,1589,399,2,0,42,63,28,40,67,14,39,1,1,0,23,5,0,75,0,1,0
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Gymnastiekzaal F. Naereboutschool,0718::SB3,,1147,401,0,0,61,64,54,23,32,10,31,1,0,0,24,3,0,94,0,2,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal  Ger. Kerk Vrijgemaakt,0718::SB4,,2180,551,1,1,77,68,40,52,87,14,34,2,1,0,39,5,0,128,2,0,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal  Milieu Educatie Centrum,0718::SB5,,2248,510,0,0,67,90,23,33,51,30,22,3,1,3,40,4,0,140,1,0,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Atrium Zorgcentrum Ter Reede,0718::SB6,,1669,483,0,1,112,49,59,14,38,24,60,8,0,1,20,0,1,95,1,0,1
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Atrium Zorgcentrum Ter Reede,0718::SB7,,1345,417,0,4,71,65,52,25,45,19,48,1,0,0,17,5,0,69,0,0,0
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Welzijnscentrum,0718::SB8,,1608,291,0,1,33,51,21,14,43,13,9,0,0,0,22,2,0,82,1,0,0
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal ROC Zeeland Sector MDGO,0718::SB9,,1755,445,2,3,45,81,43,25,50,34,30,6,1,0,30,7,1,91,0,0,1
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkcentrum Open Hof,0718::SB10,,1651,902,1,0,167,90,126,68,57,56,111,2,1,1,46,6,2,161,3,0,5
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dependance Theo Thijssenschool,0718::SB11,,1431,470,2,0,78,57,63,40,29,19,60,0,0,0,29,1,2,87,1,0,4
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Apostolisch Genootschap,0718::SB12,,2057,780,4,0,130,87,116,71,32,42,92,4,0,0,33,0,3,169,0,1,0
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal basisschool De Vlieger,0718::SB13,,1256,331,0,0,42,62,16,22,30,32,16,1,0,1,25,3,2,77,0,0,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal  Franciscusschool,0718::SB14,,2257,502,0,0,60,66,38,40,66,39,48,3,0,0,24,1,0,115,0,2,0
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Adventkerk,0718::SB15,,1386,492,2,1,76,57,45,38,29,100,59,1,0,1,8,8,0,66,2,0,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal Tennisclub Souburg,0718::SB16,,1239,353,1,0,57,53,28,21,25,36,42,2,0,1,21,1,0,61,0,0,5
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum De Zoute Viever,0718::SB17,,1365,349,0,0,74,46,32,22,43,30,26,0,0,0,17,4,0,54,1,0,0
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Activiteitencentrum De Kwikstaart,0718::SB18,,2102,584,1,0,118,84,20,33,60,61,33,1,0,1,37,4,0,130,0,0,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal Centrum voor Kunsteducatie,0718::SB19,,1592,419,1,3,78,51,28,27,41,57,23,1,0,1,31,6,1,73,0,0,1
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Lokaal wijkgebouw De Zwaan,0718::SB20,,1893,456,1,1,70,64,27,44,55,40,28,1,0,0,39,5,2,74,3,2,2
,Vlissingen,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Wijkgebouw Ons Dorpsleven,0718::SB21,,431,189,0,0,39,22,18,13,17,27,22,2,0,0,2,2,0,24,0,1,0
