contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Concordia vergaderzalen,0632::SB1,,1643,691,0,0,125,67,89,62,40,68,82,2,2,0,27,1,1,120,0,0,5
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Jan de Bakkerschool,0632::SB2,,1471,439,0,0,99,34,27,23,25,78,41,5,2,0,13,5,0,84,2,0,1
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Zuwe Zorgcentr. Woerden, Weddesteyn",0632::SB3,,1296,744,0,1,202,70,100,50,35,88,95,4,0,2,19,5,3,66,2,1,2
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Zorgcentrum 't Oude Landt,0632::SB4,,876,422,0,0,147,17,62,23,7,45,48,2,0,0,6,2,0,63,0,0,0
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau R. de Jagerschool,0632::SB5,,1345,760,2,0,160,100,86,59,37,133,74,6,1,0,15,1,1,75,3,0,9
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau RK-basisschool De Wegwijzer,0632::SB6,,1605,646,2,0,141,70,56,61,25,86,71,4,0,2,15,3,0,111,0,0,1
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ontmoetingcentr.Kruiskerk,0632::SB7,,1813,581,3,0,141,59,36,20,44,85,54,2,1,1,17,3,0,118,0,0,0
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Buurthuis Schildershonk,0632::SB8,,1516,595,1,0,126,61,60,61,32,68,71,1,0,1,17,5,2,88,1,1,0
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Sporthal Thijs van der Polshal,0632::SB9,,1925,821,0,0,243,73,107,60,28,77,104,2,0,1,13,0,1,110,2,0,0
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stichting Sinar Maluku (Voorm. WCM),0632::SB10,,1731,575,1,0,83,62,95,77,30,50,73,2,0,0,10,4,1,84,1,0,3
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Johan Frisoschool,0632::SB11,,1833,704,4,2,115,72,104,65,53,64,108,3,1,2,26,2,3,82,4,0,0
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Maranathakerk,0632::SB12,,1553,655,0,1,146,66,69,63,40,74,53,5,1,0,24,3,2,99,3,1,6
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Constantijnschool,0632::SB14,,2074,892,0,0,177,79,107,86,43,88,149,9,0,1,19,2,1,128,1,0,2
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau MFC De Schulenburch,0632::SB15,,1928,894,0,0,253,65,64,49,29,203,90,4,0,2,16,5,2,106,1,0,5
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Eetcafé De Kanis,0632::SB16,,780,368,0,1,137,9,25,18,12,89,21,0,0,0,7,2,0,45,1,0,2
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau MFC Milandhof,0632::SB17,,1723,808,2,0,277,24,65,22,21,219,40,1,0,0,11,5,0,121,1,0,1
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stadhuis,0632::SB18,,1630,555,1,0,114,65,63,47,24,61,62,3,0,0,19,2,1,87,2,0,5
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Andersenschool,0632::SB19,,1640,709,5,1,185,57,123,55,24,32,105,4,0,2,17,4,0,92,8,0,1
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Chr. Margrietschool,0632::SB20,,1772,781,2,0,177,83,109,57,26,70,110,10,0,2,15,3,0,115,1,0,3
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Recreatiecentrum H2O,0632::SB21,,2217,801,1,1,227,65,96,54,36,42,102,5,0,1,22,4,2,137,4,0,4
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Huize Gaza,0632::SB22,,1945,703,2,0,230,59,79,43,41,49,80,2,2,0,22,4,3,87,0,0,2
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau N.H. Verenigingsgebouw 't Trefpunt,0632::SB23,,2082,1006,2,1,299,68,149,73,33,73,112,3,0,2,26,7,2,157,1,1,0
,Woerden,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Station Woerden, mobiel stembureau",0632::SB24,,0,365,0,2,62,47,38,73,15,24,61,5,0,0,14,1,3,14,2,0,6
