contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Aylvastate,0710::SB1,,1329,502,2,0,194,101,54,30,36,10,27,0,0,0,9,3,0,34,2,0,2
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpsverenigingscentrum,0710::SB2,,480,196,0,1,44,31,29,20,16,4,16,0,1,3,3,0,0,29,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ned. Herv. Consistorie,0710::SB3,,774,286,1,0,104,41,18,20,13,24,11,0,0,0,10,5,0,40,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Theeschenkerij,0710::SB4,,449,197,1,0,18,44,33,15,20,2,16,0,0,0,14,3,0,30,2,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Het Anker,0710::SB5,,1304,482,1,1,157,76,40,26,47,11,46,2,0,0,17,4,0,56,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Avondrust,0710::SB6,,1540,521,1,1,176,64,63,21,37,16,39,2,0,0,16,8,3,73,3,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau It Doniahûs,0710::SB7,,410,191,0,1,72,33,18,25,15,0,9,1,0,0,5,1,1,11,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Fûke,0710::SB8,,374,159,0,0,88,12,23,12,0,4,4,0,0,0,5,1,0,9,0,0,1
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau It Waltahûs,0710::SB9,,402,179,0,0,86,18,10,14,14,5,7,2,2,0,6,1,2,12,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau It Honk,0710::SB10,,392,204,0,0,129,19,15,9,3,2,6,0,0,0,2,2,0,17,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Ned. Herv. Kerk,0710::SB11,,429,171,1,0,71,17,12,5,12,6,14,0,0,0,3,1,0,29,0,0,1
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Nije Haven,0710::SB12,,275,137,0,0,80,16,8,6,7,3,6,0,0,1,3,2,0,5,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau De Utwyk,0710::SB13,,576,257,0,0,147,13,11,9,20,4,16,2,1,0,4,6,1,23,0,0,0
,Wûnseradiel,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Verenigingsgebouw It String,0710::SB14,,184,96,0,0,24,15,14,7,3,1,9,0,0,0,1,1,0,20,0,0,1
