contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,CDA - Europese Volkspartij,P.v.d.A./Europese Sociaaldemocraten,VVD - Europese Liberaal-Democraten,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Democraten 66 (D66),Newropeans,Europa Voordelig! & Duurzaam,Solidara,Partij voor de Dieren,EUROPESE KLOKKENLUIDERS PARTIJ (EKP),De Groenen,PVV (Partij voor de Vrijheid),Liberaal Democratische Partij,Partij voor Europese Politiek (PEP),Libertas
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Diafaan, locatie Pelgromhof",0299::SB1,,1316,597,1,2,226,67,60,28,42,8,53,1,0,0,12,7,1,92,0,0,0
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau NME-gebouw,0299::SB2,,1299,425,1,1,113,64,49,32,37,5,47,2,0,0,12,0,3,59,1,1,0
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool De Tamboerijn,0299::SB3,,1352,440,1,0,102,61,36,50,58,8,36,1,1,0,18,2,0,64,0,0,3
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Rode Kruis gebouw,0299::SB4,,1473,475,0,0,82,79,47,38,60,4,42,3,1,0,25,3,0,88,0,0,3
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,"Stembureau Basisschool De Carrousel, locatie Bizetstraat",0299::SB5,,1304,397,0,1,59,70,23,30,46,2,48,1,3,1,15,1,4,92,1,0,1
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Kantine AV De Liemers,0299::SB6,,1604,539,2,2,106,101,59,43,32,6,85,0,0,1,7,3,1,91,1,0,3
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Woon- Zorgcentrum Subenhara,0299::SB7,,1379,489,0,0,101,81,68,31,49,5,77,5,0,0,8,0,2,59,0,1,2
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Streekziekenhuis Zevenaar,0299::SB8,,1450,501,0,0,108,76,61,52,42,17,50,0,0,0,9,4,2,76,0,1,3
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool Lindenhage,0299::SB9,,1446,480,2,1,104,86,39,50,43,2,63,1,0,2,11,3,2,71,0,0,3
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dienstencentrum De Hooge Bongert,0299::SB10,,1410,583,0,0,140,89,57,37,56,7,58,0,1,0,19,3,0,111,2,1,2
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Schuttersgebouw Sint Andreas,0299::SB11,,1267,406,2,0,108,57,36,20,36,4,31,2,0,1,17,3,0,86,1,0,4
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Stichting Maatschappelijk Belang Zevenaar,0299::SB12,,1256,370,0,0,119,59,30,28,34,7,27,0,0,0,8,0,0,58,0,0,0
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool De Fonkelsteen,0299::SB13,,1408,536,0,1,116,89,62,29,39,10,55,1,4,2,22,3,0,98,3,1,2
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Basisschool Sint Martinus,0299::SB14,,1302,539,0,0,222,51,52,37,26,13,38,0,1,1,17,3,0,72,1,0,5
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis Sint Jan,0299::SB15,,1466,444,0,0,166,49,53,25,28,2,25,0,0,1,11,1,0,80,1,0,2
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Centrum De Meent,0299::SB16,,1052,423,1,0,167,36,59,29,30,3,35,0,0,0,9,1,1,49,3,0,1
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Dorpshuis Het Gebouw,0299::SB17,,1029,380,0,2,71,21,75,20,23,2,40,1,1,0,19,2,0,104,1,0,0
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Hof van Giesbeek,0299::SB18,,1183,406,0,0,107,60,31,24,41,3,44,0,0,0,11,5,0,75,2,1,2
,Zevenaar,EP2009,Verkiezing van Europees Parlement 2009,,,2009-06-04,Stembureau Clubgebouw GSV'38,0299::SB19,,942,304,0,0,82,35,23,15,33,5,23,0,1,0,13,5,1,67,1,0,0
