contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stegemanhof,0197::SB1,7122 CG,1095,599,1,1,0,0,1,549,51,0,0,0,0,0,0,601,204,37,30,54,61,37,57,69,4,0,0,21,0,2,1,0,0,21,1
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Triangel,0197::SB2,7122 ZX,1329,427,0,0,0,0,0,396,31,0,0,0,0,0,0,427,167,32,25,40,38,16,36,47,1,0,0,7,1,1,1,0,1,14,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau R.K. Kerk,0197::SB3,7121 ES,1138,477,2,2,0,0,7,428,46,0,0,0,0,0,0,481,138,47,34,52,50,28,45,41,0,0,6,19,0,1,4,0,2,9,1
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zaal achter Westerkerk,0197::SB4,7122 BW,1128,511,0,0,0,0,6,451,54,0,0,0,0,0,0,511,153,38,50,34,50,22,47,51,3,0,1,35,3,0,1,1,1,21,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schaersvoorde,0197::SB5,7122 VM,1474,384,0,1,0,0,2,333,50,0,0,0,0,0,0,385,91,55,28,53,32,19,53,26,1,0,0,17,0,0,1,0,0,8,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Spölhuuksken,0197::SB6,7121 VK,1355,466,2,1,0,0,0,428,41,0,0,0,0,0,0,469,103,66,39,41,30,18,75,45,1,0,2,21,0,3,0,0,0,22,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Beth San,0197::SB7,7121 EG,1309,537,4,2,0,0,1,493,49,0,0,0,0,0,0,543,172,44,49,48,42,17,89,40,1,0,3,10,0,0,1,4,0,17,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sporthal Aladna,0197::SB8,7121 NW,1206,452,2,0,0,0,0,420,34,0,0,0,0,0,0,454,120,35,56,45,58,25,46,40,2,0,1,10,1,0,0,1,1,11,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ver.gebouw 't Dorpshuus,0197::SB9,7122 KH,725,308,0,0,0,0,0,278,30,0,0,0,0,0,0,308,179,17,13,37,11,16,11,12,0,0,0,4,1,0,0,0,1,6,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kulturhus Lintelo,0197::SB10,7122 LX,856,399,3,0,0,0,1,373,28,0,0,0,0,0,0,402,187,14,18,39,29,15,29,42,5,0,2,2,2,0,0,0,0,15,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Geb. De Markerink,0197::SB11,7122 RK,838,348,1,1,0,0,0,312,38,0,0,0,0,0,0,350,193,22,14,30,22,7,23,21,2,0,1,4,3,0,0,0,0,6,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Geb. de Ringkamp,0197::SB12,7121 KL,875,229,0,1,0,0,0,197,33,0,0,0,0,0,0,230,113,13,12,28,26,14,10,1,0,0,1,2,1,0,0,0,0,8,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ambthuis,0197::SB13,7126 BC,1111,531,1,0,0,0,5,488,39,0,0,0,0,0,0,532,153,41,35,42,41,45,91,20,5,0,3,13,0,3,0,0,0,39,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dr. Jenny,0197::SB14,7091 BR,1408,340,1,1,0,0,2,308,32,0,0,0,0,0,0,342,117,25,35,34,27,5,40,17,0,0,3,23,0,0,1,0,1,12,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ons Huis,0197::SB15,7091 CV,1434,403,1,1,0,0,0,359,46,0,0,0,0,0,0,405,124,37,47,23,42,24,58,18,1,0,0,19,1,1,0,0,0,8,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau cbs De Höve,0197::SB16,7095 AX,781,337,0,1,0,0,0,304,34,0,0,0,0,0,0,338,151,23,18,41,30,10,23,14,0,0,0,15,0,1,0,0,0,11,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sporthal,0197::SB17,7091 XC,1320,381,1,1,0,0,1,337,45,0,0,0,0,0,0,383,120,42,21,38,35,5,49,30,0,0,0,23,1,3,0,0,2,12,0
,Aalten,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS de Wegwijzer (Duplo),0197::SB18,7091 CW,1453,565,0,0,0,0,0,505,60,0,0,0,0,0,0,565,137,61,47,50,87,14,85,34,3,0,3,20,2,0,0,0,2,20,0
