contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0361::SB1,1811 JD,1392,1169,4,3,0,0,10,1036,130,0,0,0,0,0,0,1176,89,104,123,156,284,141,82,17,6,0,21,35,6,1,0,0,1,103,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Sociëteit,0361::SB2,1811 MZ,1679,676,9,1,2,1,0,621,62,0,0,3,0,0,0,683,41,57,79,79,139,93,64,14,13,0,13,14,4,3,1,0,2,60,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Doopsgezinde Gemeente,0361::SB3,1811 LM,1365,324,4,0,0,0,0,307,21,0,0,0,0,0,0,328,19,36,44,60,54,29,28,5,5,0,9,7,0,0,1,0,0,27,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis Oud Overdie,0361::SB5,1813 SV,1387,429,0,0,0,0,2,393,34,0,0,0,0,0,0,429,28,103,40,28,32,24,76,9,3,0,5,34,1,0,0,3,4,39,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Overdie,0361::SB7,1813 BG,1492,517,1,4,0,0,1,498,23,0,0,0,0,0,0,522,63,75,93,41,76,33,46,8,5,0,11,24,1,1,1,3,1,34,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Bewonersonderneming Foxy,0361::SB8,1813 KN,1391,385,2,6,0,0,0,359,34,0,0,0,0,0,0,393,46,59,94,19,55,7,58,7,2,0,3,19,2,0,0,0,0,13,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Appartementcomplex Druckerstraat 1,0361::SB11,1814 RG,1703,542,2,2,0,0,0,508,38,0,0,0,0,0,0,546,50,46,71,37,83,60,90,5,4,0,4,36,1,3,2,1,0,49,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum De Kooimeer,0361::SB12,1814 MD,1307,340,2,3,0,0,0,318,27,0,0,0,0,0,0,345,68,68,59,24,28,16,32,11,1,0,3,7,0,0,0,2,0,21,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgspectrum Westerhout,0361::SB13,1814 DE,1390,627,4,2,0,0,0,579,54,0,0,0,0,0,0,633,81,41,80,88,127,69,50,9,1,0,3,36,1,2,1,0,2,35,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kerkelijk Centrum 't Trefpunt,0361::SB14,1814 JA,1429,861,3,0,0,0,1,799,64,0,0,0,0,0,0,864,107,88,110,107,164,85,76,14,5,0,12,36,5,3,3,1,2,43,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum De Nieuwpoort,0361::SB15,1814 XK,1246,466,0,2,0,0,0,440,28,0,0,0,0,0,0,468,61,73,59,50,86,27,43,5,0,0,4,33,0,0,0,3,2,20,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis De Blekerij,0361::SB16,1814 TJ,1432,360,1,2,0,0,2,328,33,0,0,0,0,0,0,363,20,43,50,34,63,50,53,3,3,0,2,14,1,0,0,0,0,24,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Hotel Stad en Land,0361::SB17,1815 CE,1293,681,5,0,0,0,0,646,41,0,1,0,1,0,0,687,27,40,70,53,148,131,87,8,4,0,15,14,0,2,4,0,5,73,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Murmellius Gymnasium,0361::SB18,1815 DA,1409,744,0,2,0,0,2,684,60,0,0,0,0,0,0,746,52,50,78,93,173,110,55,12,15,0,7,34,5,1,0,2,0,57,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis Bloemwijk,0361::SB19,1815 XB,1468,325,2,0,0,0,0,291,36,0,0,0,0,0,0,327,14,39,45,33,59,28,42,2,10,0,4,13,2,1,0,0,0,33,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sociëteit K.B.O.,0361::SB20,1815 HA,1320,561,1,1,0,0,1,517,45,0,0,0,0,0,0,563,38,55,57,81,153,72,37,4,2,0,5,18,2,1,1,0,0,35,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Medisch Centrum Alkmaar,0361::SB21,1815 JD,1157,616,2,0,0,0,0,539,79,0,0,0,0,0,0,618,59,46,62,126,142,70,48,9,0,0,2,13,0,1,0,3,1,34,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Vleugels,0361::SB22,1816 LV,1246,727,4,1,0,0,0,682,50,0,0,0,0,0,0,732,97,99,82,66,102,65,77,20,4,0,10,44,0,3,1,1,1,55,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Middentogt,0361::SB24,1816 PK,1296,518,1,1,0,1,0,486,35,0,0,0,1,0,0,521,65,43,62,59,90,47,53,19,2,0,5,32,2,2,0,0,1,35,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Speeltuin De Hoef,0361::SB25,1816 VG,1565,362,7,0,0,0,0,331,38,0,0,0,0,0,0,369,39,39,71,38,51,27,49,4,1,0,10,5,0,1,1,0,2,23,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Vrijheidskerk,0361::SB26,1816 GD,1771,873,2,2,0,1,0,789,87,0,0,1,0,0,0,876,89,79,106,87,183,109,87,7,5,0,12,39,3,4,1,1,1,59,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Nicolaas Beetsschool,0361::SB30,1817 HJ,2161,1132,8,1,0,0,2,1037,102,0,0,0,0,0,0,1141,115,65,182,150,230,131,104,21,5,0,14,35,5,0,0,1,1,73,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis de Wachter,0361::SB31,1821 AP,1320,395,1,2,0,0,0,369,29,0,0,0,0,0,0,398,36,73,48,20,46,55,58,4,1,0,5,16,2,2,0,1,0,28,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Lauwershof,0361::SB32,1829 CA,1490,694,0,0,0,0,4,638,52,0,0,0,0,0,0,694,102,61,86,95,134,58,44,14,2,0,8,43,1,3,1,0,2,40,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Zeswielen,0361::SB33,1823 DC,1426,470,2,1,0,0,0,431,42,0,0,0,0,0,0,473,36,43,57,46,81,80,46,14,4,0,2,21,0,2,0,0,0,37,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Regenboog,0361::SB34,1829 EA,1395,349,1,1,2,0,0,313,36,0,0,2,0,0,0,349,46,31,63,40,69,22,31,8,4,0,0,15,1,0,1,0,0,18,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Oldeburgh,0361::SB35,1829 AC,1443,845,3,1,0,1,0,775,75,0,0,0,1,0,0,850,134,101,87,112,143,62,66,17,4,0,11,63,3,1,0,3,3,34,1
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum De Oever,0361::SB36,1823 EV,1492,832,3,0,0,0,0,763,72,0,0,0,0,0,0,835,81,106,102,81,120,76,115,25,7,1,10,42,3,2,1,1,2,57,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadskantoor,0361::SB39,1815 AG,1303,489,2,2,0,0,1,447,45,0,0,0,0,0,0,493,30,51,64,67,111,54,42,10,4,0,6,15,3,1,0,0,2,29,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau MFA Vroonermeer,0361::SB40,1822 KJ,2545,893,7,0,0,2,0,807,95,0,0,0,2,0,0,902,84,98,98,142,191,88,82,29,7,1,11,16,1,3,0,0,0,42,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Prinsenhof,0361::SB41,1824 EZ,1423,634,5,0,0,0,0,565,74,0,0,0,0,0,0,639,51,80,86,48,116,77,69,17,1,0,9,29,1,1,1,0,0,48,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Wijkwaard,0361::SB42,1824 XV,1496,775,4,3,0,0,0,719,63,0,0,0,0,0,0,782,87,141,85,50,118,50,104,20,0,0,7,53,1,9,0,2,3,43,2
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw Leger des Heils,0361::SB43,1824 DW,1640,588,3,5,0,1,0,550,45,0,0,1,0,0,0,595,45,80,96,38,76,63,78,16,1,1,13,31,1,2,2,0,2,43,0
,Alkmaar,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau School De Regenboog (Alkmaar),0361::SB44,1824 EZ,1534,335,0,1,0,0,0,297,39,0,0,0,0,0,0,336,18,55,40,17,67,27,40,9,3,0,4,27,0,2,2,0,1,23,0
