contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0141::SB1,7607 EK,1306,716,5,5,0,0,17,640,70,0,0,0,1,0,1,727,111,91,75,75,108,57,85,33,2,0,7,31,1,0,2,1,0,35,2
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau St. Radboutschool,0141::SB2,7607 XV,1746,450,0,0,0,0,0,400,50,0,0,0,0,0,0,450,69,73,67,53,56,27,46,19,1,0,2,16,2,0,0,0,1,18,0
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis De Hofkamp,0141::SB3,7607 ZC,1657,659,1,2,0,0,0,601,61,0,0,0,0,0,0,662,147,81,85,77,102,27,61,29,0,0,5,23,1,2,3,0,0,16,0
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Serviceflat De Swanehof,0141::SB4,7607 GC,1859,510,0,0,0,0,0,455,55,0,0,0,0,0,0,510,69,78,66,29,75,29,97,23,2,0,2,20,0,1,2,1,2,13,1
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis De Koppel,0141::SB5,7601 BK,1537,376,2,2,0,0,1,336,43,0,0,0,0,0,0,380,59,96,39,24,25,14,62,20,1,0,2,15,0,1,0,1,2,14,1
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dienstencentrum De Riet,0141::SB6,7601 CR,1297,279,0,2,0,0,0,254,27,0,0,0,0,0,0,281,28,82,38,4,27,8,62,10,0,1,0,6,1,0,0,0,3,9,0
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum De Schöppe,0141::SB7,7601 EJ,1834,507,0,0,0,1,0,454,54,0,0,0,1,0,0,508,82,108,73,24,44,22,86,20,4,0,6,15,1,2,0,1,0,18,1
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau RK Basisschool De Triangel,0141::SB8,7602 XZ,1206,450,1,1,0,0,2,403,47,0,0,0,0,0,0,452,125,55,43,40,58,15,54,22,5,0,4,12,0,0,0,1,0,16,0
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Clubgebouw v.v. Luctor et Emergo,0141::SB9,7602 AM,1159,312,1,0,2,0,0,284,31,0,0,0,2,0,0,315,83,40,30,21,27,11,53,9,1,0,3,18,0,0,0,0,2,13,1
,Almelo,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Carint Reggeland,0141::SB10,7602 AA,1332,549,0,0,0,0,0,495,54,0,0,0,0,0,0,549,114,31,38,100,116,43,33,33,4,0,0,14,1,0,1,0,2,19,0
