contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0363::SB1,,689,691,6,3,5,0,5,627,63,0,0,5,0,0,0,695,18,32,110,49,167,164,73,8,3,1,12,4,5,1,0,1,0,43,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0363::SB2,,723,690,1,3,0,0,5,637,54,2,0,0,2,0,0,696,13,27,97,62,177,147,73,3,3,0,14,8,12,0,2,0,0,52,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Universiteitsbibliotheek Amsterdam,0363::SB3,,953,663,3,0,0,2,1,624,43,0,0,0,2,0,0,668,30,16,80,78,206,151,39,8,5,0,6,8,6,0,0,1,2,25,2
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Leger des Heils,0363::SB4,,1190,466,1,0,0,0,34,433,0,0,0,0,0,0,0,467,13,14,59,55,127,111,30,21,3,0,10,5,1,1,0,0,0,16,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Keyzer,0363::SB5,,974,534,0,2,0,0,2,491,44,0,1,0,1,0,0,537,12,18,81,43,126,124,64,6,1,0,10,4,5,0,0,1,1,38,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau School De Witte Olifant,0363::SB6,,984,739,4,3,0,0,3,683,61,0,1,0,1,0,0,747,18,30,95,34,228,186,67,2,6,0,11,2,3,0,0,0,0,56,1
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeente Amsterdam,0363::SB7,,895,471,0,0,0,0,3,424,44,0,0,0,0,0,0,471,8,18,61,37,118,101,55,4,2,0,19,5,5,0,0,0,3,35,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gymlokaal,0363::SB8,,2011,926,4,2,0,5,0,864,75,0,0,0,7,0,2,939,19,38,149,60,219,233,99,6,1,0,15,8,10,0,0,1,3,65,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Burghtschool,0363::SB10,,1608,736,0,1,0,2,2,665,72,0,0,0,2,0,0,739,20,26,82,111,280,110,37,5,2,0,14,6,4,1,0,0,2,36,0
,Amsterdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Theo Thijssenschool,0363::SB12,,1000,554,4,2,0,0,0,509,51,0,0,0,0,0,0,560,15,25,83,24,129,130,55,5,5,0,9,9,5,0,1,0,0,59,0
