contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Gemeentehuis ingang ""Oude Raadhuis""",0203::SB1,3772 ER,879,531,2,0,0,0,3,453,77,0,0,0,0,0,0,533,86,38,18,71,53,18,24,187,7,0,6,7,1,1,0,2,1,11,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Basisschool ""De Bron""",0203::SB2,3771 CS,854,477,0,2,0,0,0,416,63,0,0,0,0,0,0,479,93,38,15,52,20,6,7,232,0,0,2,10,0,0,0,0,0,2,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Appartementencomplex Rumah Maluku,0203::SB3,3771 GR,1598,585,0,0,0,0,0,517,68,0,0,0,0,0,0,585,95,84,28,34,34,12,36,222,2,0,0,26,0,3,0,2,0,6,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ontmoetingscentrum Bronveld,0203::SB4,3772 GR,968,439,1,1,0,0,0,383,58,0,0,0,0,0,0,441,70,75,20,18,25,13,40,139,1,0,3,13,0,1,1,4,1,15,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Goede Herderkerk,0203::SB5,3772 BL,1390,806,0,7,0,0,0,700,113,0,0,0,0,0,0,813,109,96,27,64,42,13,52,342,2,0,3,31,1,0,0,5,3,16,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ds.J. Fraanjeschool loc. De Vesting,0203::SB6,3772 AV,424,229,0,0,0,0,0,193,36,0,0,0,0,0,0,229,26,20,4,15,8,10,9,123,1,0,0,8,0,0,0,1,1,3,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schaffelaartheater ingang Harmonie,0203::SB7,3772 KV,1185,605,2,0,0,0,0,551,56,0,0,0,0,0,0,607,104,41,20,38,53,10,19,283,6,0,1,15,2,0,1,2,2,7,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool Eben Haëzer,0203::SB8,3772 SR,1265,686,2,1,0,0,1,584,104,0,0,0,0,0,0,689,90,61,20,51,42,9,43,347,1,0,2,5,1,1,0,4,0,8,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Verpleeghuis ""Norschoten""",0203::SB9,3773 AW,741,525,1,0,0,0,0,441,85,0,0,0,0,0,0,526,75,50,22,25,19,7,17,280,0,0,3,10,0,2,0,3,0,12,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Daltonschool  ""Lange Voren""",0203::SB10,3773 AT,1319,840,0,1,0,0,1,717,123,0,0,0,0,0,0,841,153,86,21,74,41,13,33,386,2,0,2,16,1,0,0,1,1,10,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Zorgcentrum ""Elim""",0203::SB11,3771 VB,1442,806,0,0,0,0,1,622,183,0,0,0,0,0,0,806,141,46,16,74,66,13,18,390,3,0,2,17,1,4,0,6,0,9,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Zorgcentrum ""Nebo""",0203::SB12,3771 HP,675,600,0,1,0,0,0,524,77,0,0,0,0,0,0,601,125,51,17,72,41,15,37,223,2,0,1,6,0,0,0,1,2,7,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Ds. J. Fraanjeschool loc.""De Burgt""",0203::SB13,3772 TD,1099,487,2,1,0,0,0,389,101,0,0,0,0,0,0,490,65,32,9,41,27,8,16,275,2,0,1,0,0,1,0,4,0,6,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Do-It Sport & Squashclub,0203::SB14,3772 MS,1842,603,0,0,0,0,1,505,97,0,0,0,0,0,0,603,102,39,23,62,67,13,17,254,0,0,7,11,0,0,0,1,1,6,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Openbare Basisschool De Zandberg,0203::SB15,3771 KV,1645,578,3,0,0,0,0,491,90,0,0,0,0,0,0,581,101,48,41,49,31,11,27,236,5,0,2,13,1,1,1,2,1,8,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gereformeerde Gemeente in Nederland,0203::SB16,3772 PP,1537,593,1,0,0,0,0,480,114,0,0,0,0,0,0,594,54,40,10,36,23,8,8,404,0,0,1,3,0,0,0,1,0,4,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Veluwehal Barneveld,0203::SB17,3771 CB,900,410,0,2,0,0,4,351,57,0,0,0,0,0,0,412,98,39,9,41,20,8,16,162,0,0,2,12,0,0,1,1,0,1,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Willem van Oranjeschool,0203::SB18,3773 AS,1294,383,0,0,0,0,0,338,45,0,0,0,0,0,0,383,51,24,5,23,12,3,16,237,2,0,1,4,0,0,0,0,0,5,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau PWA School, ingang Kindcentrum",0203::SB19,3772 EE,1240,339,0,0,0,0,0,290,49,0,0,0,0,0,0,339,50,35,17,20,17,9,30,145,0,1,0,9,0,0,0,0,0,5,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dorpshuis ""De Belleman""",0203::SB20,3785 KT,907,444,0,0,0,0,2,390,52,0,0,0,0,0,0,444,127,39,10,41,25,7,11,158,0,0,0,15,2,1,0,2,0,6,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Evangeliegemeente de Kandelaar,0203::SB21,3781 TK,930,524,0,0,0,0,1,448,75,0,0,0,0,0,0,524,117,56,13,49,22,5,9,221,6,0,4,9,0,0,0,2,2,9,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Chr. Basissch.""Dr.W.van den Bergh""",0203::SB22,3781 EJ,1168,536,2,0,0,0,6,476,56,0,0,0,0,0,0,538,135,81,14,64,23,3,24,164,3,0,0,17,1,0,0,0,0,6,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woon en Zorgcentrum Nieuw Avondrust,0203::SB23,3781 GH,1020,568,3,2,0,0,5,510,58,0,0,0,0,0,0,573,154,73,25,57,22,19,34,151,3,0,4,18,0,0,0,1,0,7,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau (N.H.) Koningin Wilhelminaschool,0203::SB24,3781 GG,1146,473,0,4,0,0,6,410,61,0,0,0,0,0,0,477,118,65,10,60,25,4,18,147,3,0,1,10,0,1,0,7,0,4,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Kerkcentrum ""Odulf""",0203::SB25,3781 BX,1094,495,0,2,0,0,11,423,63,0,0,0,0,0,0,497,127,91,11,53,37,7,23,111,2,0,1,21,0,0,0,2,0,9,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kerkelijk Centrum 't Kerkheem,0203::SB26,3781 GA,866,408,0,0,0,0,0,348,60,0,0,0,0,0,0,408,113,42,5,66,27,7,11,114,1,0,4,9,0,0,0,4,0,5,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Restaurant Buitenlust,0203::SB27,3781 AC,857,338,1,0,0,0,4,304,31,0,0,0,0,0,0,339,80,46,11,37,17,7,23,102,0,1,1,8,0,0,0,0,0,5,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kerkelijk  Centrum Bethabara,0203::SB28,3781 GE,862,420,2,0,0,0,9,365,48,0,0,0,0,0,0,422,97,25,14,55,26,9,19,152,0,0,0,13,0,0,1,1,0,7,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Christelijke Basisschool ""De Bron""",0203::SB29,3776 MK,1172,572,0,1,0,0,11,475,87,0,0,0,0,0,0,573,116,105,9,45,27,8,11,226,0,0,1,11,0,6,0,1,0,6,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau School m/d Bijbel ""De Lichtboei""",0203::SB30,3774 BP,1193,623,2,1,0,0,0,487,139,0,0,0,0,0,0,626,106,52,5,38,19,3,11,378,0,0,1,4,0,2,1,0,0,3,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koningin Beatrixschool,0203::SB31,3774 BG,995,437,0,1,0,0,1,354,83,0,0,0,0,0,0,438,47,35,3,9,0,0,11,324,1,0,2,5,0,0,0,0,0,0,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kulturhus De Essenburcht,0203::SB32,3774 DA,1324,713,1,1,0,0,0,576,139,0,0,0,0,0,0,715,101,58,1,29,10,4,18,476,0,0,1,4,0,2,0,3,0,6,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dorpshuis ""De Koepel""",0203::SB33,3886 PA,908,473,2,2,0,0,36,373,68,0,0,0,0,0,0,477,73,56,18,72,37,15,21,144,1,1,1,9,1,0,1,1,0,21,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dr. Kruimelstaete,0203::SB34,3886 ME,729,323,1,0,0,0,13,266,45,0,0,0,0,0,0,324,48,31,6,19,23,4,17,156,3,0,0,9,2,1,0,2,0,1,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Multifunctioneel Centrum Glindster,0203::SB35,3794 MZ,584,320,1,0,0,0,2,262,57,0,0,0,0,0,0,321,116,22,17,32,19,17,24,48,1,0,3,9,1,1,0,0,1,8,1
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Sportpark "" Overbeek """,0203::SB36,3784 WZ,1088,503,0,0,0,0,0,426,77,0,0,0,0,0,0,503,157,62,12,28,19,5,23,176,1,0,2,9,0,0,0,1,3,5,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Verenigingsgebouw "" De Kooi """,0203::SB37,3775 KP,210,140,0,0,0,0,6,115,19,0,0,0,0,0,0,140,24,9,7,16,13,8,5,43,1,0,0,7,0,0,0,0,0,7,0
,Barneveld,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Mobiel Stembureau,0203::SB38,,0,288,0,1,0,0,0,237,52,0,0,0,0,0,0,289,52,35,7,21,22,6,7,127,1,0,0,3,1,0,1,2,0,3,0
