contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau RKB De Wilgeroos,0375::SB1,,1624,437,3,3,0,0,0,402,41,0,0,0,1,0,0,443,36,113,44,18,42,33,56,3,1,0,13,38,0,2,0,4,1,33,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis Wijk aan Duin,0375::SB2,,1538,425,3,0,0,0,1,395,32,0,0,0,0,0,0,428,44,87,47,24,58,25,53,6,1,0,4,27,1,2,1,3,0,42,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brandweerpost West,0375::SB3,,1544,587,1,2,1,0,0,522,67,0,0,1,0,0,0,589,52,110,80,48,110,36,65,17,4,0,4,32,0,2,2,1,2,22,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Montessorischool,0375::SB4,,1239,481,0,0,0,0,3,428,50,0,0,0,0,0,0,481,56,62,38,84,102,43,31,4,4,0,7,24,0,0,1,0,0,24,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Paviljoen Westerhout,0375::SB5,,1450,592,2,1,0,0,1,525,69,0,0,0,0,0,0,595,59,64,52,104,140,56,50,6,4,0,3,19,0,2,0,0,2,31,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Bethelschool,0375::SB6,,1369,545,4,1,0,0,1,478,71,0,0,0,0,0,0,550,63,69,59,61,107,59,50,9,7,0,4,4,4,2,0,1,2,44,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau,0375::SB7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Nieuw Akerendam,0375::SB8,,1432,544,3,4,0,0,0,499,52,0,0,0,0,0,0,551,73,70,45,114,118,41,24,7,1,0,9,18,0,0,2,2,0,20,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau SIG,0375::SB9,,1421,363,4,0,0,0,0,335,32,0,0,0,0,0,0,367,32,77,36,40,43,26,34,4,1,0,9,29,0,1,2,0,0,28,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Socius,0375::SB10,,1515,393,1,0,0,0,1,348,45,0,0,0,0,0,0,394,25,115,33,25,52,27,57,4,6,0,3,21,1,3,0,0,1,19,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kennemer College,0375::SB11,,1573,461,3,2,0,0,0,430,36,0,0,0,0,0,0,466,46,88,54,28,67,27,48,6,2,1,5,51,2,4,0,0,1,31,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Huis ter Wijck,0375::SB12,,1596,408,4,3,0,0,1,383,31,0,0,0,0,0,0,415,54,90,48,28,32,20,44,9,2,0,1,43,1,6,1,0,2,26,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Immanuëlkerk,0375::SB13,,1089,249,4,3,0,0,0,231,25,0,0,0,0,0,0,256,18,66,22,28,27,9,26,2,3,0,2,25,0,2,1,0,0,18,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau SWB De Grote Beer,0375::SB14,,1334,463,3,2,0,0,0,421,47,0,0,0,0,0,0,468,70,78,56,42,68,19,66,9,2,1,2,28,0,2,2,0,0,17,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Amstelstaete,0375::SB15,,1317,318,3,3,1,0,0,302,21,0,0,1,0,0,0,323,29,83,53,16,28,19,47,6,1,1,2,22,0,2,0,0,0,9,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS 't Kompas,0375::SB16,,1477,442,1,3,0,0,1,404,41,0,0,0,0,0,0,446,41,106,50,16,54,31,80,12,1,0,3,20,0,1,1,4,1,21,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brandweerkazerne,0375::SB17,,1704,504,0,1,0,0,0,475,30,0,0,0,0,0,0,505,34,155,77,34,41,25,63,8,4,0,3,29,0,1,0,2,1,26,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verenigde Doopsgez. gem.,0375::SB18,,1182,261,2,0,0,0,0,242,21,0,0,0,0,0,0,263,26,50,23,36,36,8,23,6,1,0,6,29,0,2,0,0,0,15,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Zeester,0375::SB19,,1765,519,1,3,0,1,4,456,62,0,0,1,0,0,0,522,37,82,62,92,94,28,59,19,4,1,6,14,0,1,0,0,1,19,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BS Panta Rhei,0375::SB20,,1777,387,0,1,0,1,1,328,60,0,0,0,1,0,0,389,36,43,34,83,85,19,26,5,2,0,8,11,0,7,0,2,0,25,1
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Moriaan,0375::SB21,,1623,593,2,2,0,0,3,537,57,0,0,0,0,0,0,597,67,90,56,52,112,60,56,11,2,0,4,35,4,0,1,3,1,39,0
,Beverwijk,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Bijzonder Stembureau,0375::SB22,,0,181,1,0,0,0,3,164,15,0,0,0,0,0,0,182,9,19,25,14,50,14,21,1,0,0,2,7,2,2,0,0,0,15,0
