contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0758::SB1,,2012,639,2,0,0,1,2,584,56,0,0,0,1,0,0,642,55,47,62,138,149,74,40,2,6,0,17,4,1,2,0,2,1,39,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau RK BS St. Joseph,0758::SB2,,2420,521,3,1,0,1,4,478,44,0,0,0,1,0,0,526,33,26,46,96,157,60,50,3,2,0,10,4,2,2,0,0,4,26,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Cingel College,0758::SB3,,2412,738,3,5,0,0,2,671,73,0,0,0,0,0,0,746,58,67,75,119,173,81,78,5,4,0,10,18,1,2,0,1,1,45,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorg en Behandelcentrum Elisabeth,0758::SB4,,1763,407,5,5,0,0,1,376,40,0,0,0,0,0,0,417,50,56,34,47,83,32,45,11,2,0,14,12,1,2,0,1,2,15,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BS De Singel,0758::SB5,,2060,514,2,1,0,0,0,485,32,0,0,0,0,0,0,517,30,71,50,80,111,42,76,5,2,0,10,6,0,0,0,2,1,28,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadskantoor,0758::SB6,,1882,998,2,1,0,0,5,944,52,0,0,0,0,0,0,1001,89,74,90,175,243,98,101,15,13,0,11,36,4,0,4,1,5,38,1
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau NHTV,0758::SB10,,1549,335,2,1,0,0,0,305,33,0,0,0,0,0,0,338,37,51,23,27,68,38,52,2,3,0,4,8,1,2,0,0,0,19,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Vrije School Breda,0758::SB11,,2348,687,5,0,0,1,4,616,71,0,0,1,0,0,0,691,40,91,75,52,147,115,88,3,4,0,6,16,6,0,2,1,1,40,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BS De Liniedoorn,0758::SB12,,1994,500,3,3,0,0,0,461,45,0,0,0,0,0,0,506,67,100,38,22,53,38,107,8,2,2,12,21,1,6,2,0,1,20,0
,Breda,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Rietveldhuis,0758::SB13,,1059,232,2,2,0,0,2,213,21,0,0,0,0,0,0,236,20,55,18,20,24,5,60,2,1,0,5,9,1,0,0,1,0,11,0
