contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 1  Gemeentehuis,0381::SB1,,1671,872,8,4,0,2,2,796,88,0,0,0,2,0,0,886,82,77,84,170,212,74,54,13,8,0,12,26,2,3,2,1,2,50,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 2  Vrije Evangelische Gemeente,0381::SB2,,1538,802,1,1,0,0,2,700,102,0,0,0,0,0,0,804,73,33,53,243,248,48,18,17,11,0,4,15,2,1,1,3,0,31,1
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 3  Huize Godelinde,0381::SB3,,1504,701,0,0,0,0,3,661,37,0,0,0,0,0,0,701,85,57,64,170,175,45,35,15,0,1,2,22,3,4,0,1,1,21,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 4  De Hoeksteen,0381::SB4,,1515,916,5,1,0,0,1,804,117,0,0,0,0,0,0,922,91,53,66,248,264,72,28,20,7,0,12,15,0,2,3,1,0,34,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 5  Gebouw Versa,0381::SB5,,1557,652,1,1,0,0,2,581,71,0,0,0,0,0,0,654,37,75,68,83,166,78,42,17,3,0,12,25,3,3,2,0,0,38,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 6  Peuterspeelzaal Talamander,0381::SB6,,1563,517,1,0,0,0,0,472,46,0,0,0,0,0,0,518,41,71,47,57,119,44,57,15,2,0,5,26,1,2,0,5,0,24,1
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 7  Julianaschool,0381::SB7,,1683,746,0,3,0,0,4,652,93,0,0,0,0,0,0,749,93,62,66,164,169,51,37,20,2,0,2,30,1,3,2,2,2,40,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 9  R.I.B.W. (v/h De Essen),0381::SB9,,1795,668,1,0,1,0,0,617,53,0,0,0,1,0,0,670,82,56,61,87,132,65,49,27,6,0,8,40,3,0,0,3,0,48,1
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 10 Trefpunt,0381::SB10,,1664,588,4,2,0,0,2,545,47,0,0,0,0,0,0,594,82,82,52,69,95,58,41,31,4,0,9,25,2,2,0,1,1,32,2
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 11 Breeduit,0381::SB11,,1539,470,1,2,0,0,1,427,45,0,0,0,0,0,0,473,41,76,49,47,60,34,43,32,4,0,8,22,7,5,0,1,0,41,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 13 De Antonius Hof,0381::SB13,,1590,506,0,0,0,0,1,468,37,0,0,0,0,0,0,506,67,87,45,32,67,46,69,27,1,1,4,22,2,7,1,0,0,27,1
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 14 Mariënburg,0381::SB14,,1351,570,4,1,0,0,2,521,52,0,0,0,0,0,0,575,78,47,35,99,154,46,28,7,3,0,8,16,2,1,3,0,0,43,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 15 De Zandzee,0381::SB15,,1565,814,3,2,0,0,1,721,97,0,0,0,0,0,0,819,79,63,75,185,208,50,39,20,6,0,5,37,2,1,3,0,0,38,3
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 16 Koningin Emmaschool,0381::SB16,,1228,672,2,2,0,2,2,582,94,0,0,0,2,0,0,678,69,31,35,206,217,53,5,9,4,2,2,13,4,0,3,0,0,19,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 17 Chr. Brandsmaschool,0381::SB17,,1494,874,0,1,0,0,0,749,126,0,0,0,0,0,0,875,100,32,59,269,254,53,22,16,6,0,9,21,0,2,2,0,0,29,0
,Bussum,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 18 Evang. Luth. Kerk,0381::SB18,,1013,426,3,1,0,0,3,371,56,0,0,0,0,0,0,430,23,25,39,82,169,31,10,12,3,0,6,7,1,2,0,0,0,15,1
