contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Hof van Coevorden Coevorden,0109::SB1,7741 GC,1074,572,3,2,2,0,14,516,45,0,0,2,0,0,0,575,108,75,85,85,68,21,60,22,4,2,2,24,0,1,0,0,0,14,1
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Het Nieuwe Bastion Coevorden,0109::SB2,7741 HX,1130,370,1,1,1,0,0,350,21,0,0,1,0,0,0,371,98,69,55,37,22,3,37,13,0,1,2,21,0,1,1,3,0,7,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Voorde Coevorden,0109::SB3,7742 VC,1292,546,1,1,0,0,4,498,46,0,0,0,0,0,0,548,126,81,103,62,49,17,44,16,2,0,2,30,0,2,2,2,0,8,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zaal De Loo Coevorden,0109::SB4,7741 EJ,1894,622,1,0,0,0,1,562,60,0,0,0,0,0,0,623,113,119,72,54,60,17,92,26,4,0,7,33,3,1,0,2,0,19,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BSV Tuindorp Coevorden,0109::SB5,7741 TT,1482,204,1,1,0,0,0,188,18,0,0,0,0,0,0,206,25,53,29,16,26,6,27,4,0,0,0,10,0,0,0,4,0,4,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sint-Franciscus Coevorden,0109::SB6,7742 BR,1615,481,6,1,0,0,1,443,44,0,0,0,0,0,0,488,150,64,50,51,43,18,39,21,1,0,2,24,1,2,0,0,0,15,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Drostenhal Coevorden,0109::SB7,7742 WJ,2071,573,0,1,0,0,0,530,44,0,0,0,0,0,0,574,77,110,77,59,66,21,74,24,4,0,3,25,0,3,0,3,2,25,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Schutse Coevorden,0109::SB8,7741 AD,1000,283,1,0,0,0,0,271,13,0,0,0,0,0,0,284,60,64,52,24,20,6,27,11,1,0,1,8,1,4,0,1,0,3,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis De Schalm Steenwijksmoer,0109::SB9,7741 PL,765,266,0,1,0,0,0,238,29,0,0,0,0,0,0,267,103,42,14,31,11,8,38,0,2,0,1,8,0,0,0,0,0,8,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis De Breiberg Dalerpeel,0109::SB10,7753 TK,712,210,1,0,0,0,0,187,24,0,0,0,0,0,0,211,35,51,27,17,16,5,30,6,2,0,0,5,1,2,0,0,0,13,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Spinde Dalen,0109::SB11,7751 GC,1573,636,1,0,0,0,17,548,72,0,0,0,0,0,0,637,120,43,72,174,88,21,43,19,5,0,1,30,2,2,0,0,1,13,2
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Boerhoorn Dalerveen,0109::SB12,7755 NR,554,200,0,0,0,0,0,182,18,0,0,0,0,0,0,200,31,27,21,45,21,12,20,3,1,0,0,5,1,2,1,1,0,9,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Selkersgoorn Dalen,0109::SB13,7751 CZ,1519,511,2,0,0,0,1,459,53,0,0,0,0,0,0,513,70,42,89,118,78,18,41,6,3,0,0,22,4,1,0,0,1,17,1
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis De Kom Wachtum,0109::SB14,7754 MA,277,138,0,0,0,0,2,124,12,0,0,0,0,0,0,138,22,11,5,51,20,2,11,5,1,0,2,3,0,0,2,0,0,3,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Etgaarde Oosterhesselen,0109::SB15,7861 BT,1499,671,2,1,0,1,3,612,60,0,0,0,1,0,0,675,110,43,134,102,108,33,49,27,0,0,4,29,3,3,0,0,0,26,0
,Coevorden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Het Pluspunt Gees,0109::SB16,7863 PP,751,389,1,0,0,0,4,351,35,0,0,0,0,0,0,390,104,20,39,66,29,25,28,41,2,0,0,10,3,0,0,2,0,18,2
