contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0216::SB1,,1420,762,0,0,0,0,3,682,77,0,0,0,0,0,0,762,67,77,78,115,147,120,48,34,1,0,11,12,7,3,0,0,0,40,2
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koningin Beatrixschool,0216::SB2,,1348,363,1,0,0,0,3,318,43,0,0,0,0,0,0,364,37,41,25,40,79,50,24,24,1,0,5,7,4,0,1,1,1,22,1
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Jenaplanschool 't Praathuis,0216::SB3,,1236,553,0,0,0,0,0,484,69,0,0,0,0,0,0,553,34,25,73,32,85,174,45,24,2,0,3,3,13,3,0,0,0,36,1
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Trefpunt,0216::SB4,,1463,473,1,2,0,0,0,407,69,0,0,0,0,0,0,476,43,94,51,41,73,35,51,21,1,0,7,25,4,2,0,2,0,23,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Elisabethhof,0216::SB5,,1394,580,3,0,0,0,0,522,61,0,0,0,0,0,0,583,113,64,56,77,93,73,33,29,0,0,1,18,0,1,2,0,0,19,1
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis De Kulenburg,0216::SB6,,1760,546,6,0,0,0,0,500,53,0,0,0,1,0,0,553,94,89,46,60,78,43,36,37,3,0,7,21,5,3,0,1,0,22,1
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Palster,0216::SB7,,1676,441,3,2,0,0,1,388,57,0,0,0,0,0,0,446,33,77,79,32,58,34,52,25,7,0,3,19,0,1,0,1,2,18,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koningin Julianaschool,0216::SB8,,1451,659,0,1,0,0,2,575,84,0,0,0,1,0,0,661,77,68,68,107,140,52,56,27,4,0,0,26,6,0,1,3,0,24,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Salaamander,0216::SB9,,1235,749,1,0,0,1,0,645,104,0,0,1,0,0,0,749,75,126,100,63,126,61,71,48,6,0,3,24,2,0,0,2,0,41,1
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gandhi-soos,0216::SB10,,1360,355,0,0,0,0,0,322,33,0,0,0,0,0,0,355,27,74,61,21,35,27,38,31,2,0,4,22,2,0,0,0,1,10,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Rode Kruisgebouw,0216::SB11,,1760,771,4,1,0,0,0,685,91,0,0,0,0,0,0,776,78,108,73,102,145,84,47,61,5,0,9,25,5,0,1,0,2,26,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kleurrijk Wonen,0216::SB12,,128,167,1,0,0,0,0,154,14,0,0,0,0,0,0,168,10,14,15,8,29,49,9,11,0,0,4,3,4,0,0,0,1,10,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Augustinusschool,0216::SB13,,1594,533,2,2,0,0,3,467,69,0,0,0,2,0,0,539,66,74,47,80,122,59,31,17,3,0,0,12,4,3,0,0,0,14,1
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BonVie,0216::SB14,,1562,890,2,6,0,0,0,774,123,0,0,1,0,0,0,897,115,125,91,141,137,77,77,47,13,0,2,28,3,1,1,3,0,29,0
,Culemborg,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Oranje Nassauschool,0216::SB15,,1188,399,2,0,0,0,2,340,59,0,0,0,0,0,0,401,50,38,37,77,92,43,12,25,1,0,2,1,2,0,0,0,0,18,1
