contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau ""Bethelkerk""",0400::SB1,,1679,527,2,2,0,0,1,477,53,0,0,0,0,0,0,531,62,117,46,58,49,37,63,23,6,1,8,30,1,3,0,0,0,23,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau ""Bethelkerk""",0400::SB2,,1518,389,3,1,0,0,2,358,33,0,0,0,0,0,0,393,39,102,26,34,39,17,43,23,2,1,9,20,1,1,0,2,0,30,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis Centrum,",0400::SB3,,1384,387,1,1,0,0,0,346,43,0,0,0,0,0,0,389,21,105,33,30,27,19,73,18,1,0,3,20,3,4,0,1,0,29,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis "" 't Kraaienest""",0400::SB4,,2074,525,0,3,0,0,0,486,42,0,0,0,0,0,0,528,56,123,54,57,54,24,71,23,5,0,8,18,2,5,0,1,2,22,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau ""Paviljoen van Toen"" (oude muziekkoepel)",0400::SB5,,1934,733,3,2,0,0,3,661,74,0,0,0,0,0,0,738,99,101,67,110,104,40,57,44,1,0,7,41,0,3,2,2,1,54,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurtvereniging ""ELTO""",0400::SB6,,2461,567,3,2,0,0,0,515,57,0,0,0,0,0,0,572,56,157,55,40,54,23,48,45,3,0,12,23,0,5,1,4,1,40,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis ""De Viskom""",0400::SB7,,1613,378,0,0,0,0,0,339,39,0,0,0,0,0,0,378,20,142,19,32,30,19,41,25,2,1,4,26,0,0,0,2,0,15,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis ""De Overzet""",0400::SB8,,1412,348,1,0,0,0,0,318,31,0,0,0,0,0,0,349,47,66,24,29,39,7,46,39,1,0,3,18,1,6,2,1,0,19,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dorpshuis Huisduinen,",0400::SB9,,396,217,2,0,0,0,5,196,18,0,0,0,0,0,0,219,27,20,23,53,30,9,12,9,1,0,0,15,0,0,0,0,0,18,0
,Den Helder,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Zorgcentrum ""de Groene Vecht""",0400::SB10,,996,295,1,1,0,0,0,273,24,0,0,0,0,0,0,297,38,71,19,43,23,9,23,16,3,1,3,16,3,1,0,1,1,24,0
