contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0384::SB1,1111 ZB,1340,874,3,5,0,0,1,803,78,0,0,0,0,0,0,882,62,114,104,89,160,111,103,14,8,1,13,28,1,3,1,1,2,59,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Brede Hoed,0384::SB2,1111 ZC,1322,439,1,1,0,0,2,403,36,0,0,0,0,0,0,441,37,76,62,44,51,37,59,7,1,1,8,21,4,5,1,2,0,22,1
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum De Diem,0384::SB3,1111 AM,1197,473,4,2,0,0,0,433,46,0,0,0,0,0,0,479,31,69,64,54,81,50,44,11,1,0,8,20,2,2,2,1,0,33,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sociaal Cult. Centrum De Schakel,0384::SB4,1111 CC,1132,376,3,1,0,0,0,349,31,0,0,0,0,0,0,380,39,41,56,30,54,40,44,8,5,0,13,14,2,2,0,2,0,26,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Portocabine NS-station Diemen,0384::SB5,1111 LZ,1340,470,3,5,0,0,0,428,50,0,0,0,0,0,0,478,50,87,53,46,74,45,56,10,1,0,10,12,2,1,1,0,1,21,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sporthal Diemen,0384::SB6,1111 ET,976,253,4,0,0,0,0,230,27,0,0,0,0,0,0,257,18,35,36,31,45,37,16,7,2,0,2,12,0,0,0,0,0,12,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS 't Palet,0384::SB7,1111 VR,1843,694,4,1,0,0,1,618,80,0,0,0,0,0,0,699,48,73,109,91,138,89,61,10,5,1,6,16,2,1,2,1,0,40,1
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Noord zaal 1,0384::SB8,1113 HM,1675,683,0,2,0,0,0,611,74,0,0,0,0,0,0,685,49,129,76,119,108,42,65,9,5,0,5,32,2,6,3,4,2,26,1
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Noord zaal 2,0384::SB9,1113 HM,1605,523,4,1,0,0,2,456,70,0,0,0,0,0,0,528,41,77,65,70,90,48,60,6,4,0,12,19,0,0,0,0,1,30,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum Berkenstede,0384::SB10,1112 CL,1282,475,2,3,0,0,0,441,39,0,0,0,0,0,0,480,62,55,77,30,69,32,74,6,0,0,7,37,1,2,3,1,0,18,1
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sportcentrum Duran,0384::SB11,1112 BE,1076,481,1,2,0,0,1,427,56,0,0,0,0,0,0,484,26,81,76,55,73,49,50,7,2,0,9,30,0,1,1,1,1,19,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau OBS De Venser,0384::SB12,1112 BE,1066,427,1,3,0,0,0,390,41,0,0,0,0,0,0,431,21,71,63,32,62,34,82,5,1,0,11,23,0,3,0,1,0,17,1
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Grand café Berlin (Campus Diemen),0384::SB13,1112 XC,2296,448,0,1,0,0,2,417,30,0,0,0,0,0,0,449,13,36,58,31,117,65,50,16,2,0,20,11,3,0,0,0,1,25,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Keet Boschplaat,0384::SB14,1112 KA,656,307,2,0,0,0,2,282,25,0,0,0,0,0,0,309,26,65,25,29,58,43,24,6,2,0,4,7,0,4,1,0,1,12,0
,Diemen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brede School De Kersenboom,0384::SB15,1111 PT,472,151,0,1,0,0,0,133,20,0,1,0,1,0,0,153,9,12,18,21,40,19,16,0,0,0,0,1,1,0,0,0,0,14,0
