contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, gebouw Het Bolwerk",0058::SB1,,1353,435,2,2,0,0,2,401,36,0,0,0,0,0,0,439,95,40,51,51,52,26,45,30,5,0,5,8,0,1,1,0,0,24,1
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, CBS Eben Haëzer",0058::SB2,,1321,557,0,0,0,0,2,491,64,0,0,0,0,0,0,557,227,43,38,35,37,20,35,86,0,0,4,13,0,1,0,4,0,14,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, verzorgingshuis Dongeraheem",0058::SB3,,1246,543,1,3,0,0,6,482,59,0,0,0,0,0,0,547,209,34,51,31,40,29,27,74,4,1,0,19,1,0,0,5,0,18,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, CBS De Hoeksteen",0058::SB4,,1074,335,0,2,0,0,0,312,25,0,0,0,0,0,0,337,76,45,34,17,22,18,35,55,3,0,3,5,0,5,0,1,0,15,1
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, De Fontein",0058::SB5,,1211,432,1,0,0,0,0,401,32,0,0,0,0,0,0,433,137,45,43,15,31,10,41,69,1,1,3,14,0,1,0,2,0,19,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, CBS De Regenboog",0058::SB6,,941,369,0,1,0,1,0,339,32,0,0,0,1,0,0,371,127,26,46,12,41,19,27,43,2,0,1,9,0,0,0,2,0,14,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, verpleeghuis De Waadwente",0058::SB7,,1737,654,4,2,0,0,0,597,63,0,0,0,0,0,0,660,270,45,52,57,55,28,37,62,2,1,1,22,2,0,1,4,1,14,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dokkum, CBS De Bron",0058::SB8,,1083,436,2,0,0,0,0,389,49,0,0,0,0,0,0,438,109,24,61,45,41,26,40,55,3,0,2,10,0,1,0,0,1,18,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Anjum, gemeenschapscentrum De Dobbe",0058::SB11,,855,301,0,0,0,0,14,255,32,0,0,0,0,0,0,301,115,39,17,21,20,15,32,23,2,0,0,9,0,0,1,2,0,4,1
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Raard, dorpshuis De Nije Pôle",0058::SB12,,242,130,0,0,0,0,0,120,10,0,0,0,0,0,0,130,51,4,10,9,15,9,4,16,0,0,0,4,0,3,0,0,1,4,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Brantgum, dorpshuis De Terpring",0058::SB13,,265,103,1,0,0,0,1,97,6,0,0,0,0,0,0,104,22,9,16,13,12,5,6,7,6,0,1,2,0,0,0,0,0,4,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Ee, dorpshuis De Jister",0058::SB14,,649,195,0,0,0,0,3,178,14,0,0,0,0,0,0,195,74,28,10,5,10,5,21,18,0,1,1,8,1,0,0,0,0,13,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Engwierum, lokaal bij de PKN-kerk",0058::SB15,,451,149,0,0,0,0,0,135,14,0,0,0,0,0,0,149,47,10,19,13,7,16,14,11,0,0,0,5,0,0,0,2,0,5,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Hantum, dorpshuis d'Ald Skoalle",0058::SB16,,565,181,0,0,0,0,0,154,27,0,0,0,0,0,0,181,56,11,12,21,16,11,13,22,2,0,2,8,0,0,0,0,0,7,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Holwerd, 't Sintrum",0058::SB17,,1230,393,2,1,0,0,4,347,45,0,0,0,0,0,0,396,110,45,55,35,25,15,52,20,2,0,0,14,1,0,0,0,0,19,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Lioessens, lokaal De Gearkomst",0058::SB19,,275,125,0,0,0,0,0,114,11,0,0,0,0,0,0,125,45,7,4,9,10,5,10,26,0,0,0,2,0,0,0,3,0,4,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Metslawier, verzorgingshuis De Skûle",0058::SB20,,743,279,0,0,0,0,0,255,24,0,0,0,0,0,0,279,107,25,27,18,24,6,23,25,1,1,1,8,1,0,0,1,0,11,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Moddergat, lokaal De Wynroas",0058::SB21,,392,136,0,0,0,0,0,122,14,0,0,0,0,0,0,136,49,18,10,5,4,4,8,18,6,0,0,1,0,1,1,3,0,8,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Morra, gebouw Elim",0058::SB22,,187,82,0,0,0,0,3,72,7,0,0,0,0,0,0,82,19,6,14,6,1,3,7,21,0,0,1,2,0,0,0,0,0,2,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Nes, dorpshuis De Nespel",0058::SB23,,304,132,0,0,0,0,1,115,16,0,0,0,0,0,0,132,46,12,18,2,5,5,16,14,2,0,1,2,0,1,0,0,0,7,1
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Niawier, gebouw Nij Sion",0058::SB24,,341,133,1,1,0,0,0,125,10,0,0,0,0,0,0,135,62,8,5,8,7,5,15,10,0,0,0,4,1,1,0,0,0,7,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Oosternijkerk, dorpshuis De Terp",0058::SB25,,697,170,1,0,0,0,0,162,9,0,0,0,0,0,0,171,70,14,8,19,17,4,16,12,0,0,1,2,0,1,0,0,0,6,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Oostrum, café Fryslân",0058::SB26,,153,76,0,0,0,0,0,68,8,0,0,0,0,0,0,76,21,7,11,11,1,6,1,15,0,0,2,0,0,0,0,0,0,1,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Ternaard, verzorgingshuis Spiker",0058::SB27,,1070,348,2,1,0,0,2,313,36,0,0,0,0,0,0,351,116,30,41,12,17,14,26,64,2,1,1,10,1,0,0,0,0,13,0
,Dongeradeel,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Wierum, dorpshuis De Pipenâle",0058::SB28,,280,101,0,1,0,0,0,90,12,0,0,0,0,0,0,102,22,15,5,3,5,14,10,12,2,0,2,5,0,1,0,0,0,5,0
