contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0512::SB1,,1756,698,0,1,0,0,3,614,82,0,0,0,0,0,0,699,80,94,64,131,138,42,57,41,1,0,4,8,0,4,1,1,1,31,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gorcums Museum,0512::SB2,,1252,633,1,1,0,0,2,556,77,0,0,0,0,0,0,635,44,77,63,88,134,68,50,38,5,0,5,15,2,1,0,5,1,37,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Huize Steijndeld,0512::SB3,,837,283,3,1,0,0,0,259,28,0,0,0,0,0,0,287,15,38,39,36,52,20,34,19,1,0,4,7,0,0,0,0,0,18,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis De Aanlegsteiger,0512::SB4,,1309,584,2,2,0,0,0,520,68,0,0,0,0,0,0,588,36,52,76,92,107,44,78,26,2,0,2,17,1,5,1,1,2,41,1
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw A,0512::SB5,,1095,362,0,2,0,0,0,322,42,0,0,0,0,0,0,364,34,47,34,41,46,31,39,60,3,1,0,6,1,0,0,0,0,19,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw B,0512::SB6,,998,396,2,2,0,0,0,350,50,0,0,0,0,0,0,400,51,49,30,55,70,21,41,44,3,0,3,7,0,1,0,2,0,19,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Oosterbliek,0512::SB7,,1168,575,3,1,0,0,0,504,75,0,0,0,0,0,0,579,50,84,43,82,93,24,54,97,3,1,8,15,0,1,0,1,0,18,1
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw C,0512::SB8,,1398,470,2,2,0,0,0,400,74,0,0,0,0,0,0,474,46,67,36,60,64,17,55,68,3,0,9,12,1,0,1,4,2,25,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw D,0512::SB9,,1370,458,0,1,0,0,0,386,73,0,0,0,0,0,0,459,47,62,45,75,71,21,33,68,5,0,7,5,1,0,1,2,0,15,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis ""West""",0512::SB10,,1151,382,0,0,0,0,0,334,48,0,0,0,0,0,0,382,39,53,40,53,40,20,43,47,0,0,5,12,2,2,2,2,2,20,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis De Elzenhof,0512::SB11,,1578,624,0,2,0,0,0,526,100,0,0,0,0,0,0,626,68,57,34,161,108,29,43,76,0,0,5,20,0,1,0,3,0,19,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Merewade College,0512::SB12,,804,219,0,0,0,0,0,190,29,0,0,0,0,0,0,219,12,33,32,37,28,9,28,19,1,0,2,8,1,0,0,2,0,7,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Lingewijkgebouw,0512::SB13,,1048,283,3,4,0,0,0,259,31,0,0,0,0,0,0,290,12,75,38,10,32,16,44,16,0,0,2,15,0,3,0,0,3,17,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw Leger des Heils,0512::SB14,,1032,345,0,0,0,0,0,308,37,0,0,0,0,0,0,345,40,72,25,31,49,16,25,50,3,0,2,10,2,0,0,5,0,15,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw E,0512::SB15,,1194,432,3,2,0,0,1,382,54,0,0,0,0,0,0,437,62,68,60,38,42,13,43,70,3,0,2,11,0,1,0,2,2,15,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dienstencentrum Rozenobel,0512::SB16,,1524,362,0,0,0,0,0,300,62,0,0,0,0,0,0,362,38,59,75,17,25,21,48,35,3,0,2,19,1,0,0,1,0,18,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Exodus Kerk,0512::SB17,,1154,389,1,3,0,0,1,346,46,0,0,0,0,0,0,393,50,80,49,19,42,15,30,66,0,0,3,14,1,0,1,7,2,10,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw F,0512::SB18,,1431,455,2,2,0,0,0,404,55,0,0,0,0,0,0,459,59,63,48,44,65,28,50,66,5,0,4,6,0,0,0,0,0,17,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolgebouw G,0512::SB19,,931,274,0,0,0,0,0,248,26,0,0,0,0,0,0,274,38,57,22,14,26,9,34,52,1,0,2,8,1,0,0,1,0,9,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Het Gasthuis,0512::SB20,,1075,278,0,0,0,0,0,249,29,0,0,0,0,0,0,278,27,51,25,22,33,14,35,33,0,1,5,11,1,2,0,2,0,16,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Huize St. Clara,0512::SB21,,1057,383,4,3,0,0,1,359,30,0,0,0,0,0,0,390,68,62,52,27,23,18,47,33,1,1,10,24,0,0,0,2,0,15,0
,Gorinchem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau WonenLerenZorg gebouw,0512::SB22,,1152,439,2,3,0,0,0,394,51,0,1,0,1,0,0,445,88,59,55,33,41,14,58,56,0,0,0,17,0,1,0,2,2,13,0
