contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Cult.centr. Fidei et Arti,1655::SB1,4731 HV,1903,615,2,1,0,0,5,540,73,0,0,0,0,0,0,618,156,120,40,73,62,16,64,7,2,0,7,28,2,5,0,3,2,27,1
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sportivo Healthcenter,1655::SB2,4731 LH,1408,335,3,2,0,0,0,300,40,0,0,0,0,0,0,340,68,87,23,48,29,6,34,2,1,0,1,23,1,0,0,2,0,10,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Centrum Wonen&Zorg de Zellebergen,1655::SB3,4731 NZ,1662,575,4,2,0,0,3,501,77,0,0,0,0,0,0,581,118,93,33,84,78,18,90,8,4,0,3,25,1,4,1,1,0,14,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Steunpunt voor ouderen Pagnevaart,1655::SB4,4731 BS,1565,514,2,1,0,0,0,462,55,0,0,0,0,0,0,517,109,99,33,57,55,9,72,13,0,1,2,42,0,1,0,3,2,16,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Regenboog,1655::SB6,4731 VW,1817,535,1,0,0,0,0,484,52,0,0,0,0,0,0,536,82,96,35,72,102,21,53,3,4,0,4,28,0,6,2,1,1,25,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brandweerkazerne,1655::SB8,4741 EJ,1944,634,4,3,0,0,2,557,82,0,0,0,0,0,0,641,110,111,41,107,101,20,59,5,5,1,9,36,0,0,1,1,1,26,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Trefpunt KBO,1655::SB9,4741 AG,1303,508,0,1,0,0,0,444,65,0,0,0,0,0,0,509,131,71,36,85,73,13,46,4,1,0,0,30,0,2,0,0,0,16,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zaal Hart van Gastel,1655::SB11,4751 HR,1279,355,0,1,0,0,0,316,40,0,0,0,0,0,0,356,64,73,31,65,37,8,44,1,0,0,2,17,1,3,2,0,0,7,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool St.Bernardus,1655::SB12,4751 HK,1097,324,0,0,0,0,0,279,45,0,0,0,0,0,0,324,63,77,22,41,39,4,38,4,0,0,1,28,0,0,0,0,1,6,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Centrum Het Veerhuis,1655::SB14,4751 CS,1985,578,1,3,0,0,0,526,56,0,0,0,0,0,0,582,109,151,48,69,42,13,74,5,2,0,0,55,0,0,0,1,0,9,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zaal/café Geerts,1655::SB15,4754 AC,1003,289,1,1,0,0,0,262,29,0,0,0,0,0,0,291,48,81,21,27,32,9,34,2,0,0,6,15,0,0,0,2,0,12,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau MFA 't Bossche Hart,1655::SB16,4744 BZ,1829,551,3,0,0,0,0,486,68,0,0,0,0,0,0,554,72,153,32,91,73,23,40,2,6,1,1,32,1,0,1,0,0,22,1
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Regionaal Archief West Brabant,1655::SB17,4731 CD,1416,480,0,1,0,0,0,424,57,0,0,0,0,0,0,481,96,79,31,70,88,17,46,3,1,0,3,23,1,3,0,0,0,19,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woon- en Zorgcentrum Blankershof,1655::SB18,4751 KK,946,189,1,0,0,0,0,164,26,0,0,0,0,0,0,190,40,39,8,41,24,7,12,1,0,0,0,11,0,0,0,0,0,6,0
,Halderberge,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woon- en Zorgcentrum Kroonestede,1655::SB19,4741 JC,2063,496,0,2,0,0,3,436,59,0,0,0,0,0,0,498,107,91,30,107,53,19,26,8,5,0,9,26,0,2,0,2,0,11,0
