contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0018::SB1,,1135,696,2,0,0,0,1,655,42,0,0,0,0,0,0,698,76,67,107,99,95,40,90,57,4,0,1,27,1,1,1,1,0,29,0
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Reensche Compagnie,0018::SB2,,1149,384,0,0,0,0,0,350,34,0,0,0,0,0,0,384,30,52,83,12,29,12,96,29,0,0,1,22,0,6,0,1,0,11,0
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woonzorgcentrum Voor Anker,0018::SB3,,1366,496,2,1,0,0,2,446,51,0,0,0,0,0,0,499,51,59,79,59,76,28,66,25,3,0,4,15,0,0,2,2,0,26,1
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Schakel,0018::SB4,,1264,250,1,0,0,0,0,222,29,0,0,0,0,0,0,251,25,50,45,14,29,9,45,8,1,1,1,10,0,0,0,0,0,11,1
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Westerbroek,0018::SB5,,685,305,0,1,0,0,4,261,41,0,0,0,0,0,0,306,30,51,30,23,42,19,49,21,0,0,1,17,1,0,1,0,0,20,0
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau MFC Foxhol,0018::SB6,,888,265,0,0,0,0,0,228,37,0,0,0,0,0,0,265,16,46,30,20,25,5,64,17,2,0,3,18,0,1,0,1,0,17,0
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Kropswolde,0018::SB7,,1443,633,3,0,0,0,4,548,84,0,0,0,0,0,0,636,48,65,46,153,120,33,67,28,3,0,7,27,3,0,1,0,0,31,1
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woldhuus Kiel-Windeweer,0018::SB8,,698,264,1,1,0,0,0,229,37,0,0,0,0,0,0,266,20,35,31,41,37,37,20,14,0,0,3,2,0,2,0,0,0,21,1
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Spokie,0018::SB9,,1145,347,3,1,0,0,0,318,33,0,0,0,0,0,0,351,21,69,68,10,31,19,74,24,1,0,1,14,0,1,0,2,0,10,2
,Hoogezand-Sappemeer,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Centrum De Stijgbeugel,0018::SB10,,1216,395,3,0,0,0,0,353,45,0,0,0,0,0,0,398,30,55,87,39,23,24,75,33,3,0,3,17,0,1,0,0,0,4,1
