contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Arendshorst,1884::SB1,2371 CG,1931,828,10,0,0,0,1,757,80,0,0,0,0,0,0,838,215,75,33,217,155,31,20,12,6,0,1,40,0,0,0,0,2,21,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Bonaventuracollege,1884::SB2,2371 VJ,1659,677,0,1,0,0,2,598,78,0,0,0,0,0,0,678,140,95,63,115,122,34,28,5,9,0,4,32,1,2,1,1,1,24,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gogherweide,1884::SB3,2371 RG,1918,701,3,2,0,0,0,630,74,0,0,2,0,0,0,704,114,128,61,87,117,41,60,8,4,0,10,27,1,1,1,1,3,37,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Meerpaal,1884::SB4,2376 AR,507,202,1,0,0,0,0,176,27,0,0,0,0,0,0,203,49,16,19,30,39,7,9,7,1,2,2,9,0,0,0,0,0,12,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brandweerkazerne Hertogspark,1884::SB5,2375 XE,1800,693,6,1,0,0,2,622,76,0,0,0,0,0,0,700,165,109,42,126,103,24,30,13,2,0,9,31,1,2,0,0,2,33,1
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau NH-Kerk Kaag,1884::SB7,2159 LA,354,191,0,0,0,0,2,160,29,0,0,0,0,0,0,191,17,39,3,62,35,6,6,0,0,0,1,12,1,0,0,0,1,8,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Roelevaer,1884::SB8,2371 NK,1928,729,0,2,0,0,0,664,67,0,0,0,0,0,0,731,172,106,43,118,109,53,46,6,3,0,4,32,2,2,1,0,2,30,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Huize Jacobus,1884::SB9,2377 CR,1438,465,2,0,0,0,0,422,45,0,0,0,0,0,0,467,124,68,34,74,69,14,26,6,2,0,1,30,1,2,1,0,0,13,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Schoolhuis,1884::SB10,2465 AC,947,500,3,0,0,0,1,440,62,0,0,0,0,0,0,503,124,61,32,78,71,22,25,31,0,2,3,24,1,0,0,0,0,25,1
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Het Spant,1884::SB11,2451 BV,1754,694,7,1,0,0,2,628,72,0,0,0,0,0,0,702,99,146,46,120,116,20,54,11,8,0,6,32,1,7,1,2,1,24,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Ontmoeting,1884::SB12,2451 AP,1724,729,2,2,0,0,2,641,90,0,0,0,0,0,0,733,192,100,23,145,95,17,37,26,5,0,5,44,1,6,1,1,3,27,1
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw Die Twee,1884::SB13,2481 AN,1372,578,2,0,0,0,1,523,56,0,0,0,0,0,0,580,100,80,39,73,127,33,33,32,1,0,7,21,1,2,4,0,4,21,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw Immanuel,1884::SB14,2481 AA,1243,610,3,5,0,0,2,529,87,0,0,0,0,0,0,618,160,53,27,112,94,51,24,40,2,0,3,12,1,6,0,0,1,24,0
,Kaag en Braassem,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gebouw De Drieluik,1884::SB15,2355 AG,1327,530,4,0,0,0,2,472,60,0,0,0,0,0,0,534,134,86,31,79,79,17,31,8,4,0,5,36,0,0,0,0,0,20,0
