contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadskantoor,0545::SB1,,2412,896,3,4,0,0,2,790,111,0,0,0,0,0,0,903,119,167,88,109,82,34,34,160,2,0,8,35,0,1,0,5,1,50,1
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Maranatha,0545::SB2,,1926,871,0,2,0,0,4,742,127,0,0,0,0,0,0,873,167,109,56,100,70,21,41,245,9,0,2,21,3,1,3,2,1,19,1
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Calvijnschool,0545::SB3,,1528,529,0,0,0,0,3,442,84,0,0,0,0,0,0,529,88,62,28,38,37,7,39,197,2,0,0,11,2,4,0,0,1,13,0
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Huis ter Leede,0545::SB4,,1999,992,0,1,0,0,1,853,139,0,0,0,0,0,0,993,159,140,64,110,76,23,87,247,3,0,5,37,0,8,1,1,0,31,0
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wilgenhoek,0545::SB5,,1118,448,2,3,0,0,0,403,50,0,0,0,0,0,0,453,58,77,30,54,58,15,41,80,2,0,9,11,0,0,0,0,0,12,1
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau het Mozaïek bovenbouw,0545::SB6,,823,209,1,1,0,0,0,176,35,0,0,0,0,0,0,211,19,59,37,14,12,7,20,16,0,0,0,13,0,1,0,0,0,10,1
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koningin Emmahuis,0545::SB7,,1395,295,3,0,0,0,0,259,39,0,0,0,0,0,0,298,32,64,63,18,9,18,31,37,0,0,0,14,0,1,0,0,1,6,1
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau het Mozaïek onderbouw,0545::SB8,,2147,623,2,2,0,0,0,526,101,0,0,0,0,0,0,627,90,141,97,34,39,24,59,102,2,1,3,10,0,1,1,1,0,18,0
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau dorpshuis De Stoof,0545::SB9,,646,347,1,1,0,0,0,306,44,0,1,0,1,0,0,350,48,56,34,74,59,8,23,17,0,0,2,15,0,2,0,2,0,7,0
,Leerdam,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Partycentrum Schoonrewoerd,0545::SB10,,1448,743,1,1,0,0,0,633,112,0,0,0,0,0,0,745,153,95,18,66,48,23,16,297,2,0,4,9,0,0,0,5,1,6,0
