contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Gemeentehuis Lopik, Raadhuisplein , Lopik",0331::SB1,3411 CH,1047,432,0,1,0,0,0,381,52,0,0,0,0,0,0,433,98,67,22,33,28,16,24,107,0,0,1,18,1,1,0,4,0,11,1
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau KMN Kind & Co, tover, De Akker 41, Lopik",0331::SB2,3411 ZG,1386,423,0,3,0,0,0,376,50,0,0,0,0,0,0,426,82,88,21,43,35,11,30,76,2,0,1,12,0,2,0,1,0,19,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dorpshuis De Schouw, Beatrixplantsoen 5, Lopik",0331::SB3,3411 DB,1929,827,1,1,0,0,0,827,2,0,0,0,0,0,0,829,206,140,44,110,76,17,41,128,3,2,8,27,3,5,0,3,0,14,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis Uitweg, Uitweg 6, Lopikerkapel",0331::SB4,3412 KR,982,431,0,2,0,0,0,343,90,0,0,0,0,0,0,433,71,56,20,51,20,6,19,145,1,0,2,17,2,2,1,4,0,14,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Ver. gebouw Jaarsveld, Kerkstraat 7, Jaarsveld",0331::SB5,3413 MP ,681,302,3,0,0,0,0,269,36,0,0,0,0,0,0,305,56,53,8,44,27,10,10,72,0,0,1,6,1,0,0,1,1,12,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau In 't Witte Paard, Cabauwsekade 42a, Lopik",0331::SB6,3411 EC,767,337,2,0,0,0,2,289,48,0,0,0,0,0,0,339,138,50,18,49,26,14,7,13,0,0,1,12,0,0,0,0,0,9,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis 't Wilgegat, Graaf Floris IV-weg 2, Lopik",0331::SB7,3411 NC,255,120,0,0,0,0,0,108,12,0,0,0,0,0,0,120,52,7,6,12,9,6,3,18,0,0,0,0,0,0,0,3,1,3,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dorpshuis Benschop, Oranje Nassaustraat 31, Benschop",0331::SB8,3405 XJ,1984,962,5,1,0,0,0,829,139,0,0,0,0,0,0,968,234,141,40,132,70,22,42,211,4,0,4,32,1,3,0,2,1,23,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Buurthuis de Triangel, Benedeneind NZ 468b, Benschop",0331::SB9,3405 CE,635,301,1,0,0,0,0,247,55,0,0,0,0,0,0,302,106,26,6,29,13,6,5,91,0,0,4,10,0,0,0,3,0,2,0
,Lopik,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Dorpshuis Polsbroek, Dorp 32, Polsbroek",0331::SB10,3415 PE,803,437,4,1,0,0,0,383,59,0,0,0,0,0,0,442,97,38,9,50,27,13,11,177,1,0,1,3,0,0,0,4,0,6,0
