contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0119::SB1,,1467,687,2,1,0,0,7,631,52,0,0,0,0,0,0,690,75,98,107,85,89,29,88,51,3,0,3,32,2,2,3,1,1,15,3
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Cultureel Centrum De Plataan,0119::SB2,,1119,423,2,0,0,0,2,388,35,0,0,0,0,0,0,425,57,46,62,52,48,34,58,31,1,0,3,11,2,0,0,1,0,15,2
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Oosterboerschool,0119::SB3,,1269,507,5,0,0,0,0,457,55,0,0,0,0,0,0,512,61,47,64,56,79,54,51,55,4,0,0,14,2,0,0,0,3,17,0
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau School de Toermalijn,0119::SB4,,1419,448,0,2,0,0,0,399,51,0,0,0,0,0,0,450,40,40,48,93,81,42,50,18,1,0,2,2,5,0,0,2,1,23,0
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wooncentrum Meeuwenborgh,0119::SB5,,580,201,0,1,0,0,1,189,12,0,0,0,0,0,0,202,14,45,36,10,18,8,31,14,2,1,3,11,1,0,0,0,0,7,0
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woon-zorgcentrum Irene,0119::SB6,,1288,529,1,2,0,1,0,480,51,0,0,1,0,0,0,531,77,42,54,119,90,44,26,29,2,0,3,10,6,1,0,0,0,26,0
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brandweerkazerne,0119::SB7,,1028,293,6,3,0,0,0,267,35,0,0,0,0,0,0,302,34,51,29,17,23,25,50,24,6,0,0,11,1,3,0,2,0,17,0
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Anne Frankschool,0119::SB8,,1403,564,3,1,0,0,1,527,40,0,0,0,0,0,0,568,90,38,63,57,83,41,77,71,0,0,3,14,1,3,1,0,1,20,1
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Beatrixschool,0119::SB9,,875,235,1,0,0,0,0,209,27,0,0,0,0,0,0,236,19,59,29,15,16,12,39,17,1,2,0,7,1,1,0,0,0,17,0
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau School De Woldstroom,0119::SB10,,866,301,1,0,0,0,0,284,18,0,0,0,0,0,0,302,23,52,48,18,19,24,61,17,2,0,1,13,1,0,1,3,0,17,1
,Meppel,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Villa Mobila,0119::SB11,,849,262,0,1,0,0,0,241,22,0,0,0,0,0,0,263,34,35,23,16,39,23,52,15,2,0,1,6,2,1,0,0,0,12,1
