contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0946::SB1,6031 VR,2256,885,5,2,0,0,2,790,100,0,0,0,0,0,0,892,248,201,51,89,90,16,86,5,5,0,3,66,3,1,3,0,0,18,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum St. Joseph,0946::SB2,6031 BL,1527,405,4,1,0,0,0,366,44,0,0,0,0,0,0,410,131,68,23,44,43,10,34,2,7,0,1,30,0,1,1,0,0,10,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Kerneel,0946::SB3,6031 HR,1689,431,2,1,0,0,0,364,70,0,0,0,0,0,0,434,143,54,35,63,50,14,35,5,4,0,1,11,0,2,0,1,1,12,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis De Pinnenhof,0946::SB4,6031 BX,1231,472,1,1,0,0,0,412,62,0,0,0,0,0,0,474,152,86,36,52,43,14,36,4,5,1,4,32,0,1,0,0,0,5,1
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis Pestoeërskoel,0946::SB5,6091 PD,833,314,0,0,0,0,2,259,53,0,0,0,0,0,0,314,137,47,22,26,31,15,14,0,2,0,1,7,2,0,0,0,0,10,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kerkelijke voorziening Budschop,0946::SB6,6031 BD,1385,478,3,2,0,0,0,418,65,0,0,0,0,0,0,483,175,74,26,51,45,12,47,4,1,0,0,31,0,0,0,1,0,11,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis Haaze-hoof,0946::SB7,6035 AS,1203,397,1,1,0,0,0,362,37,0,0,0,0,0,0,399,175,61,11,47,28,3,34,3,0,0,1,28,1,0,0,0,2,3,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Schrank,0946::SB8,6035 BD,1425,377,2,0,0,0,0,332,47,0,0,0,0,0,0,379,151,61,16,34,20,1,34,0,0,0,2,40,2,1,1,0,1,13,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Thomashuis Ospeldijk,0946::SB9,6035 RB,538,175,4,2,0,0,0,156,25,0,0,0,0,0,0,181,61,20,10,27,13,5,15,2,0,0,2,12,1,0,0,0,2,5,0
,Nederweert,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis Reigershorst,0946::SB10,6034 TE,1246,463,9,0,0,0,1,418,53,0,0,0,0,0,0,472,221,43,20,39,39,9,39,5,5,0,3,11,0,0,0,0,0,29,0
