contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadshuis,0356::SB1,3431 LZ,1208,640,5,0,0,0,5,581,59,0,0,0,0,0,0,645,52,93,75,73,85,43,106,31,4,0,10,30,3,5,0,1,1,27,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Obs de Schakel,0356::SB2,3431 AC,1986,404,1,1,0,0,1,372,33,0,0,0,0,0,0,406,58,84,45,21,53,23,57,14,0,0,5,19,1,3,2,3,0,16,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Emmauskerk,0356::SB3,3435 CC,1393,296,1,0,0,0,0,256,41,0,0,0,0,0,0,297,27,52,22,37,45,14,36,18,1,0,4,23,3,0,0,1,0,13,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis Kerkveld,0356::SB5,3431 EC,1796,714,8,2,0,1,0,656,69,0,0,0,1,0,0,725,99,104,54,108,106,53,91,26,5,0,2,29,2,1,2,1,1,30,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Montessorischool De Vleugel,0356::SB6,3438 AG,1119,427,3,0,0,0,0,372,58,0,0,0,0,0,0,430,66,65,48,44,60,51,42,18,4,0,2,9,1,3,0,1,1,11,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis Zuilenstein,0356::SB7,3438 XX,1176,439,2,1,0,0,2,394,46,0,0,0,0,0,0,442,59,94,50,42,38,14,69,24,2,0,4,28,1,3,1,0,0,10,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau RK basisschool Vroonestein,0356::SB8,3438 RA,1167,469,4,1,0,0,1,418,55,0,0,0,0,0,0,474,54,77,56,46,76,29,81,14,1,0,2,10,1,0,0,0,0,22,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Cimbaal,0356::SB9,3438 DA,1116,354,0,1,0,0,0,320,35,0,0,0,0,0,0,355,44,42,36,43,49,29,60,13,2,0,6,4,0,2,3,0,1,20,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau ROC MN Veiligheid&Defensie College,0356::SB10,3437 WN,1134,346,2,2,0,0,2,297,50,0,0,1,0,1,0,349,41,58,21,61,42,15,57,14,2,0,4,16,1,0,0,0,0,14,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kinderdagverblijf De Toverfluit,0356::SB11,3437 XB,1106,426,0,1,0,0,1,378,48,0,0,0,0,0,0,427,44,68,49,63,62,28,32,24,2,0,3,20,0,2,0,2,0,27,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau PC bs Pr.Margriet locatie Noord I,0356::SB12,3437 CA,1295,387,5,0,0,0,1,340,51,0,0,0,0,0,0,392,52,47,34,67,68,18,37,13,2,0,0,25,1,2,0,1,2,18,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau PC bs Pr.Margriet locatie Noord II,0356::SB13,3437 CA,1388,527,0,1,0,0,1,465,62,0,0,0,0,0,0,528,58,90,55,68,75,43,46,29,3,0,6,24,2,2,1,2,0,22,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurtplein Batau,0356::SB15,3437 AA,1318,567,4,2,0,0,1,500,72,0,0,0,0,0,0,573,47,87,69,57,64,48,83,34,2,0,6,33,1,8,0,0,0,28,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau PC bs Pr.Margriet, locatie Zuid",0356::SB16,3436 GB,1705,389,1,0,0,0,1,347,42,0,0,0,0,0,0,390,43,80,21,62,58,22,39,21,3,0,10,17,1,1,3,2,0,6,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Openbare basisschool De Meander,0356::SB17,3436 GE,1629,624,4,2,0,0,0,541,89,0,0,0,0,0,0,630,64,113,57,71,112,63,77,17,5,0,5,19,1,0,2,3,0,15,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Openbare basisschool De Krullevaar,0356::SB18,3435 BZ,1182,499,1,1,0,0,0,439,62,0,0,0,0,0,0,501,46,70,77,54,79,55,53,16,1,0,6,15,1,2,0,2,1,21,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurtplein Doorslag,0356::SB19,3435 EP,1142,497,1,1,0,0,1,444,54,0,0,0,0,0,0,499,64,87,36,46,75,37,69,25,9,0,3,20,0,2,0,0,1,23,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Scholengemeenschap Anna van Rijn,0356::SB20,3435 XA,1174,441,0,4,0,0,0,389,56,0,0,0,0,0,0,445,48,61,43,46,75,42,58,20,2,0,3,21,0,4,1,0,0,17,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Daltonschool Uniq-Deldenseschans 2,0356::SB21,3432 XW,1535,486,4,0,0,0,0,425,65,0,0,0,0,0,0,490,44,77,56,46,68,37,71,26,6,0,15,13,0,0,1,2,0,24,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkhuis De Steeg,0356::SB23,3432 TK,1656,507,0,4,0,0,0,467,44,0,0,0,0,0,0,511,50,74,55,29,55,39,94,40,6,1,13,12,2,5,0,3,2,26,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Jenaplanschool De Zuiderkroon,0356::SB24,3432 SZ,1139,464,2,2,0,0,1,412,55,0,0,0,0,0,0,468,45,62,55,62,68,32,77,17,2,0,2,16,1,2,2,0,0,20,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau PC basisschool Maurits,0356::SB25,3434 CA,1197,393,0,5,0,0,0,340,58,0,0,0,0,0,0,398,57,73,31,38,42,22,44,54,1,0,1,15,1,1,1,0,0,12,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurtplein Zuid,0356::SB26,3434 EW,1519,542,3,0,0,0,3,472,70,0,0,0,0,0,0,545,77,84,45,49,91,18,90,34,2,0,4,24,0,3,2,1,2,16,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kerkelijk Centrum De Rank,0356::SB27,3434 HA,1336,498,5,0,0,0,0,446,57,0,0,0,0,0,0,503,49,110,40,46,60,40,84,21,1,0,6,20,1,5,1,0,1,13,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingshuis Vreeswijk,0356::SB28,3434 GL,1354,481,5,3,0,0,0,448,41,0,0,0,0,0,0,489,90,54,32,77,71,31,43,28,2,0,3,17,2,2,1,0,2,25,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau SKPON/voorheen Kompas,0356::SB29,3433 EH,889,343,1,0,0,0,0,300,44,0,0,0,0,0,0,344,51,39,34,38,60,24,35,31,0,0,0,11,0,1,0,5,1,13,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurthuis Vreeswijk,0356::SB30,3433 ZZ,875,413,6,3,0,0,0,363,59,0,0,0,0,0,0,422,54,72,41,30,49,23,55,41,0,0,7,23,0,1,0,0,0,17,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurtcentrum De Boog II,0356::SB31,3437 JT,592,429,3,0,0,1,0,384,47,0,0,1,0,0,0,431,48,68,42,50,61,26,72,8,2,0,5,16,0,2,3,0,0,25,1
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau PC Basisschool Kon. Juliana,0356::SB32,3437 KB,1827,446,3,1,0,0,2,398,50,0,0,0,0,0,0,450,53,96,49,67,52,18,56,18,2,0,2,13,0,4,1,1,1,13,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Buurtcentrum De Boog I,0356::SB33,3437 JT,592,356,2,0,0,0,0,325,33,0,0,0,0,0,0,358,42,63,41,47,52,14,55,13,1,0,1,15,0,2,0,0,1,9,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Gemeenschapsruimte ""boerderij Bos""",0356::SB34,3437 KN,1148,472,3,1,0,0,0,427,49,0,0,0,0,0,0,476,55,98,50,54,85,16,49,12,5,0,3,26,0,2,1,1,0,15,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Sporthal ""Galecop""",0356::SB35,3437 KB,1489,316,3,0,0,0,0,272,47,0,0,0,0,0,0,319,50,70,17,46,41,18,28,9,2,0,3,10,0,1,2,1,0,18,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Merwestein,0356::SB36,3432 GH,1151,282,3,2,0,0,0,264,23,0,0,0,0,0,0,287,23,41,43,22,47,19,39,20,0,0,4,12,0,0,1,0,0,11,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Voetbalvereniging JSV Nieuwegein,0356::SB37,3438 HX,1190,251,1,0,0,0,0,204,48,0,0,0,0,0,0,252,20,51,22,39,42,17,19,6,6,0,1,10,0,0,2,2,0,14,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Toonladder Galecop,0356::SB38,3437 PJ,1614,479,2,0,1,0,0,408,74,0,0,0,1,0,0,482,57,84,48,69,83,22,54,13,0,0,6,19,0,1,2,2,2,17,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Scholengemeenschap Anna van Rijn,0356::SB39,3438 ED,1180,299,4,0,0,0,2,252,49,0,0,0,0,0,0,303,40,37,36,39,53,24,25,13,2,1,4,9,0,2,0,0,0,14,0
,Nieuwegein,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Prins Hendrik Internaat,0356::SB41,3433 NL,1038,319,0,0,0,0,0,284,35,0,0,0,0,0,0,319,43,56,21,50,43,14,38,21,1,0,6,14,1,1,0,0,3,6,1
