contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kaleidoskoop,0569::SB1,2421 EX,1905,753,1,1,0,0,3,662,90,0,0,0,0,0,0,755,101,101,47,123,135,38,55,66,10,0,3,31,1,7,2,2,0,31,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Rank,0569::SB2,2421 BE,1700,725,3,1,0,0,3,624,102,0,0,0,0,0,0,729,149,105,27,168,107,30,22,41,8,1,1,34,1,1,0,1,2,26,1
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Aar en Amstel,0569::SB3,2421 XH,1664,437,1,0,0,1,0,391,48,0,0,0,1,0,0,439,97,85,40,53,41,19,22,32,2,0,1,22,0,0,1,2,3,17,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Muziekc. Eensgezind,0569::SB4,2421 TA,1373,700,1,1,0,0,0,633,69,0,0,0,0,0,0,702,111,98,59,115,128,41,52,29,7,0,7,16,3,0,0,1,0,33,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau NSV'46,0569::SB5,2431 XM,1265,522,0,0,0,0,2,465,55,0,0,0,0,0,0,522,144,62,39,89,71,33,26,12,5,0,2,22,2,0,0,1,1,13,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Schutse,0569::SB6,3652 LH,969,416,0,0,0,0,2,353,61,0,0,0,0,0,0,416,109,36,19,76,40,11,13,76,0,0,0,13,1,1,0,7,0,14,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Koetshuis,0569::SB7,2461 CN,2011,765,8,1,0,0,0,694,80,0,0,0,0,0,0,774,226,106,43,126,106,25,44,15,3,7,8,25,2,0,2,2,0,23,2
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Menken Maritiem,0569::SB8,2461 ET,1675,486,2,1,0,0,0,424,65,0,0,0,0,0,0,489,136,90,19,97,44,11,13,34,1,0,3,24,0,0,0,1,1,11,1
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BS De Vosseschans,0569::SB9,2461 BA,1401,536,0,2,0,1,0,476,63,0,0,0,1,0,0,539,131,65,30,62,87,26,28,51,4,0,4,22,0,1,0,4,1,19,1
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Vlinder,0569::SB10,2461 CB,1723,787,2,1,0,0,1,720,69,0,0,0,0,0,0,790,207,113,44,109,89,43,50,61,5,0,7,34,1,2,1,3,1,17,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Anker,0569::SB11,2441 CN,1480,509,1,3,0,0,0,455,58,0,0,0,0,0,0,513,129,108,15,78,70,16,32,27,2,1,2,9,0,3,0,0,1,16,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis Nieuwveen,0569::SB12,2441 LE,2088,694,2,0,0,0,2,613,81,0,0,0,0,0,0,696,146,135,30,92,96,24,45,58,5,0,6,25,0,1,2,6,0,23,0
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Trefpunt,0569::SB13,2435 XP,1788,621,3,0,0,0,0,560,64,0,0,0,0,0,0,624,132,109,35,96,75,20,36,48,6,0,3,25,0,1,1,6,0,27,1
,Nieuwkoop,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Mobiel stembureau,0569::SB14,,0,88,2,0,0,0,0,77,13,0,0,0,0,0,0,90,29,8,4,20,7,2,4,7,0,0,0,4,0,0,0,0,0,2,1
