contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0269::SB1,8096 CP,1912,780,2,1,0,0,5,675,103,0,0,0,0,0,0,783,136,79,27,34,21,17,36,403,1,0,2,10,0,4,0,5,0,4,1
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Hullen,0269::SB2,8096 AX,1545,569,2,1,0,0,5,478,89,0,0,0,0,0,0,572,93,34,17,21,13,3,11,344,0,0,2,6,0,0,4,6,0,15,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Heerdt,0269::SB3,8097 SE,1683,742,1,0,0,0,2,606,135,0,0,0,0,0,0,743,139,21,10,25,17,10,13,476,2,1,0,12,2,1,0,5,0,8,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Schaapskooi,0269::SB4,8096 CG,1036,418,0,1,0,0,0,360,59,0,0,0,0,0,0,419,54,37,10,24,16,2,2,259,4,0,0,3,0,0,0,4,0,3,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Grinthuus,0269::SB5,8095 PX,1162,380,1,0,0,0,10,315,56,0,0,0,0,0,0,381,52,49,17,18,9,5,24,179,0,0,1,9,0,2,0,3,0,12,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Pauluskerk,0269::SB6,8091 CK,1565,609,1,1,0,0,0,529,82,0,0,0,0,0,0,611,113,65,18,59,51,7,39,224,2,0,3,15,2,1,0,2,0,8,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kruiskerk,0269::SB7,8091 GA,1406,454,1,0,0,0,0,408,47,0,0,0,0,0,0,455,84,54,22,20,10,6,52,171,1,1,2,24,0,0,0,1,2,3,1
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Klepperbelt,0269::SB8,8091 JG,1479,574,0,0,0,0,4,496,74,0,0,0,0,0,0,574,77,75,35,52,49,13,41,178,6,0,0,20,0,0,0,3,0,25,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Uilenhorst,0269::SB9,8091 WD,1384,346,2,0,0,0,0,309,39,0,0,0,0,0,0,348,44,54,23,23,21,6,21,142,0,0,1,4,0,0,0,1,0,6,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Vredeskerk,0269::SB10,8091 GR,1385,597,2,1,0,0,0,532,68,0,0,0,0,0,0,600,76,83,40,24,31,17,42,241,3,0,3,24,0,1,0,1,0,9,2
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Wezep,0269::SB11,8091 CT,1805,665,1,4,0,0,5,575,90,0,0,0,0,0,0,670,134,75,42,43,35,10,35,254,1,0,7,10,0,2,0,2,2,13,0
,Oldebroek,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau De Bouwakker,0269::SB12,8094 AM,1122,420,0,1,0,0,0,369,52,0,0,0,0,0,0,421,67,47,34,39,18,10,23,159,2,0,3,7,0,1,0,1,1,8,0
