contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stadhuis,0957::SB1,6041 EM,1656,771,6,1,0,0,7,681,93,0,3,0,3,0,0,781,101,137,64,105,149,62,54,14,5,0,5,28,1,0,0,2,1,43,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verzorgingscentrum 'RCG',0957::SB2,6041 GC,1388,435,3,2,0,0,1,411,28,0,0,0,0,0,0,440,108,58,35,56,61,33,36,5,2,0,2,17,2,3,2,0,1,13,1
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Theaterhotel De Oranjerie,0957::SB3,6041 JA,1328,577,6,1,0,0,0,539,45,0,0,0,0,0,0,584,108,94,30,58,92,39,71,5,10,0,6,28,0,1,1,2,2,29,1
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool 'De Steenen Brug',0957::SB4,6041 LV,1266,606,3,0,0,0,0,540,69,0,0,0,0,0,0,609,105,82,35,116,128,44,37,14,1,0,2,16,2,1,0,0,0,23,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stichting 'Swalm en Roer',0957::SB5,6041 NB,1572,614,5,0,0,0,0,534,85,0,0,0,0,0,0,619,125,80,39,114,125,36,37,3,7,0,5,15,0,2,1,1,1,23,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool Willem de Zwijger,0957::SB6,6042 BL,1535,408,5,0,0,0,2,374,37,0,0,0,0,0,0,413,68,70,24,34,61,56,55,6,2,0,4,6,1,2,0,0,0,18,1
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkhuis 'de Terp',0957::SB7,6043 RW,1321,197,0,2,0,0,0,182,17,0,0,0,0,0,0,199,29,40,34,7,20,15,26,2,4,0,0,7,0,0,0,0,0,13,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zalencentrum 'De Velderie',0957::SB8,6043 BG,1221,330,0,1,0,0,0,278,53,0,0,0,0,0,0,331,26,119,70,17,17,14,33,0,2,1,5,11,1,3,1,2,0,8,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum 'Roncalli',0957::SB9,6042 BC,1213,375,1,2,0,0,1,348,29,0,0,0,0,0,0,378,68,83,38,37,33,21,53,2,0,0,0,16,1,0,1,3,0,19,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool 'Ankertje-Kompas',0957::SB10,6043 XM,1097,339,0,1,0,0,0,289,51,0,0,0,0,0,0,340,66,81,32,33,36,25,30,6,0,0,0,7,4,2,1,0,0,12,4
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sporthal Donderberg,0957::SB11,6043 JH,1345,225,1,0,0,0,2,188,36,0,0,0,0,0,0,226,31,67,29,6,13,8,42,3,2,0,1,9,0,1,1,0,0,10,2
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau BS Vincent van Gogh,0957::SB12,6044 SX,1669,343,0,1,0,0,0,322,21,0,0,1,0,1,0,343,42,85,52,24,37,12,44,5,1,0,2,9,1,3,0,3,0,20,3
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis 't Sjoolpaad',0957::SB13,6045 AL,1453,422,1,0,0,0,0,393,30,0,0,0,0,0,0,423,77,49,42,43,68,36,54,5,2,0,1,16,2,1,0,0,2,24,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Stichting Camillus,0957::SB14,6045 CK,929,225,0,0,0,0,0,201,24,0,0,0,0,0,0,225,53,41,11,24,39,11,27,2,0,0,1,7,0,0,1,0,0,7,1
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkaccommodatie 'Het Trefpunt',0957::SB15,6045 EJ,947,278,2,0,0,0,0,238,42,0,0,0,0,0,0,280,25,135,31,11,19,6,25,7,0,0,2,6,1,1,0,0,0,9,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkaccommodatie 'De Kameleon',0957::SB16,6045 VA,897,210,2,0,0,0,0,185,27,0,0,0,0,0,0,212,22,75,25,6,17,9,25,3,3,0,0,9,0,1,0,1,0,14,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zaal de Ster,0957::SB17,6042 JK,1051,469,3,0,0,0,1,418,53,0,0,0,0,0,0,472,97,91,29,48,68,31,61,3,1,0,4,16,4,1,1,1,0,13,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool 'De Balans',0957::SB18,6043 RV,1538,338,1,0,0,0,0,311,28,0,0,0,0,0,0,339,28,103,26,30,34,18,46,3,4,0,6,13,0,1,1,3,0,21,1
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkgebouw Tegelarijveld,0957::SB19,6042 XW,1058,269,1,1,0,0,0,245,26,0,0,0,0,0,0,271,41,91,28,7,18,10,38,6,1,0,4,15,0,3,0,0,0,7,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Brikkenhoes,0957::SB20,6042 GZ,1390,449,1,2,0,0,1,413,38,0,0,0,0,0,0,452,98,79,39,55,71,25,35,2,5,0,3,29,2,0,0,0,0,6,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Basisschool ""Leeve""",0957::SB21,6041 BE,892,308,3,1,0,0,0,275,37,0,0,0,0,0,0,312,55,77,15,35,35,15,36,0,0,0,2,13,2,5,0,0,0,18,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis 'De Duup',0957::SB22,6042 LB,743,215,1,0,0,0,0,182,34,0,0,0,0,0,0,216,43,73,10,18,19,6,21,0,0,0,2,10,1,3,0,0,3,6,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkaccommodatie 'De Vlonder',0957::SB23,6043 WD,1124,426,0,3,0,0,0,387,42,0,0,0,0,0,0,429,42,119,49,28,45,44,47,5,3,0,4,10,3,2,0,0,2,23,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool De Stapsteen,0957::SB24,6049 AK,1367,489,3,0,0,0,0,444,48,0,0,0,0,0,0,492,99,52,23,100,90,33,45,6,8,0,2,10,3,2,0,0,2,14,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Café Zaal de Schuur,0957::SB25,6049 EB,1277,443,1,1,0,0,0,395,50,0,0,0,0,0,0,445,72,83,24,88,71,18,34,5,5,0,1,19,0,0,0,1,0,22,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool Hubertus,0957::SB26,6049 HS,1268,412,4,0,0,2,0,373,45,0,0,0,2,0,0,418,83,66,36,51,62,28,41,1,4,0,4,17,2,0,0,0,1,16,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum 'St. Jan Baptist',0957::SB27,6071 JJ,1227,307,0,0,0,0,1,278,28,0,0,0,0,0,0,307,65,90,19,24,18,19,33,0,3,0,1,23,0,0,1,0,1,10,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kinderdagopvang 'Kiekeboe',0957::SB28,6071 BP,1469,475,2,1,0,0,1,425,52,0,0,0,0,0,0,478,70,119,40,29,49,34,78,1,13,0,6,15,2,3,1,1,0,14,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis 'De Robijn',0957::SB29,6071 VX,882,398,1,0,0,0,0,350,49,0,0,0,0,0,0,399,78,104,28,32,43,14,62,4,5,0,2,19,0,0,0,1,0,6,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Restaurant 'Maaszicht',0957::SB30,6071 NW,184,91,2,0,0,0,1,84,8,0,0,0,0,0,0,93,33,4,6,25,6,7,6,0,1,0,0,2,0,0,0,0,0,1,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeenschapshuis 'de Kamp',0957::SB31,6071 AL,825,320,1,0,0,0,1,290,30,0,0,0,0,0,0,321,64,61,16,35,33,28,47,5,0,0,0,12,0,1,0,0,0,18,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Eetcafé 'De Mert',0957::SB32,6071 JD,1308,352,4,1,0,0,0,320,37,0,0,0,0,0,0,357,90,58,25,33,37,33,46,1,6,0,1,9,0,0,0,0,0,13,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Eetcafé  'Aod Maerum',0957::SB33,6049 GB,1345,276,2,0,0,0,0,249,29,0,0,0,0,0,0,278,61,68,18,27,36,7,30,4,3,0,0,14,0,1,1,0,0,6,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zalencentrum 'De Donderie',0957::SB34,6043 JA,1101,310,1,3,0,0,0,286,28,0,0,0,0,0,0,314,39,89,18,20,34,14,45,5,3,0,3,15,0,3,0,0,3,18,1
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Basisschool 'Neel',0957::SB35,6042 NG,894,275,1,0,0,0,0,244,32,0,0,0,0,0,0,276,52,36,17,54,48,30,17,3,0,0,0,7,0,0,1,0,0,10,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ontmoetingscentrum 'Het Jeugdgebouw,0957::SB36,6041 KG,1095,234,2,0,0,0,2,216,18,0,0,0,0,0,0,236,39,37,12,29,33,20,27,2,6,0,1,13,1,2,0,0,1,11,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Sportcentrum Swalmen,0957::SB37,6071 TV,1034,205,1,3,0,0,3,182,24,0,0,0,0,0,0,209,41,43,18,22,34,6,20,0,12,0,1,4,1,0,1,0,0,2,0
,Roermond,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Mobiel stembureau,0957::SB38,,1,160,1,1,0,0,0,150,12,0,0,0,0,0,0,162,35,13,16,11,33,21,15,1,0,0,2,4,1,0,1,0,0,7,0
