contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Gemeentehuis, Tubbergen",0183::SB1,7651 CV,1519,606,0,4,0,0,19,503,88,0,0,0,0,0,0,610,306,64,21,74,48,15,32,6,0,0,4,20,1,0,0,0,0,15,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau De Delle, Tubbergen",0183::SB2,7651 KT,1545,511,1,1,0,0,5,446,62,0,0,0,0,0,0,513,251,62,36,53,33,12,26,9,3,0,4,12,0,0,0,0,0,10,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau RK BS De Wiekslag,0183::SB3,7651 BS,1438,534,0,1,0,0,0,467,68,0,0,0,0,0,0,535,257,73,37,38,45,17,32,7,1,0,3,16,1,0,0,0,1,6,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Ontm ruimte De Aanleg Geesteren,0183::SB4,7651 VZ,1691,645,5,0,0,0,4,563,83,0,0,0,0,0,0,650,444,69,13,38,22,11,21,6,1,0,2,9,0,2,0,1,0,6,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zaal Kottink Geesteren,0183::SB5,7678 AW,1570,539,0,2,0,0,3,458,80,0,0,0,0,0,0,541,387,47,15,41,7,3,13,5,0,0,2,11,0,0,0,0,0,8,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau De Spil, Fleringen",0183::SB6,7666 LJ,675,315,1,3,0,0,1,273,45,0,0,0,0,0,0,319,217,23,4,31,18,5,3,0,4,0,0,4,1,0,0,0,0,5,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis 't Eschhoes,0183::SB7,7661 RA,1119,428,4,1,0,0,18,349,66,0,0,0,0,0,0,433,270,22,18,51,20,10,12,2,1,0,1,6,0,0,0,0,0,15,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Zaal Morshuis, Albergen",0183::SB8,7665 RX,1404,459,0,4,0,0,3,389,71,0,0,0,0,0,0,463,292,35,12,51,21,9,18,4,2,0,1,5,1,1,0,0,0,7,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Clubgeb. Concordia, Albergen",0183::SB9,7665 AB,1243,488,0,0,0,0,0,425,63,0,0,0,0,0,0,488,309,44,18,37,24,9,18,2,4,0,1,13,0,0,0,0,0,9,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Rabo Kultuurhoes Reutum,0183::SB10,7667 PV,996,386,0,1,0,0,3,326,58,0,0,0,0,0,0,387,285,29,7,16,12,5,17,1,2,0,2,5,1,0,0,0,0,4,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau De Gaarf, Langeveen",0183::SB11,7679 VG,974,319,0,1,0,0,2,263,55,0,0,0,0,0,0,320,240,23,10,23,5,4,2,4,0,0,0,5,0,0,0,1,1,1,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kulturhus Manderveen,0183::SB12,7664 VV,497,197,0,0,0,0,1,177,19,0,0,0,0,0,0,197,117,25,10,10,8,2,11,4,0,0,0,6,0,0,0,0,0,4,0
,Tubbergen,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau De Haambrink, Mariaparochie",0183::SB13,7614 LA,1405,484,1,1,0,0,0,373,113,0,0,0,0,0,0,486,294,50,14,45,28,11,21,3,0,0,0,10,0,0,0,0,0,8,0
