contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0189::SB1,7642 EC,1067,553,7,0,0,0,7,492,61,0,0,0,0,0,0,560,192,56,32,76,60,19,16,67,1,0,5,12,1,2,0,3,0,11,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kluinveenschool,0189::SB2,7641 AL,1170,563,0,0,0,0,0,482,81,0,0,0,0,0,0,563,276,35,13,51,43,11,19,91,2,0,3,8,1,2,0,0,0,8,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Wijkcentrum Kandjoli,0189::SB3,7642 XX,1594,494,0,0,0,0,2,452,40,0,0,0,0,0,0,494,182,48,31,21,43,13,24,92,0,0,1,19,0,1,0,5,0,14,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau 't Kielhoes,0189::SB4,7642 GW,1814,676,1,1,0,0,4,603,71,0,0,0,0,0,0,678,336,66,25,52,29,18,47,71,1,0,1,18,0,3,0,0,0,9,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum 't Wedervoort,0189::SB5,7641 VA,1732,841,1,3,0,0,1,764,80,0,0,0,0,0,0,845,311,54,69,87,72,24,57,109,3,0,2,33,2,1,0,4,1,12,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Bedrijfsverzamelgebouw,0189::SB6,7641 AB,1375,627,0,3,0,0,2,561,67,0,0,0,0,0,0,630,199,56,37,56,83,28,49,75,1,0,5,27,0,0,0,0,0,10,1
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum Het Reggedal,0189::SB7,7468 BX,1904,877,1,1,0,0,20,741,118,0,0,0,0,0,0,879,437,107,21,64,26,10,30,148,0,0,1,20,0,2,3,1,0,7,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Hervormd Dienstgebouw,0189::SB8,7468 GC,1840,758,2,1,0,0,4,660,97,0,0,0,0,0,0,761,379,125,10,44,31,12,29,89,0,0,0,22,1,1,0,4,0,11,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Hervormd Dienstgebouw,0189::SB9,7468 GC,1609,644,0,0,0,1,0,555,90,0,0,0,1,0,0,645,316,79,21,55,32,8,27,75,3,0,2,19,0,1,0,1,3,2,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Kulturhus Hoge Hexel,0189::SB10,7645 AV,755,404,0,0,0,0,4,355,45,0,0,0,0,0,0,404,204,20,5,22,15,6,5,116,0,0,2,3,0,2,0,2,0,2,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,"Stembureau Kulturhus ""Irene""",0189::SB11,7467 PL,679,384,0,2,1,0,2,333,52,0,0,0,1,0,0,387,211,10,4,26,7,10,10,96,0,0,0,1,1,0,0,2,0,6,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Akkerhus,0189::SB12,7468 RE,420,256,0,1,0,0,0,211,46,0,0,0,0,0,0,257,133,13,1,30,13,5,7,47,2,0,0,3,0,0,0,0,0,2,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis,0189::SB13,7642 EC,1061,495,1,0,0,0,4,436,56,0,0,0,0,0,0,496,195,33,27,65,57,10,16,54,2,0,5,14,0,1,0,4,0,12,0
,Wierden,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Verenigingsgebouw VDH,0189::SB18,7641 AG,1404,396,0,0,0,0,0,346,50,0,0,0,0,0,0,396,118,49,24,50,54,13,28,35,0,0,2,9,0,0,0,0,0,13,1
