contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),P.v.d.A./Europese Sociaaldemocraten,VVD,Democraten 66 (D66) - ALDE,GROENLINKS,SP (Socialistische Partij),ChristenUnie-SGP,Artikel50,"IQ, de Rechten-Plichten-Partij",Piratenpartij,50PLUS,De Groenen,Anti  EU(ro)  Partij,Liberaal Democratische Partij,JEZUS LEEFT,ikkiesvooreerlijk.eu,Partij voor de Dieren,Aandacht en Eenvoud
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis 1,1892::SB1,2914 KM,1525,880,1,0,0,0,1,781,99,0,0,0,0,0,0,881,93,123,80,115,128,26,94,117,2,0,13,28,1,1,1,3,1,53,1
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Gemeentehuis 2,1892::SB2,2914 KM,2480,914,3,1,0,0,1,785,132,0,0,0,0,0,0,918,81,123,68,146,119,29,91,123,8,0,5,50,0,2,3,6,1,57,2
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Comenius College,1892::SB3,2914 PN,3415,1015,3,0,0,0,0,855,163,0,0,0,0,0,0,1018,97,136,55,202,149,32,95,142,8,0,13,31,2,2,0,3,3,44,1
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brede School Esse Zoom,1892::SB4,2911 CV,3316,1044,2,0,0,0,2,853,191,0,0,0,0,0,0,1046,121,128,57,221,197,29,55,157,1,0,9,15,0,3,2,8,1,40,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Hervormde Kerk De Bron,1892::SB5,2914 VJ,1601,797,7,0,0,0,2,702,100,0,0,0,0,0,0,804,93,115,47,103,141,29,101,85,4,0,7,21,0,2,2,2,0,45,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Woonzorgcentrum De Meander,1892::SB6,2912 PA,2384,1313,2,2,0,0,1,1159,158,0,1,0,1,0,0,1318,256,137,84,176,172,40,111,236,4,0,12,36,0,0,0,0,1,47,1
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Brandweerkazerne Nieuwerkerk a/d IJ,1892::SB7,2912 AL,1915,676,2,3,0,0,2,582,97,0,0,0,0,0,0,681,102,89,27,105,98,34,36,141,3,1,2,13,0,1,0,1,0,23,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis Swanla (hoofdingang),1892::SB11,2761 BJ,2939,837,1,0,0,0,4,712,122,0,0,0,0,0,0,838,123,126,59,153,101,23,57,136,7,0,2,23,2,1,0,2,1,21,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Hervormd Centrum,1892::SB13,2761 AJ,2343,930,3,1,0,0,1,824,112,0,3,0,3,0,0,937,164,122,70,152,146,31,73,91,6,0,3,31,1,2,2,1,1,34,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum  Beth-San,1892::SB21,2751 EE,1451,844,0,6,0,0,0,702,148,0,0,0,0,0,0,850,64,62,14,49,43,6,20,541,5,0,3,10,3,1,0,7,0,15,1
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Dorpshuis  Op Moer,1892::SB22,2751 AW,1454,692,3,0,0,0,0,575,120,0,0,0,0,0,0,695,74,94,17,61,49,10,32,316,2,0,0,13,0,3,2,6,0,13,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Zorgcentrum Moerdregt,1892::SB31,2841 NA,2343,1053,4,0,0,0,3,925,129,0,0,0,0,0,0,1057,161,137,94,137,123,34,135,146,5,0,8,26,0,0,0,10,3,33,1
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Multifunctioneelgebouw de Zuidplas,1892::SB32,2841 EB,2041,645,1,2,0,1,0,581,66,0,0,1,0,0,0,647,72,94,28,87,86,18,79,123,2,0,3,21,1,2,2,6,0,21,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Historische Vereniging Moordrecht,1892::SB33,2841 BN,1870,637,4,1,0,0,0,570,72,0,0,0,0,0,0,642,90,111,42,88,67,30,71,81,5,0,3,13,2,0,1,1,3,29,0
,Zuidplas,EP2014,Europees Parlement 2014,,,2014-05-22,Stembureau Mobiel stembureau,1892::SB41,,0,284,2,0,0,0,0,259,27,0,0,0,0,0,0,286,51,36,14,42,47,19,22,33,0,0,2,6,1,0,0,0,0,11,0
