contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau Heinkenszand, trouwzaal",0654::SB1,4451 KB,1252,593,0,0,0,0,0,524,69,0,0,0,0,0,593,31,113,12,91,24,104,21,52,21,37,0,0,0,70,0,17
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau Heinkenszand, raadzaal",0654::SB2,4451 KB,1513,540,1,0,0,0,0,463,78,0,0,0,0,0,541,42,94,22,79,10,113,17,41,22,33,2,0,0,58,1,6
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau Heinkenszand, Dijkstede",0654::SB3,4451 LA,1644,617,1,2,0,0,0,555,65,0,0,0,0,0,620,34,163,10,115,11,121,26,29,14,33,0,0,1,52,2,6
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Lewedorp,0654::SB5,4456 AL,1373,545,2,0,0,0,3,486,58,0,0,0,0,0,547,14,118,17,68,16,96,59,22,12,26,0,0,2,87,3,5
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Nieuwdorp,0654::SB6,4455 TL,923,393,0,0,0,0,0,343,50,0,0,0,0,0,393,8,38,20,30,7,55,167,9,3,11,0,1,0,40,0,4
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau 's-Heerenhoek,0654::SB7,4453 BE,1521,532,1,3,0,0,0,473,63,0,0,0,0,0,536,18,126,33,75,15,115,16,14,11,32,2,0,0,66,0,9
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Borssele,0654::SB8,4454 AS,1004,524,0,1,0,0,1,467,57,0,0,0,0,0,525,4,21,13,20,11,33,341,11,22,11,2,0,0,31,2,2
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Driewegen,0654::SB9,4438 AH,443,197,0,0,0,0,0,169,28,0,0,0,0,0,197,8,24,5,33,7,32,10,27,9,13,0,0,0,24,2,3
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,313,163,0,0,0,0,7,145,11,0,0,0,0,0,163,2,13,13,15,6,40,7,16,9,9,0,0,0,29,2,2
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Ovezande,0654::SB11,4441 AE,936,426,1,0,0,0,0,375,52,0,0,0,0,0,427,19,112,11,49,7,84,10,41,26,11,0,0,0,48,1,7
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Oudelande,0654::SB12,4436 AC,554,237,1,0,0,0,2,207,29,0,0,0,0,0,238,16,46,11,31,4,38,14,19,7,20,0,0,0,28,0,3
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Baarland,0654::SB13,4435 AD,478,222,0,0,0,0,0,195,27,0,0,0,0,0,222,15,38,5,20,8,30,39,14,18,8,0,1,1,22,2,1
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hoedekenskerke,0654::SB14,4433 AL,542,247,1,1,0,0,0,223,26,0,0,0,0,0,249,10,38,6,23,16,34,54,12,12,9,3,0,0,28,0,2
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Kwadendamme,0654::SB15,4434 AC,778,313,1,0,0,0,2,283,29,0,0,0,0,0,314,8,101,14,36,7,48,20,23,9,16,1,1,0,25,3,1
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Nisse,0654::SB16,4443 AE,498,264,0,1,0,0,1,238,28,2,0,2,0,0,267,13,49,5,37,3,45,54,24,8,3,0,0,0,15,0,8
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau 's-Heer Abtskerke,0654::SB17,4444 AG,415,209,0,1,0,0,2,179,29,0,0,0,0,0,210,11,51,3,41,4,23,21,16,7,10,0,0,0,18,0,4
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau 's-Gravenpolder, zaal A",0654::SB18,4431 BP,1179,638,0,0,0,0,2,541,95,0,0,0,0,0,638,10,71,12,28,8,26,396,6,7,16,0,0,0,56,0,2
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau 's-Gravenpolder, zaal B",0654::SB19,4431 BP,1086,505,2,2,0,0,1,423,85,0,0,0,0,0,509,15,40,5,43,6,38,276,13,13,10,0,1,0,38,0,7
,Borsele,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau 's-Gravenpolder, Vorsvliet",0654::SB20,4431 EK,1095,695,0,1,0,0,0,583,112,0,1,0,1,0,695,15,55,8,28,3,28,478,9,15,12,2,0,1,35,1,5
