contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau D'r Brikkeoave,0899::SB1,,1503,741,5,1,0,0,6,650,91,0,0,0,0,0,747,16,101,61,78,27,271,10,27,17,23,2,0,1,102,0,5
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zwembad De Bronspot,0899::SB2,,1365,509,0,3,0,0,2,509,1,0,0,0,0,0,512,6,61,39,39,30,184,5,21,16,20,3,0,0,81,0,4
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau zaal cafe De Kroeg,0899::SB3,,898,299,3,1,0,0,0,269,34,0,0,0,0,0,303,3,21,61,14,17,92,1,11,6,12,0,0,0,58,2,1
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleeghuis Schuttershof,0899::SB4,,1119,368,2,1,0,0,0,329,41,0,1,0,1,0,370,2,45,35,26,9,120,8,16,16,11,3,0,0,71,2,4
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau BMV Bronsheim,0899::SB5,,1556,279,3,1,0,0,0,241,42,0,0,0,0,0,283,4,10,61,10,26,69,1,11,14,15,0,0,0,54,0,4
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau Mijn, centrum voor medische zorg",0899::SB6,,1561,518,3,2,0,0,0,460,63,0,0,0,0,0,523,12,42,60,27,47,172,2,19,21,25,0,0,0,77,5,9
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Café Rumpener Beemden,0899::SB7,,1175,369,4,2,0,0,4,324,47,0,0,0,0,0,375,5,31,29,18,19,145,13,13,21,19,0,1,0,51,0,4
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Brede School Langeberg,0899::SB8,,1107,367,0,3,0,0,2,312,56,0,0,0,0,0,370,15,25,38,35,23,134,2,11,9,14,0,2,1,58,0,0
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verenigingsgebouw De Burcht,0899::SB9,,1217,413,0,0,0,0,2,342,69,0,0,0,0,0,413,6,39,34,22,26,138,10,11,23,20,2,0,1,73,0,8
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Sporthal Brede School Treebeek,0899::SB10,,1883,737,0,1,0,0,4,635,99,0,0,0,0,0,738,16,51,49,64,44,244,19,32,37,47,1,3,2,124,1,3
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Trefcentrum,0899::SB11,,1664,414,0,0,0,0,0,361,53,0,0,0,0,0,414,7,26,28,32,33,141,12,24,11,33,3,0,1,62,0,1
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum Emmastaete,0899::SB12,,2030,649,3,1,0,0,0,578,75,0,0,0,0,0,653,18,49,59,60,16,231,41,20,24,27,3,0,1,96,0,4
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau BS De Caleidoscoop,0899::SB13,,2027,658,3,3,0,0,0,565,99,0,0,0,0,0,664,14,51,62,57,33,237,5,30,31,30,1,0,0,101,1,5
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Microhal Brunssum-Noord,0899::SB14,,2686,851,6,1,0,0,2,756,97,0,3,0,3,0,855,19,62,102,25,62,320,13,23,23,44,1,0,2,146,1,8
,Brunssum,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool Titus Brandsma,0899::SB15,,1007,413,0,1,0,0,1,353,60,0,0,0,0,0,414,9,54,25,36,11,159,9,21,13,13,0,6,1,46,2,8
