contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentehuis,0158::SB1,7481 EB,1761,924,4,1,0,0,9,819,101,0,0,0,0,0,929,52,281,39,100,23,161,10,60,22,37,0,34,1,93,1,10
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau 't Saalmerink,0158::SB2,7481 EN,1565,546,2,0,0,0,0,491,57,0,0,0,0,0,548,27,233,14,79,7,84,5,14,10,18,0,10,1,43,0,1
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau De Trefkoel,Buurse",0158::SB3,7481 RP,1223,606,0,0,0,0,16,510,80,0,0,0,0,0,606,17,226,16,79,10,78,14,30,15,21,0,0,0,95,1,4
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau 't Meuken,Isidorushoeve",0158::SB4,7482 ST,1258,631,0,2,0,0,3,522,108,0,0,0,0,0,633,22,418,11,44,7,35,9,12,5,5,0,0,2,60,0,1
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool Holthuizen bureau 5,0158::SB5,7482 ET,1239,608,0,1,0,0,0,556,53,0,0,0,0,0,609,34,181,17,97,18,129,7,32,7,21,0,0,0,59,0,6
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wiedenhof,0158::SB6,7481 CB,1169,523,3,4,0,0,1,464,65,0,0,0,0,0,530,32,186,18,70,14,87,7,19,13,18,0,3,0,50,1,5
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Honeschschool,0158::SB7,7481 VB,1051,441,1,3,0,0,4,396,45,0,0,0,0,0,445,21,203,8,74,10,39,0,16,9,8,0,0,4,48,1,0
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool Holthuizen bureau 8,0158::SB8,7482 ET,1393,519,2,1,0,0,3,468,51,0,0,0,0,0,522,35,168,16,53,10,103,6,33,14,28,0,2,2,47,0,2
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Montessorischool,0158::SB9,7481 BC,1513,670,1,0,0,0,4,598,69,0,0,0,0,0,671,37,256,14,93,13,106,14,36,13,22,0,2,1,53,1,9
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Lourdeszaal,0158::SB10,7481 HB,1458,540,4,1,0,0,1,476,68,0,0,0,0,0,545,21,192,11,66,28,88,9,17,8,23,0,6,0,67,2,2
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool de Kameleon,0158::SB11,7482 TT,1232,570,0,2,0,0,0,522,50,0,0,0,0,0,572,25,188,10,59,12,133,17,18,7,25,0,9,0,58,0,9
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool Dr. Ariens,0158::SB12,7482 ZK,1446,555,3,0,0,0,0,506,52,0,0,0,0,0,558,31,158,30,61,17,99,7,23,7,26,0,44,2,46,0,4
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Sporthal de Els,0158::SB13,7482 VX,1256,580,0,2,0,0,2,514,66,0,0,0,0,0,582,29,183,11,81,18,93,9,31,10,17,0,21,1,73,1,2
,Haaksbergen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hassinkborgh,0158::SB14,7483 CT,1700,687,3,1,0,0,0,599,92,0,0,0,0,0,691,41,213,8,138,14,112,4,35,16,20,0,11,0,64,1,10
