contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_1 Cultureel Centrum Fidei et Arti,1655::SB1,4731 HV,1775,653,1,0,0,0,3,585,66,0,0,0,0,0,654,35,91,31,102,32,109,7,37,27,37,1,13,2,116,2,11
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_2 Sportivo Healthcenter,1655::SB2,4731 LH,1377,310,0,0,0,0,1,278,31,0,0,0,0,0,310,13,39,23,65,20,51,1,14,7,23,0,0,0,44,2,8
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_3 Wozoco de Zellebergen,1655::SB3,4731 NZ,1671,595,1,0,0,0,2,526,68,0,0,0,0,0,596,23,101,37,85,41,121,5,33,13,33,2,8,0,80,3,10
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_4 Steunpunt Pagnevaart,1655::SB4,4731 BS,1525,648,0,0,0,0,1,600,48,1,0,1,0,0,649,30,99,47,117,17,123,11,44,13,41,1,5,0,90,2,8
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_6 Obs de Regenboog,1655::SB6,4731 VW,1817,575,1,2,0,0,1,517,60,0,0,0,0,0,578,39,64,28,100,32,130,7,48,17,31,0,9,0,65,0,5
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_8 Brandweerkazerne Hoeven,1655::SB8,4741 EJ,1939,764,2,0,0,0,0,672,94,0,0,0,0,0,766,47,110,41,158,33,146,12,31,26,35,2,3,2,105,1,12
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_9 Trefpunt KBO Hoeven,1655::SB9,4741 AG,1298,511,1,2,0,0,1,450,63,0,0,0,0,0,514,32,97,11,111,19,84,7,36,19,16,1,0,0,72,0,6
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_11 Zaal Hart van Gastel,1655::SB11,4751 HR,1305,390,0,0,0,0,0,338,52,0,0,0,0,0,390,22,56,29,83,17,62,1,15,11,30,0,0,0,59,2,3
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_12 Onder de Toren,1655::SB12,4751 HL,1095,404,0,1,0,0,1,347,57,0,0,0,0,0,405,12,81,19,75,19,72,1,25,5,27,0,0,0,58,0,10
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_14 Het Veerhuis,1655::SB14,4751 CS,2090,624,1,2,0,0,0,554,73,0,0,0,0,0,627,25,98,52,93,21,111,7,25,14,40,2,2,2,124,0,8
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_15 UniekeWerken,1655::SB15,4754 AC,995,317,0,0,0,0,0,280,37,0,0,0,0,0,317,18,33,16,39,23,69,3,19,17,17,0,0,0,60,1,2
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_16 MFA 't Bossche Hart,1655::SB16,4744 BZ,1966,596,2,0,0,0,2,532,64,0,0,0,0,0,598,38,84,50,116,7,101,1,32,19,22,1,0,0,120,1,4
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_17 NS Station,1655::SB17,4731 GM,1604,645,1,1,0,0,3,564,80,0,0,0,0,0,647,44,83,35,119,23,130,6,44,23,32,0,4,2,94,0,6
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_18 Wozoco Blankershof,1655::SB18,4751 KK,1007,282,1,0,0,0,0,242,41,0,0,0,0,0,283,21,56,14,48,14,41,3,12,2,13,0,0,0,55,1,2
,Halderberge,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau_19 Wozoco Kroonestede,1655::SB19,4741 JC,2180,626,2,2,0,0,3,543,84,0,0,0,0,0,630,44,98,29,182,15,95,6,34,12,24,0,2,0,76,0,9
