contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Stadhuis ingang Geleenstraat,0917::SB1,6411 HP,1840,1021,5,3,0,3,11,937,84,0,0,3,0,0,1032,46,80,52,98,60,359,9,96,63,19,1,0,2,124,1,11
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Zorgcentrum Douvenrade,0917::SB2,6419 AA,1008,415,1,0,0,0,1,372,43,0,0,0,0,0,416,13,75,19,42,12,140,2,23,11,20,0,2,0,50,1,5
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Trefcentrum 't Loon,0917::SB4,6411 TR,2037,608,4,1,0,0,5,542,66,0,0,0,0,0,613,21,32,46,38,71,186,4,49,37,29,1,6,1,83,0,4
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Stg. De TWEE gezusters,0917::SB6,6411 GT,1519,692,2,4,1,0,4,641,54,0,0,1,0,0,699,25,59,44,53,42,262,3,50,31,25,2,1,1,88,2,4
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Bernardinuscollege,0917::SB7,6417 BK,1673,782,0,0,0,0,4,675,103,0,0,0,0,0,782,61,88,8,119,26,321,4,66,19,17,0,2,1,42,0,8
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Basisschool St. Tarcisius,0917::SB10,6417 XH,1568,639,2,2,0,0,0,579,64,0,0,0,0,0,643,28,33,17,51,58,269,7,61,31,15,0,2,1,60,1,5
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau MEE Zuid-Limburg,0917::SB11,6419 BT,923,555,0,1,0,0,1,486,69,0,0,0,0,0,556,21,83,5,81,16,229,4,23,19,13,0,0,1,54,1,5
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Zorgcentrum St. Anna,0917::SB12,6419 CW,1821,870,1,1,0,0,1,781,91,0,0,1,0,0,873,40,92,20,82,37,362,4,59,55,29,1,1,0,74,0,14
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Verpleeghuis Plataan,0917::SB14,6419 PB,350,94,0,0,0,0,0,85,9,0,0,0,0,0,94,6,16,1,7,2,36,1,9,7,2,0,0,0,4,0,3
,Heerlen,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Wijkgebouw Peter Schunck,0917::SB15,6418XL,1009,354,0,0,0,0,0,324,30,0,0,0,0,0,354,2,44,24,11,38,126,6,21,12,17,0,0,0,50,1,2
