contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentehuis Horst a/d Maas (Horst),1507::SB1,5961ES,1968,846,1,1,0,0,118,727,3,0,0,0,0,0,848,55,172,32,85,49,226,9,56,38,25,0,1,2,84,1,11
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Sporthal De Berkel (Horst),1507::SB2,5961HA,2080,718,4,0,0,1,0,627,96,0,0,1,0,0,723,23,186,27,103,26,177,3,35,22,33,1,0,0,73,1,8
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau BS De Doolgaard (Horst),1507::SB3,5961TS,2079,738,1,3,0,0,0,655,87,0,0,0,0,0,742,35,132,26,96,65,181,2,55,20,45,1,0,1,72,0,7
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Lèste Geulde (Horst),1507::SB4,5961XW,1467,666,0,1,0,1,0,586,82,0,0,1,0,0,668,44,142,36,56,42,164,1,45,12,26,2,1,2,89,0,4
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Kantine Sporthal Dendron (Horst),1507::SB5,5961BE,1026,323,0,0,0,0,1,280,42,0,0,0,0,0,323,19,94,13,37,10,66,4,23,7,13,0,0,1,30,1,5
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeenschapshuis Aan de Brug (America),1507::SB6,5966NM,1599,566,0,3,0,0,11,464,94,0,0,0,0,0,569,18,196,20,65,33,115,4,26,8,12,0,1,0,61,2,5
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gem.huis 'De Zaal' (Griendtsveen),1507::SB7,5766PP,422,159,0,0,0,0,2,143,14,0,0,0,0,0,159,9,14,11,15,16,33,2,19,4,16,0,0,0,17,0,3
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zaal Debije (Hegelsom),1507::SB8,5963AG,1585,516,1,0,0,0,0,450,67,0,0,0,0,0,517,25,165,13,54,37,95,2,31,14,18,0,0,0,55,2,5
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau MFC de Zwingel (Melderslo),1507::SB9,5962AT,1713,563,0,1,0,0,3,501,60,0,0,0,0,0,564,25,175,35,70,24,107,5,26,20,20,0,0,0,52,0,4
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau MFC 'De Meulewiek' (Meterik),1507::SB10,5964AC,1245,464,0,3,0,0,1,402,64,0,0,0,0,0,467,20,198,7,61,15,80,1,18,17,16,0,0,0,28,0,3
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau BMV De Schakel (Broekhuizenvorst),1507::SB11,5871AW,831,341,0,0,0,0,4,303,34,0,0,0,0,0,341,19,68,16,22,23,98,4,17,11,16,0,0,0,45,1,1
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau WZV Naesenhof (Broekhuizen),1507::SB12,5872CK,611,308,1,0,0,0,2,266,41,0,0,0,0,0,309,12,75,10,35,24,57,3,27,12,15,0,0,1,35,0,2
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Smetenhof (Lottum),1507::SB13,5973PL,1555,585,2,0,0,0,6,512,69,0,0,0,0,0,587,31,143,19,76,19,142,1,23,13,34,0,0,1,77,0,6
,Horst aan de Maas,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau MFC 't Haeren (Grubbenvorst),1507::SB14,5971BS,1829,675,3,0,0,0,2,603,73,0,0,0,0,0,678,29,114,22,105,43,193,9,37,13,38,1,1,1,57,1,11
