contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stadhuis,0080::SB1,8911 HJ,1166,861,3,0,0,0,18,788,58,0,0,0,0,0,864,69,51,17,94,25,225,21,181,63,16,0,4,4,68,3,20
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Kanselarij,0080::SB2,8911 KS,1343,477,0,0,0,0,1,452,24,0,0,0,0,0,477,46,17,8,73,19,75,20,114,40,7,0,1,0,39,5,13
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dominicuskerk,0080::SB3,8913 CE,1328,752,0,1,0,2,2,678,75,0,0,2,0,0,755,50,69,22,113,27,185,26,120,33,23,3,1,1,65,2,12
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw De Toekomst,0080::SB4,8913 GL,1594,815,2,1,0,0,0,746,73,1,0,1,0,0,819,60,88,14,117,26,225,36,112,46,16,0,0,3,54,1,17
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Pelikaankerk,0080::SB5,8916 AE,1531,758,1,1,0,0,0,703,62,0,0,5,0,0,765,41,75,12,76,35,204,40,124,57,13,2,2,1,59,2,15
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau M.f.c. Westenkwartier,0080::SB6,8915 CD,2363,735,2,2,1,0,0,683,57,0,0,1,0,0,740,36,78,20,92,36,152,42,107,43,25,1,0,0,90,2,11
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkzorgcentrum de Hofwijck,0080::SB7,8917 AZ,2742,1083,2,4,0,0,3,972,114,0,0,0,0,0,1089,91,118,22,167,21,310,38,145,56,25,2,0,2,64,0,22
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau M.f.c. Tylkedam,0080::SB8,8918 LW,1304,331,0,1,0,0,0,297,35,0,0,0,0,0,332,11,25,10,26,15,103,17,42,23,11,0,3,0,39,0,6
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw Bilgaard,0080::SB9,8918 HV,1219,577,3,1,0,0,2,536,43,0,0,0,0,0,581,29,47,41,34,42,157,19,48,21,26,4,14,1,85,1,8
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Adventkerk,0080::SB10,8918 AA,1472,486,3,0,0,0,0,429,60,0,0,0,0,0,489,28,45,16,27,21,143,43,75,24,8,1,1,1,43,2,8
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau M.f.c. Westeinde,0080::SB11,8915 DZ,1696,1015,2,5,0,1,1,908,114,0,0,1,0,0,1023,57,153,35,94,46,276,72,78,38,46,0,0,1,101,2,16
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkzorgcentrum Swettehiem,0080::SB12,8915 EH,1369,327,2,0,0,0,0,307,23,1,0,1,0,0,330,13,54,16,24,10,95,22,22,19,11,0,0,2,37,0,2
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkzorgcentrum Sint Jozef,0080::SB13,8922 JA,1391,395,0,0,0,0,2,362,31,0,0,0,0,0,395,16,25,21,27,28,90,17,63,30,13,0,3,2,45,2,13
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Fontein,0080::SB14,8922 CP,1379,507,1,5,0,1,0,486,28,0,0,1,0,0,514,31,51,30,27,26,115,28,68,28,20,2,2,0,71,3,5
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau M.f.c. Het Mozaiek,0080::SB15,8923 BW,3146,865,1,1,0,0,0,775,92,0,0,0,0,0,867,52,70,48,62,43,190,81,89,52,26,6,9,1,117,6,13
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Tjerk Hiddes,0080::SB17,8921 NM,2474,651,0,0,0,0,1,609,41,0,0,0,0,0,651,35,54,34,44,38,150,33,91,47,20,0,3,4,91,0,7
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw Cambuursterhoek,0080::SB18,8921 TL,1235,401,1,0,0,0,0,363,39,0,0,0,0,0,402,23,38,18,22,24,92,19,47,17,19,0,1,0,79,0,2
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Emmastate,0080::SB19,8921 AG,1394,519,3,0,0,0,3,477,42,0,0,0,0,0,522,31,37,11,37,24,128,20,110,42,9,1,0,1,44,5,19
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw Insulinde,0080::SB20,8924 AS,1255,312,0,0,0,0,0,294,18,0,0,0,0,0,312,23,24,19,19,27,64,10,42,22,2,2,3,0,52,2,1
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw Schieringen,0080::SB21,8924 EJ,1442,418,3,0,0,0,0,389,32,0,0,0,0,0,421,17,17,31,25,34,78,26,57,36,14,3,2,2,70,1,5
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau M.f.c. Camminghastins,0080::SB22,8925 CK,2687,936,1,1,0,0,0,846,92,0,0,0,0,0,938,33,71,45,67,60,261,52,103,58,43,3,1,4,118,2,15
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gymlokaal obs Trianova,0080::SB23,8926 NA,1436,550,2,0,0,0,0,491,61,0,0,0,0,0,552,30,49,10,34,29,131,49,68,29,24,0,10,1,74,2,10
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Schakel,0080::SB24,8925 AZ,1407,607,0,3,0,0,0,561,49,0,0,0,0,0,610,25,65,15,56,23,185,33,44,24,27,1,1,1,91,3,13
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gymlokaal Algraschool,0080::SB25,8925 AG,1429,569,1,0,0,0,1,506,63,0,0,0,0,0,570,27,65,28,62,15,155,62,45,16,24,0,1,0,59,0,10
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gymlokaal De Wielen,0080::SB26,8925 GZ,1383,871,2,2,0,1,0,769,105,0,1,0,0,0,874,54,88,13,140,29,245,55,90,31,20,0,0,2,79,1,24
,Leeuwarden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gymlokaal Menno van Coehoorn,0080::SB27,8921 BJ,1266,440,0,0,0,0,1,402,37,0,0,0,0,0,440,42,25,20,23,13,84,18,92,40,10,1,0,1,57,2,12
