contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeente Meierijstad,1948::SB1,5461 KN,1454,809,3,3,0,0,3,725,87,0,0,0,0,0,815,45,151,27,158,31,164,4,58,25,38,0,15,2,75,5,11
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dienstencentrum De Peppelhof,1948::SB2,5461 EA,1469,549,0,0,0,0,0,486,63,0,0,0,0,0,549,36,120,19,109,20,123,0,25,12,39,0,1,0,43,0,2
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw De Bloemfontein,1948::SB3,5462 AE,1329,350,2,0,0,1,1,302,50,0,0,1,0,0,353,18,18,28,37,41,56,4,24,12,24,1,28,1,49,2,7
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum Joachim en Anna,1948::SB4,5461 BL,1616,667,1,2,0,0,0,589,82,1,0,1,0,0,671,34,175,27,132,19,117,6,26,16,35,1,7,0,55,2,15
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum De Lapvoet,1948::SB5,5463 JA,1420,503,1,1,0,0,1,440,64,0,0,0,0,0,505,18,36,29,54,51,106,2,28,11,20,0,77,0,60,3,8
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum AAtrium,1948::SB6,5463 GK,1342,458,0,1,0,0,0,422,37,0,0,0,0,0,459,28,71,30,43,39,92,7,26,15,28,0,29,1,46,0,3
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Rode kruis gebouw,1948::SB7,5463 HM,1312,390,2,0,0,0,0,347,45,0,0,0,0,0,392,32,41,22,76,27,75,0,23,7,25,0,7,0,50,1,4
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool De Vijfmaster,1948::SB8,5463 ET,1355,420,2,1,0,0,0,371,52,0,0,0,0,0,423,17,69,33,49,26,65,0,18,8,29,1,41,2,56,1,5
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool De Uilenbrink,1948::SB9,5467 BM,1324,561,1,0,0,0,0,496,66,0,0,0,0,0,562,46,57,25,103,19,142,1,31,16,26,0,6,0,73,1,15
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleegtehuis de Watersteeg,1948::SB10,5467 AN,1126,525,0,1,0,0,0,471,55,0,0,0,0,0,526,25,96,18,90,38,114,4,29,16,29,0,9,0,45,0,12
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkgebouw De Spil,1948::SB11,5467 JZ,966,391,0,2,0,0,1,347,45,0,0,0,0,0,393,25,47,22,41,28,107,3,23,11,28,0,7,0,39,0,10
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool  't Heibosch,1948::SB12,5467 KE,1231,481,1,0,0,0,1,425,56,0,0,0,0,0,482,31,40,16,97,23,124,4,30,13,44,0,5,0,43,2,9
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau ROC de Leijgraaf,1948::SB13,5467 HA,1165,383,1,1,0,0,0,345,40,0,0,0,0,0,385,26,35,14,73,21,88,7,28,10,18,0,14,0,41,1,7
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau M.F.C. De Hintel,1948::SB14,5464 PN,3083,957,5,1,0,0,1,843,119,0,0,0,0,0,963,90,115,31,229,29,167,5,59,21,32,1,21,3,127,0,27
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeenschapshuis D'n Brak,1948::SB15,5464 VR,1376,493,0,1,0,1,0,426,69,0,0,1,0,0,495,40,148,11,82,22,72,2,22,20,23,1,1,0,42,2,5
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Zijtaart,1948::SB16,5465 RJ,1357,513,0,0,0,1,0,436,78,0,0,1,0,0,514,37,179,22,62,15,73,0,19,20,32,0,0,1,49,1,3
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeenschapshuis De Brink,1948::SB17,5466 PE,1152,385,0,1,0,0,0,343,43,0,0,0,0,0,386,18,104,16,54,14,75,2,18,13,23,1,4,0,38,1,4
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool De Empel,1948::SB18,5469 SL,1246,421,0,0,0,0,0,353,68,0,0,0,0,0,421,40,115,8,91,16,61,1,22,11,16,0,0,0,33,0,7
,Meierijstad,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Simeonshof,1948::SB19,5469 CK,1253,455,0,2,0,0,0,386,71,0,0,0,0,0,457,22,152,26,73,21,60,1,16,8,29,0,1,1,40,0,5
