contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Albertusgebouw,1955::SB1,6942 BE,1650,640,1,0,0,0,0,573,68,0,0,0,0,0,641,32,109,38,85,14,163,11,41,22,34,0,0,1,85,0,5
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Ziep,1955::SB2,6941 BH,1601,601,0,0,0,0,2,546,53,0,0,0,0,0,601,38,122,18,96,25,120,9,39,16,25,0,0,0,83,1,9
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Albert Schweitzerschool,1955::SB3,6942 VA,1967,711,1,3,0,0,0,649,66,0,0,0,0,0,715,30,116,43,111,34,157,8,42,15,45,1,13,2,86,0,8
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Cafe-restaurant Uniek,1955::SB4,6942 EA,2499,1065,4,2,0,0,1,957,113,0,0,0,0,0,1071,70,185,49,187,34,248,11,50,21,49,0,2,0,147,1,11
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentehuis,1955::SB5,6942 GK,1962,403,0,0,0,1,2,355,47,0,0,1,0,0,404,18,85,10,65,12,70,5,35,12,21,0,0,1,67,0,2
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verenigingsgebouw de Zomp,1955::SB6,6941 DM,1418,549,2,0,0,0,1,481,69,0,0,0,0,0,551,22,176,17,92,11,80,5,30,9,21,0,0,1,81,2,2
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verenigingsgebouw de Meikever,1955::SB7,6942 HD,1394,488,0,0,0,0,2,413,73,0,0,0,0,0,488,32,139,34,64,11,69,3,29,18,16,0,0,0,73,0,0
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gouden Handen,1955::SB8,7041 AV,2297,874,0,1,0,0,20,762,93,0,0,0,0,0,875,43,121,65,122,45,201,7,41,33,46,1,0,2,140,1,6
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau het Willem van den Berghcentrum,1955::SB9,7041 CW,1791,540,0,2,0,1,1,477,65,0,0,1,0,0,543,25,67,34,60,19,129,5,46,30,25,1,0,1,88,2,8
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Pastoor Galamaschool,1955::SB10,7041 GL,1511,412,0,1,0,0,0,366,47,0,0,0,0,0,413,17,32,49,41,28,87,5,33,7,19,0,6,1,83,0,4
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Lengel,1955::SB11,7044 AP,1429,472,2,3,0,0,0,430,47,0,0,0,0,0,477,22,68,22,82,17,94,5,22,20,27,2,3,1,80,4,3
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Zeddam,1955::SB12,7038 BX,1002,682,0,1,0,0,5,605,73,0,0,0,0,0,683,32,137,33,103,14,141,11,41,20,50,0,2,0,87,0,11
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Kantine voetbalvereniging Stokkum,1955::SB13,7039 CM,983,399,0,0,0,0,2,356,41,0,0,0,0,0,399,34,80,23,56,9,80,4,25,12,18,0,0,1,52,0,5
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis De Braempt,1955::SB14,7047 AP,1052,388,0,0,0,0,16,335,37,0,0,0,0,0,388,24,79,20,69,19,61,8,30,10,14,2,3,0,44,1,4
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Averhof,1955::SB15,7037 BJ,1390,567,1,1,2,0,5,514,48,0,2,0,0,0,567,21,119,26,102,15,131,6,28,14,34,0,0,1,69,0,1
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Partycentrum  De Dèèl,1955::SB16,7037 DH,858,343,0,0,0,0,3,304,36,0,0,0,0,0,343,25,69,10,83,3,61,8,13,11,11,0,0,0,46,1,2
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau zaal van 't Kelrehuus,1955::SB17,7035 AW,1207,419,1,0,0,0,0,382,38,0,0,0,0,0,420,17,133,18,49,11,73,5,22,8,16,1,0,0,60,0,6
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau clubgebouw voetbalvereniging Azewijn,1955::SB18,7045 AE,603,268,1,0,0,0,0,240,29,0,0,0,0,0,269,16,96,5,31,4,50,3,13,15,6,0,0,0,29,0,0
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau hal Waverlo/Meulenvelden,1955::SB19,,1277,593,1,3,0,1,0,559,39,0,0,1,0,0,598,25,136,34,71,22,141,16,27,15,40,0,2,1,59,2,2
,Montferland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Kapel Sydehem,1955::SB20,7038 EN,1186,288,2,1,0,0,1,254,36,0,0,0,0,0,291,16,52,12,39,8,64,4,22,10,11,0,1,2,46,0,1
