contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentekantoor Pijnacker,1926::SB1,2641 ED,1482,951,0,0,0,0,2,851,98,0,0,0,0,0,951,69,135,26,182,17,151,40,108,39,46,3,0,3,114,0,18
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Sporthal 't Baken,1926::SB2,2641 JN,1501,807,0,1,0,0,1,717,90,0,0,0,0,0,808,54,125,20,143,19,156,39,96,19,32,0,0,1,80,1,22
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Buurt en Zo,1926::SB3,2641 HK,1848,947,2,3,0,1,3,864,86,0,0,1,0,0,953,65,162,27,186,31,145,53,62,34,45,2,3,0,116,2,14
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau SWOP St. Welzijn & Ondersteuning Pijnacker-Nootdorp,1926::SB4,2641 DE,2125,978,4,2,0,0,2,857,125,0,0,0,0,0,984,71,193,32,217,16,129,49,71,37,37,0,3,1,112,2,8
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool De Schatkaart,1926::SB5,2641 CA,1876,1024,1,8,0,0,5,930,98,0,0,0,0,0,1033,74,135,38,162,25,179,54,102,43,55,0,4,2,134,1,16
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Ontmoetingskerk,1926::SB6,2642 RA,2088,1086,3,3,0,0,3,939,150,0,0,0,0,0,1092,96,134,33,259,18,146,59,91,43,48,0,3,2,133,5,16
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Mariaschool,1926::SB7,2642 CR,1568,769,1,0,0,0,2,680,88,0,0,0,0,0,770,64,95,23,177,10,117,32,76,36,36,0,0,0,84,1,18
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Wijkcentrum Tolhek,1926::SB8,2642 JK,2744,1008,4,1,0,0,3,900,110,0,0,0,0,0,1013,95,104,33,237,21,160,42,82,44,32,0,7,1,132,1,17
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau RK Basisschool De Keizerskroon,1926::SB9,2643 MC,820,340,0,0,0,0,2,288,50,0,0,0,0,0,340,45,38,9,82,10,43,11,37,13,4,0,2,0,33,0,13
,Pijnacker-Nootdorp,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Buurtcentrum Het Oude Laarsje,1926::SB10,2641 NS,466,276,1,0,0,0,0,241,36,0,0,0,0,0,277,19,73,6,62,1,34,17,11,10,11,0,0,0,25,0,7
