contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verpleeghuis Cornelia,1676::SB1,4301 NW,1119,570,3,4,0,0,5,486,86,0,0,0,0,0,577,32,96,16,123,11,62,88,28,22,19,1,2,2,67,0,1
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1094,515,0,0,0,0,26,439,50,0,0,0,0,0,515,26,57,19,77,19,101,65,28,26,18,1,0,1,67,0,10
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,776,368,1,0,0,0,0,328,41,0,0,0,0,0,369,23,40,7,62,8,58,18,38,35,15,0,0,2,54,0,8
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,657,370,0,0,0,0,4,332,34,0,0,0,0,0,370,18,52,12,82,4,69,19,26,22,18,1,0,2,40,0,5
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,623,313,1,1,0,0,7,275,32,0,1,0,0,0,314,17,49,20,55,6,46,16,27,18,18,0,0,0,40,0,1
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1457,737,0,1,0,0,9,633,96,0,0,0,0,0,738,29,100,26,131,26,79,189,14,21,24,2,1,2,88,0,5
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1476,633,2,4,0,0,1,528,110,0,0,0,0,0,639,12,91,26,70,14,57,204,3,17,30,1,1,0,102,0,5
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verenigingsgebouw Ons Dorpshuis,1676::SB8,4306 CA,962,486,2,0,0,0,0,424,64,0,0,0,0,0,488,13,47,15,36,5,31,250,12,11,16,2,0,1,43,0,4
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Woonservicecentrum Steenzwaenshof,1676::SB9,4306 CW,1048,508,1,3,2,0,0,453,57,0,2,0,0,0,510,12,94,8,55,18,48,170,14,11,26,1,0,0,43,0,8
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,824,369,0,2,0,0,0,322,49,0,0,0,0,0,371,9,35,7,28,4,22,215,10,5,9,1,1,0,20,0,3
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Saele,1676::SB11,4307 LL,903,406,0,0,0,0,1,342,63,0,0,0,0,0,406,5,44,15,23,6,38,220,2,3,18,1,0,0,31,0,0
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis Ouwerkerk,1676::SB12,4305 AH,489,244,0,0,0,0,4,214,26,0,0,0,0,0,244,15,33,7,41,13,52,15,14,10,9,0,0,1,31,0,3
,Schouwen-Duiveland,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Verenigingsgebouw Sirjansland,1676::SB13,4308 AE,284,185,0,0,0,0,1,157,27,0,0,0,0,0,185,6,38,7,19,7,8,43,15,7,6,0,0,0,29,0,0
