contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Gemeentehuis Soest,0342::SB1,3762 AV,1384,719,3,1,0,0,8,631,84,0,0,0,0,0,723,70,85,23,111,21,106,44,65,31,21,0,68,1,60,1,12
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau 1e van der Huchtschool,0342::SB2,3761 AT,1577,775,3,0,0,0,1,682,95,0,0,0,0,0,778,96,85,18,181,12,94,40,76,39,17,1,28,1,65,1,21
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Residence Souveraine,0342::SB3,3761 XD,1340,824,3,0,0,0,1,737,89,0,0,0,0,0,827,76,125,16,183,8,140,42,83,31,28,1,3,0,69,0,19
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau R.K. Daltonschool de Driesprong,0342::SB4,3762 CZ,1413,763,1,2,0,0,2,663,101,0,0,0,0,0,766,72,103,18,188,8,129,40,81,30,11,0,0,4,45,1,33
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Emmakerk,0342::SB5,3762 DS,1537,669,0,3,0,0,2,601,69,0,0,0,0,0,672,45,77,19,136,10,121,50,59,21,27,1,1,2,93,0,7
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Hoog Soestdijk,0342::SB6,3761DT,1306,542,0,0,0,0,1,485,56,0,0,0,0,0,542,42,45,19,123,3,98,38,58,28,22,3,0,0,46,0,17
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Zorgcentrum Molenschot,0342::SB7,3762 BP,1849,881,1,2,0,2,0,782,104,0,0,2,0,0,886,54,126,29,178,12,130,66,74,32,42,1,9,1,114,2,11
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Woonzorgcentr.  Mariënburg,0342::SB8,3761 CN,1213,685,3,2,0,0,1,606,83,0,0,0,0,0,690,76,84,16,148,8,118,30,73,27,20,2,0,0,67,0,16
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau De Rank,0342::SB9,3768 ED,1673,1051,1,0,0,0,2,920,130,0,0,0,0,0,1052,85,139,14,193,19,188,54,118,49,29,2,7,0,127,0,27
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau RK basisschool Ludgerus,0342::SB10,3768 GM,1753,1018,1,4,0,0,4,892,127,0,0,0,0,0,1023,107,108,8,359,11,127,34,70,55,13,1,0,2,97,1,25
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Parochiesecretariaat,0342::SB11,3768 CP,1731,994,0,1,0,0,1,860,134,0,0,0,0,0,995,99,112,20,203,14,186,41,121,44,29,0,0,2,95,2,26
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau 3e Van der Huchtschool,0342::SB13,3765 EM,1620,859,4,1,0,1,3,756,106,0,0,1,0,0,865,83,84,31,182,12,131,53,109,41,17,2,14,1,86,1,12
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau BEC De Plantage,0342::SB14,3765 CJ,1657,487,3,4,0,0,0,441,54,1,0,1,0,0,495,29,35,27,43,13,70,44,66,23,20,1,71,1,35,2,7
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau De Open Hof,0342::SB15,3765 BA,1670,745,0,0,0,0,1,684,60,0,0,0,0,0,745,46,75,34,136,15,153,39,70,30,29,0,8,5,91,1,13
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Ontmoetingscentrum Klaarwater,0342::SB17,3762 GN,1489,847,2,1,0,0,0,787,63,0,0,0,0,0,850,54,106,44,133,18,154,72,66,39,44,1,6,0,93,3,14
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Ontmoetingscentrum De Klarinet,0342::SB18,3766 GH,959,493,2,3,0,0,1,457,40,0,0,0,0,0,498,39,55,26,58,10,89,37,47,17,44,4,1,1,57,1,7
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Pr. Chr. Basisschool De Bron,0342::SB19,3766 ED,1475,593,0,0,0,0,0,535,58,0,0,0,0,0,593,38,37,31,89,18,109,55,56,23,26,7,5,2,87,1,9
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau OBS deBuut,0342::SB20,3766 CP,1377,675,0,0,0,0,1,581,93,0,0,0,0,0,675,52,60,23,84,18,127,64,83,29,33,2,23,0,63,2,12
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Insingerschool,0342::SB21,3766 MA,1662,829,0,2,0,0,1,728,102,0,0,0,0,0,831,54,104,22,200,12,116,68,61,31,27,0,4,2,110,1,17
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,"Stembureau Stembureau Postduivenvereniging ""Soest""",0342::SB22,3763 LZ,1681,734,1,0,0,0,0,646,89,0,0,0,0,0,735,62,83,33,134,14,132,59,49,15,28,0,21,0,97,2,5
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Ontmoetingscentrum De Drie Eiken,0342::SB25,3769 VA,1705,862,1,3,0,0,1,774,91,0,0,0,0,0,866,55,79,39,149,22,159,37,72,37,64,2,10,1,121,3,12
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau Vredekerk,0342::SB26,3769 EC,1669,519,0,2,0,0,2,464,55,0,0,0,0,0,521,38,51,29,55,24,71,33,55,38,24,0,4,1,85,0,11
,Soest,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stembureau OBS De Startbaan,0342::SB27,3769 JA,1737,771,0,1,0,0,6,683,83,0,0,0,0,0,772,63,62,27,125,23,124,27,80,44,47,2,1,1,125,3,17
