contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Democraten 66 (D66),CDA - Europese Volkspartij,PVV (Partij voor de Vrijheid),VVD,SP (Socialistische Partij),P.v.d.A./Europese Sociaaldemocraten,ChristenUnie-SGP,GROENLINKS,Partij voor de Dieren,50PLUS,JEZUS LEEFT,DENK,De Groenen,Forum voor Democratie,vandeRegio & Piratenpartij,Volt Nederland
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stadskantoor,1961::SB1,4141 DA,2338,887,4,0,1,0,10,767,115,0,0,1,0,0,892,50,85,38,118,36,137,125,65,29,25,0,22,2,144,0,11
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Maranatha,1961::SB2,4141 EL,1997,1056,1,0,0,0,0,908,151,0,0,0,0,0,1059,40,139,21,151,21,128,311,47,25,31,1,14,1,116,1,9
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Joh. Calvijnschool,1961::SB3,4143 BA,2009,653,2,0,0,0,0,559,96,0,0,0,0,0,655,22,94,19,73,13,79,222,20,18,14,2,5,1,66,0,5
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Huis ter Leede - Rondas,1961::SB4,4143 EN,1994,1209,1,2,0,0,1,1041,170,0,0,0,0,0,1212,51,184,53,139,38,167,256,46,41,45,2,6,1,171,0,9
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Poort van West,1961::SB5,4142 AZ,1605,367,0,1,0,0,0,320,48,0,0,0,0,0,368,12,34,26,41,15,57,50,17,9,9,0,29,0,64,0,4
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Partycentrum,1961::SB6,4145 KM,1528,712,0,2,0,0,2,611,101,0,0,0,0,0,714,34,131,16,71,15,61,263,31,8,11,2,1,1,63,0,4
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Present Emma,1961::SB7,4142 BV,1756,442,0,1,0,0,1,379,63,0,0,0,0,0,443,9,37,24,24,20,77,62,22,10,25,1,68,0,59,1,3
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Basisschool  El Boukhari,1961::SB8,4142 EB,2271,694,0,3,0,0,0,568,129,0,0,0,0,0,697,22,60,43,57,16,98,109,24,12,25,0,126,2,83,2,15
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis De Stoof,1961::SB9,4247 EN,663,340,0,0,0,0,0,299,41,0,0,0,0,0,340,20,47,13,72,8,56,16,24,17,20,0,0,1,45,0,1
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Stadhuis,1961::SB10,4132 AS,1818,937,0,2,0,0,4,818,120,0,0,3,0,3,942,108,95,22,197,15,175,60,84,30,26,3,1,1,99,3,18
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Rank,1961::SB11,4132 CC,1971,746,1,4,0,0,3,653,95,0,0,0,0,0,751,65,102,31,113,20,138,26,58,25,42,0,16,2,101,1,6
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Zorgcentrum Hof van Batenstein,1961::SB12,4131 HA,1470,527,1,0,0,0,1,469,58,0,0,0,0,0,528,33,102,31,57,30,107,29,22,17,30,0,4,2,60,2,1
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Prenter,1961::SB13,4131 GZ,1619,474,1,1,0,2,0,427,51,0,0,2,0,0,478,31,53,32,36,24,95,30,25,14,23,2,21,1,77,3,7
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Wiekslag,1961::SB14,4133 EA,2151,877,1,1,0,1,2,767,111,0,0,1,0,0,880,63,122,30,135,26,188,24,68,30,36,0,4,0,132,2,17
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau  De Hoeksteen,1961::SB15,4133 NB,1709,654,2,1,0,0,2,561,94,0,0,0,0,0,657,42,78,31,62,34,148,36,59,32,39,1,7,2,69,1,13
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Clubgebouw Brederodes,1961::SB16,4133 AX,1901,654,0,2,0,0,0,580,76,0,0,0,0,0,656,49,91,31,96,19,118,35,60,27,27,0,4,1,90,0,6
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis De Biezen,1961::SB17,4124 AK,1722,685,0,0,0,0,0,594,91,0,0,0,0,0,685,36,89,29,119,17,80,114,51,19,31,0,0,0,87,1,12
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Dorpshuis 't Knooppunt,1961::SB18,4121 EL,855,365,0,2,0,0,0,341,26,0,0,0,0,0,367,23,54,15,47,6,65,52,24,18,8,1,0,0,45,1,6
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Ver.gebouw De Krooshof,1961::SB19,4122 GX,789,347,0,0,0,0,0,302,45,0,0,0,0,0,347,12,71,10,49,2,33,94,16,11,10,0,1,1,36,0,1
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Gemeentehuis,1961::SB20,4231 BP,1425,838,1,1,0,0,6,712,122,0,0,0,0,0,840,23,187,23,87,13,118,205,37,19,23,5,0,0,92,1,5
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Linde,1961::SB21,4231 DT,1634,664,1,0,0,0,0,577,88,0,0,0,0,0,665,22,153,20,97,9,69,180,17,11,29,0,0,1,54,0,2
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Hoven,1961::SB22,4233 EZ,1478,648,0,1,0,0,3,570,76,0,0,0,0,0,649,18,149,20,69,7,90,177,13,11,9,3,0,1,75,0,6
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Open Vensters,1961::SB23,4233 HM,1557,843,1,1,0,0,1,726,118,0,0,0,0,0,845,24,191,25,76,17,115,241,34,9,18,1,0,3,78,2,9
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau De Bijenkorf,1961::SB24,4128 SZ,1897,947,2,3,0,0,1,818,133,0,0,0,0,0,952,32,228,35,105,18,157,184,54,10,19,4,0,0,92,1,8
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau School met de Bijbel,1961::SB25,4126 RT,828,434,1,0,0,0,1,366,68,0,0,0,0,0,435,15,113,8,29,6,31,145,23,8,8,0,1,0,41,0,6
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau CBS Eben-Haëzer,1961::SB26,4245 KR,1173,584,1,0,0,0,6,578,1,0,0,0,0,0,585,9,63,3,21,6,14,407,14,8,4,2,1,1,29,1,1
,Vijfheerenlanden,EP2019,Europees Parlement 2019,,,2019-05-23,Stembureau Brandpunt,1961::SB27,4243 JA,745,376,1,0,0,0,6,328,43,0,0,0,0,0,377,3,71,5,27,2,25,192,5,4,7,0,0,0,34,0,1
